tipnames	virus.subtype	host.class	host.order	collection.region.name	tiplocation_lat	tiplocation_lon	cluster.number
H5N3.EPI_ISL_5863749.Anseriformes.georgia.289.2020-10-20	H5N3	Anseriformes_wild	Anseriformes	western asia	42.315407	43.356892	profile068
H7N3.EPI_ISL_706194.Anseriformes.south_korea.NA.2019-03-15	H7N3	Anseriformes_wild	Anseriformes	eastern asia	35.907757	127.766922	profileNA
H7N3.EPI_ISL_387973.Anseriformes.egypt.NA.2016-03-17	H7N3	Anseriformes_wild	Anseriformes	northern africa	26.820553	30.802498	profileNA
H7N3.EPI_ISL_387966.Anseriformes.egypt.NA.2016-03-17	H7N3	Anseriformes_wild	Anseriformes	northern africa	26.820553	30.802498	profileNA
H10N3.EPI_ISL_1096150.environment.china.NA.2015-11-19	H10N3	unknown	environment	eastern asia	29.1557051	113.7157613	profileNA
NA.EPI_ISL_387335.Anseriformes.viet_nam.NA.2016-02-10	NA	Anseriformes_wild	Anseriformes	south-eastern asia	14.058324	108.277199	profileNA
H2N3.EPI_ISL_209132.Anseriformes.mongolia.NA.2015-08-31	H2N3	Anseriformes_wild	Anseriformes	eastern asia	46.862496	103.846656	profileNA
H2N3.EPI_ISL_333089.Anseriformes.bangladesh.NA.2017-01-23	H2N3	Anseriformes_wild	Anseriformes	southern asia	23.684994	90.356331	profileNA
H5N3.EPI_ISL_240680.Anseriformes.russia.NA.2014-09-11	H5N3	Anseriformes_wild	Anseriformes	central asia	55.0084	82.9357	profileNA
H2N3.EPI_ISL_267293.Anseriformes.georgia.NA.2012-12-22	H2N3	Anseriformes_wild	Anseriformes	western asia	42.315407	43.356892	profileNA
H7N3.EPI_ISL_328157.Anseriformes.mongolia.NA.2017-09-01	H7N3	Anseriformes_wild	Anseriformes	eastern asia	46.862496	103.846656	profileNA
H14N3.EPI_ISL_400267.Anseriformes.russia.NA.2019-09-07	H14N3	Anseriformes_wild	Anseriformes	central asia	55.0084	82.9357	profileNA
H7N3.EPI_ISL_331289.Anseriformes.russia.NA.2018-01-23	H7N3	Anseriformes_wild	Anseriformes	eastern europe	42.4411	47.2776	profileNA
