tipnames	virus.subtype	host.class	host.order	collection.region.name	clade	tiplocation_lat	tiplocation_lon	cluster.number
H5N8.EPI_ISL_615065.Anseriformes.kazakhstan.1.2020-09-22	H5N8	Anseriformes_domestic	Anseriformes	central asia	2.3.4.4b	53.2147	63.6305	profile002
H5N8.EPI_ISL_615068.Anseriformes.kazakhstan.1.2020-09-20	H5N8	Anseriformes_domestic	Anseriformes	central asia	2.3.4.4b	51.2105	71.4676	profile002
H5N8.EPI_ISL_615073.Anseriformes.kazakhstan.1.2020-09-19	H5N8	Anseriformes_domestic	Anseriformes	central asia	2.3.4.4b	53.2804	69.3762	profile002
H5N8.EPI_ISL_2932619.Anseriformes.kazakhstan.1.2020-09-23	H5N8	Anseriformes_wild	Anseriformes	central asia	2.3.4.4b	51.2105	71.4676	profile002
H5N8.EPI_ISL_644127.Anseriformes.russia.1.2020-08-17	H5N8	Anseriformes_wild	Anseriformes	central asia	2.3.4.4b	54.9885	73.3242	profile002
H5N8.EPI_ISL_644126.Galliformes.russia.1.2020-08-17	H5N8	Galliformes_domestic	Galliformes	central asia	2.3.4.4b	54.9885	73.3242	profile002
H5N8.EPI_ISL_625671.Anseriformes.china.1.2020-10-17	H5N8	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	38.852843	105.7008601	profile002
H5N8.EPI_ISL_2555541.Anseriformes.china.1.2020-11-16	H5N8	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	30.9894798	112.8721355	profile002
H5N8.EPI_ISL_5260417.Charadriiformes.china.1.2021-05-16	H5N8	Charadriiformes_wild	Charadriiformes	eastern asia	2.3.4.4b	31.2255567	121.4802765	profile002
H5N8.EPI_ISL_14822756.Anseriformes.china.1.2021-05-19	H5N8	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	31.2255567	121.4802765	profile002
H5N8.EPI_ISL_2685847.Anseriformes.china.1.2020-11-11	H5N8	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	30.9894798	112.8721355	profile002
H5N8.EPI_ISL_2932683.Galliformes.kazakhstan.1.2020-10-09	H5N8	Galliformes_domestic	Galliformes	central asia	2.3.4.4b	53.2804	69.3762	profile002
H5N8.EPI_ISL_7192735.Anseriformes.china.1.2021-01	H5N8	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	30.632278	104.086793	profile002
H5N8.EPI_ISL_5260419.Anseriformes.china.1.2021-03-02	H5N8	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	23.2600355	113.25139	profile002
H5N6.EPI_ISL_6772898.Anseriformes.china.209.2021-08	H5N6	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	23.2600355	113.25139	profile002
H5N6.EPI_ISL_7457654.Galliformes.china.209.2021-08	H5N6	Galliformes_domestic	Galliformes	eastern asia	2.3.4.4b	23.2600355	113.25139	profile002
H5N8.EPI_ISL_16215736.Galliformes.china.1.2020-12	H5N8	Galliformes_domestic	Galliformes	eastern asia	2.3.4.4b	35.86166	104.195397	profile002
H5N8.EPI_ISL_8215686.Anseriformes.china.NA.2021-05-17	H5N8	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	31.2255567	121.4802765	profile002
H5N8.EPI_ISL_1760451.Anseriformes.china.1.2020-11-10	H5N8	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	28.4560996	117.9215965	profile002
H5N8.EPI_ISL_1937891.Anseriformes.china.1.2020-11-10	H5N8	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	32.1277675	114.0791925	profile002
H5N8.EPI_ISL_1822594.Anseriformes.china.1.2020-11-10	H5N8	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	28.4560996	117.9215965	profile002
H5N8.EPI_ISL_2685947.Anseriformes.china.1.2020-11-16	H5N8	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	30.9894798	112.8721355	profile002
H5N8.EPI_ISL_2555536.Charadriiformes.china.1.2020-11-16	H5N8	Charadriiformes_wild	Charadriiformes	eastern asia	2.3.4.4b	30.9894798	112.8721355	profile002
H5N8.EPI_ISL_2713314.Charadriiformes.china.1.2020-11-16	H5N8	Charadriiformes_wild	Charadriiformes	eastern asia	2.3.4.4b	30.9894798	112.8721355	profile002
H5N8.EPI_ISL_1938309.Anseriformes.china.1.2020-11-10	H5N8	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	32.1277675	114.0791925	profile002
H5N8.EPI_ISL_1760446.Anseriformes.china.1.2020-11-09	H5N8	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	34.223126	108.95546	profile002
H5N8.EPI_ISL_1822596.Anseriformes.china.1.2020-11-10	H5N8	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	28.4560996	117.9215965	profile002
H5N8.EPI_ISL_14836088.Anseriformes.china.1.2020-11-16	H5N8	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	32.1277675	114.0791925	profile002
H5N8.EPI_ISL_14819900.Anseriformes.china.1.2021-03-11	H5N8	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	31.2313805	121.4137827	profile002
H5N8.EPI_ISL_14824095.Anseriformes.china.1.2020-11-10	H5N8	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	32.1277675	114.0791925	profile002
H5N8.EPI_ISL_14835963.Anseriformes.china.1.2020-11-11	H5N8	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	32.1277675	114.0791925	profile002
H5N8.EPI_ISL_5260463.Anseriformes.china.1.2020-11-10	H5N8	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	28.4560996	117.9215965	profile002
H5N8.EPI_ISL_2556113.Anseriformes.china.1.2020-11-12	H5N8	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	30.9894798	112.8721355	profile002
H5N8.EPI_ISL_14836101.Anseriformes.china.1.2020-11-16	H5N8	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	32.1277675	114.0791925	profile002
H5N8.EPI_ISL_14836078.Anseriformes.china.1.2020-11-16	H5N8	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	32.1277675	114.0791925	profile002
H5N8.EPI_ISL_14822356.Anseriformes.china.1.2021-03-11	H5N8	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	31.2313805	121.4137827	profile002
H5N8.EPI_ISL_14836104.Anseriformes.china.1.2020-11-17	H5N8	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	32.1277675	114.0791925	profile002
H5N8.EPI_ISL_5260421.Anseriformes.china.1.2021-02-01	H5N8	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	22.826617	108.344126	profile002
H5N8.EPI_ISL_5260426.Anseriformes.china.1.2021-05-10	H5N8	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	22.826617	108.344126	profile002
H5N8.EPI_ISL_7381448.Galliformes.china.205.2021-07	H5N8	Galliformes_domestic	Galliformes	eastern asia	2.3.4.4b	22.826617	108.344126	profile002
H5N8.EPI_ISL_11504587.Galliformes.viet_nam.205.2021-12-01	H5N8	Galliformes_domestic	Galliformes	south-eastern asia	2.3.4.4b	21.8477778	106.7577778	profile002
H5N8.EPI_ISL_7381026.Galliformes.china.1.2021-03	H5N8	Galliformes_domestic	Galliformes	eastern asia	2.3.4.4b	41.7315285	123.2575966	profile002
H5N8.EPI_ISL_2815336.Anseriformes.china.1.2020-10-11	H5N8	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	31.2313805	121.4137827	profile002
H5N8.EPI_ISL_1939617.Strigiformes.china.1.2020-11-11	H5N8	Strigiformes_wild	Strigiformes	eastern asia	2.3.4.4b	32.1277675	114.0791925	profile002
