tipnames	virus.subtype	host.class	host.order	collection.region.name	tiplocation_lat	tiplocation_lon	cluster.number
H5N1.EPI_ISL_6829533.Galliformes.japan.22.2021-11-12	H5N1	Galliformes_domestic	Galliformes	eastern asia	31.5965535	130.5571158	profile004
H5N1.EPI_ISL_6959593.Galliformes.south_korea.22.2021-11-08	H5N1	Galliformes_wild	Galliformes	eastern asia	36.8	127.7	profile004
H5N1.EPI_ISL_18373242.Anseriformes.south_korea.NA.2022-02-10	H5N1	Anseriformes_wild	Anseriformes	eastern asia	35.907757	127.766922	profile004
H5N1.EPI_ISL_18373243.Anseriformes.south_korea.NA.2022-02-15	H5N1	Anseriformes_wild	Anseriformes	eastern asia	35.907757	127.766922	profile004
H5N1.EPI_ISL_15613494.Anseriformes.japan.NA.2021-11-09	H5N1	Anseriformes_wild	Anseriformes	eastern asia	31.9076736	131.4202411	profile004
H5N1.EPI_ISL_17606819.Anseriformes.south_korea.22.2021-11-10	H5N1	Anseriformes_wild	Anseriformes	eastern asia	36.8	127.7	profile004
H5N1.EPI_ISL_15063423.Galliformes.japan.NA.2021-11-17	H5N1	Galliformes_domestic	Galliformes	eastern asia	34.680578	135.1652915	profile004
H5N1.EPI_ISL_18373219.Anseriformes.south_korea.NA.2021-11-22	H5N1	Anseriformes_wild	Anseriformes	eastern asia	35.907757	127.766922	profile004
H5N1.EPI_ISL_17606825.Galliformes.south_korea.22.2021-12-04	H5N1	Galliformes_domestic	Galliformes	eastern asia	36.5184	126.8	profile004
H5N1.EPI_ISL_17606832.Galliformes.south_korea.22.2021-12-16	H5N1	Galliformes_domestic	Galliformes	eastern asia	36.487002	127.282234	profile004
H5N1.EPI_ISL_17606827.Galliformes.south_korea.22.2021-12-11	H5N1	Galliformes_domestic	Galliformes	eastern asia	36.5184	126.8	profile004
H5N1.EPI_ISL_15063426.Galliformes.japan.NA.2021-12-12	H5N1	Galliformes_domestic	Galliformes	eastern asia	40.822072	140.7473647	profile004
H5N1.EPI_ISL_17606814.Anseriformes.south_korea.22.2021-11-05	H5N1	Anseriformes_wild	Anseriformes	eastern asia	35.7197	127.1244	profile004
H5N1.EPI_ISL_15063425.Galliformes.japan.NA.2021-12-07	H5N1	Galliformes_domestic	Galliformes	eastern asia	35.8617292	139.6454822	profile004
H5N1.EPI_ISL_17606824.Anseriformes.south_korea.22.2021-11-22	H5N1	Anseriformes_wild	Anseriformes	eastern asia	34.8679	126.991	profile004
H5N1.EPI_ISL_17606833.Galliformes.south_korea.22.2021-12-17	H5N1	Galliformes_wild	Galliformes	eastern asia	44.4957481	11.2946868	profile004
H5N1.EPI_ISL_china_2023086.Anseriformes.china.22.2021-11-18	H5N1	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355	profile004
H5N1.EPI_ISL_18245816.Anseriformes.poland.NA.2022-04-07	H5N1	Anseriformes_wild	Anseriformes	eastern europe	51.919438	19.145136	profile004
H5N1.EPI_ISL_16831015.Anseriformes.japan.NA.2022-01-27	H5N1	Anseriformes_wild	Anseriformes	eastern asia	36.204824	138.252924	profile004
H5N1.EPI_ISL_8405663.Anseriformes.south_korea.NA.2021-11-15	H5N1	Anseriformes_wild	Anseriformes	eastern asia	35.907757	127.766922	profile004
H5N1.EPI_ISL_17606820.Anseriformes.south_korea.22.2021-11-11	H5N1	Anseriformes_wild	Anseriformes	eastern asia	34.8679	126.991	profile004
H5N1.EPI_ISL_18373218.Anseriformes.south_korea.NA.2021-11-16	H5N1	Anseriformes_wild	Anseriformes	eastern asia	35.907757	127.766922	profile004
H5N1.EPI_ISL_17606823.Galliformes.south_korea.22.2021-11-21	H5N1	Galliformes_domestic	Galliformes	eastern asia	36.8	127.7	profile004
