"","tipnames","virus.subtype","isolate.id","isolate.name","collection.date","collection.datedecimal","collection.dateweek","host.order","host.family","host.sciname","host.commonname","host.isbird","host.isdomestic","collection.region.name","collection.country.name","collection.country.code","collection.country.lat","collection.country.long","collection.subdiv1.name","collection.subdiv1.code","collection.subdiv1.lat","collection.subdiv1.long","collection.subdiv2.name","collection.subdiv2.code","collection.subdiv2.lat","collection.subdiv2.long","month.date","cluster.pb2","cluster.pb1","cluster.pa","cluster.ha","cluster.np","cluster.na","cluster.mp","cluster.ns","cluster.profile","cluster.genome","date.year.month","collection.tipdate","group","best_location_code"
"1","H5N1|EPI_ISL_17785732|Anseriformes|austria|2|2022-01-24","H5N1","EPI_ISL_17785732","A/mute_swan/Austria/22007848-001/2022","2022-01-24","2022.06","2022-04","Anseriformes","Anatidae","cygnus olor","mute swan","bird","wild","western europe","austria","AT","47.516231","14.550072",NA,NA,NA,NA,NA,NA,NA,NA,"2022-01",2,1,1,1,1,1,1,1,"2_1_1_1_1_1_1_1",2,"2022-01","2022-01-24",69,"AT"
"2","H5N1|EPI_ISL_17785733|Anseriformes|austria|2|2022-03-11","H5N1","EPI_ISL_17785733","A/swan/Austria/22030844-004/2022","2022-03-11","2022.19","2022-10","Anseriformes","Anatidae","cygnus sp.","swan sp.","bird","wild","western europe","austria","AT","47.516231","14.550072",NA,NA,NA,NA,NA,NA,NA,NA,"2022-03",2,1,1,1,1,1,1,1,"2_1_1_1_1_1_1_1",2,"2022-03","2022-03-11",177,"AT"
"3","H5N1|EPI_ISL_11211731|Anseriformes|bangladesh|19|2021-12-22","H5N1","EPI_ISL_11211731","a/duck/bangladesh/19d1818/2021","2021-12-22","2021.97","2021-51","Anseriformes","Anatidae","anatidae (duck sp.)","duck sp.","bird","wild","southern asia","bangladesh","BD","23.684994","90.356331",NA,NA,NA,NA,NA,NA,NA,NA,"2021-12",2,1,1,1,1,1,1,1,"2_1_1_1_1_1_1_1",19,"2021-12","2021-12-22",66,"BD"
"4","H5N1|EPI_ISL_14886367|Anseriformes|bangladesh|19|2021-12-19","H5N1","EPI_ISL_14886367","a/duck/bangladesh/51602/2021","2021-12-19","2021.96","2021-50","Anseriformes","Anatidae","anatidae (duck sp.)","duck sp.","bird","wild","southern asia","bangladesh","BD","23.684994","90.356331",NA,NA,NA,NA,NA,NA,NA,NA,"2021-12",2,1,1,1,1,1,1,1,"2_1_1_1_1_1_1_1",19,"2021-12","2021-12-19",77,"BD"
"5","H5N1|EPI_ISL_13243350|Anseriformes|bangladesh|19|2022-03-09","H5N1","EPI_ISL_13243350","a/duck/bangladesh/19d1874/2022","2022-03-09","2022.18","2022-10","Anseriformes","Anatidae","anatidae (duck sp.)","duck sp.","bird","wild","southern asia","bangladesh","BD","23.684994","90.356331",NA,NA,NA,NA,NA,NA,NA,NA,"2022-03",59,1,1,1,1,1,1,1,"59_1_1_1_1_1_1_1",19,"2022-03","2022-03-09",NA,"BD"
"6","H5N1|EPI_ISL_13243696|Anseriformes|bangladesh|NA|2021-12-22","H5N1","EPI_ISL_13243696","A/duck/Bangladesh/19D1817/2021","2021-12-22","2021.97","2021-51","Anseriformes","Anatidae","anatidae (duck sp.)","duck sp.","bird","wild","southern asia","bangladesh","BD","23.684994","90.356331",NA,NA,NA,NA,NA,NA,NA,NA,"2021-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-12-22",66,"BD"
"7","H10N7|EPI_ISL_4073126|Anseriformes|bangladesh|NA|2020-02-22","H10N7","EPI_ISL_4073126","A/duck/Bangladesh/44491/2020","2020-02-22","2020.14","2020-08","Anseriformes","Anatidae","anatidae (duck sp.)","duck sp.","bird","wild","southern asia","bangladesh","BD","23.684994","90.356331",NA,NA,NA,NA,NA,NA,NA,NA,"2020-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-02-22",139,"BD"
"8","H10N3|EPI_ISL_503538|Anseriformes|bangladesh|NA|2019-03-27","H10N3","EPI_ISL_503538","A/duck/Bangladesh/39397/2019","2019-03-27","2019.23","2019-13","Anseriformes","Anatidae","anatidae (duck sp.)","duck sp.","bird","wild","southern asia","bangladesh","BD","23.684994","90.356331",NA,NA,NA,NA,NA,NA,NA,NA,"2019-03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019-03-27",NA,"BD"
"9","H10N7|EPI_ISL_4071623|environment|bangladesh|NA|2020-01-27","H10N7","EPI_ISL_4071623","A/environment/Bangladesh/42635/2020","2020-01-27","2020.07","2020-05","environment","environment","environment","environment","other","wild","southern asia","bangladesh","BD","23.684994","90.356331",NA,NA,NA,NA,NA,NA,NA,NA,"2020-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-01-27",139,"BD"
"10","H7N7|EPI_ISL_4071549|environment|bangladesh|NA|2019-12-07","H7N7","EPI_ISL_4071549","A/environment/Bangladesh/42007/2019","2019-12-07","2019.93","2019-49","environment","environment","environment","environment","other","wild","southern asia","bangladesh","BD","23.684994","90.356331",NA,NA,NA,NA,NA,NA,NA,NA,"2019-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019-12-07",NA,"BD"
