"","tipnames","virus.subtype","isolate.id","isolate.name","collection.date","collection.datedecimal","collection.dateweek","host.order","host.family","host.sciname","host.commonname","host.isbird","host.isdomestic","collection.region.name","collection.country.name","collection.country.code","collection.country.lat","collection.country.long","collection.subdiv1.name","collection.subdiv1.code","collection.subdiv1.lat","collection.subdiv1.long","collection.subdiv2.name","collection.subdiv2.code","collection.subdiv2.lat","collection.subdiv2.long","month.date","cluster.pb2","cluster.pb1","cluster.pa","cluster.ha","cluster.np","cluster.na","cluster.mp","cluster.ns","cluster.profile","cluster.genome","date.year.month","collection.tipdate","group","best_location_code"
"1","H5N1|EPI_ISL_17719670|Anseriformes|bosnia-herzegovina|NA|2021-11-18","H5N1","EPI_ISL_17719670","A/mute_swan/Bosnia_and_Herzegovina/213/2021","2021-11-18","2021.88","2021-46","Anseriformes","Anatidae","cygnus olor","mute swan","bird","wild","southern europe","bosnia-herzegovina","BA","43.915886","17.679076",NA,NA,NA,NA,NA,NA,NA,NA,"2021-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-11-18",NA,"BA"
"2","H5N1|EPI_ISL_11211731|Anseriformes|bangladesh|19|2021-12-22","H5N1","EPI_ISL_11211731","a/duck/bangladesh/19d1818/2021","2021-12-22","2021.97","2021-51","Anseriformes","Anatidae","anatidae (duck sp.)","duck sp.","bird","wild","southern asia","bangladesh","BD","23.684994","90.356331",NA,NA,NA,NA,NA,NA,NA,NA,"2021-12",2,1,1,1,1,1,1,1,"2_1_1_1_1_1_1_1",19,"2021-12","2021-12-22",71,"BD"
"3","H5N1|EPI_ISL_13243350|Anseriformes|bangladesh|19|2022-03-09","H5N1","EPI_ISL_13243350","a/duck/bangladesh/19d1874/2022","2022-03-09","2022.18","2022-10","Anseriformes","Anatidae","anatidae (duck sp.)","duck sp.","bird","wild","southern asia","bangladesh","BD","23.684994","90.356331",NA,NA,NA,NA,NA,NA,NA,NA,"2022-03",59,1,1,1,1,1,1,1,"59_1_1_1_1_1_1_1",19,"2022-03","2022-03-09",NA,"BD"
"4","H5N3|EPI_ISL_11211428|Anseriformes|bangladesh|211|2022-01-30","H5N3","EPI_ISL_11211428","A/duck/Bangladesh/17D1839/2022","2022-01-30","2022.08","2022-04","Anseriformes","Anatidae","anatidae (duck sp.)","duck sp.","bird","wild","southern asia","bangladesh","BD","23.684994","90.356331",NA,NA,NA,NA,NA,NA,NA,NA,"2022-01",37,1,22,28,6,51,1,31,"37_1_22_28_6_51_1_31",211,"2022-01","2022-01-30",NA,"BD"
"5","H5N1|EPI_ISL_13243696|Anseriformes|bangladesh|NA|2021-12-22","H5N1","EPI_ISL_13243696","A/duck/Bangladesh/19D1817/2021","2021-12-22","2021.97","2021-51","Anseriformes","Anatidae","anatidae (duck sp.)","duck sp.","bird","wild","southern asia","bangladesh","BD","23.684994","90.356331",NA,NA,NA,NA,NA,NA,NA,NA,"2021-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-12-22",71,"BD"
"6","H2N1|EPI_ISL_9988760|Anseriformes|bangladesh|NA|2021-08-19","H2N1","EPI_ISL_9988760","A/duck/Bangladesh/17D1736/2021","2021-08-19","2021.63","2021-33","Anseriformes","Anatidae","anatidae (duck sp.)","duck sp.","bird","wild","southern asia","bangladesh","BD","23.684994","90.356331",NA,NA,NA,NA,NA,NA,NA,NA,"2021-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-08-19",NA,"BD"
"7","H5N1|EPI_ISL_9160206|Anseriformes|belgium|2|2021-11-21","H5N1","EPI_ISL_9160206","A/Anser_albifrons/Belgium/10010/2021","2021-11-21","2021.89","2021-46","Anseriformes","Anatidae","anser albifrons","greater white-fronted goose","bird","wild","western europe","belgium","BE","50.503887","4.46993599999996",NA,NA,NA,NA,NA,NA,NA,NA,"2021-11",2,1,1,1,1,1,1,1,"2_1_1_1_1_1_1_1",2,"2021-11","2021-11-21",NA,"BE"
"8","H5N1|EPI_ISL_10576444|Anseriformes|belgium|3|2022-01-23","H5N1","EPI_ISL_10576444","A/Anser_anser/Belgium/0002/2022","2022-01-23","2022.06","2022-03","Anseriformes","Anatidae","anser anser","greylag goose","bird","wild","western europe","belgium","BE","50.503887","4.46993599999996",NA,NA,NA,NA,NA,NA,NA,NA,"2022-01",1,1,2,1,1,1,1,1,"1_1_2_1_1_1_1_1",3,"2022-01","2022-01-23",NA,"BE"
"9","H4N6|EPI_ISL_7593059|Anseriformes|belgium|NA|2020-08-27","H4N6","EPI_ISL_7593059","A/Anas_platyrhynchos/Belgium/0002/2020","2020-08-27","2020.65","2020-35","Anseriformes","Anatidae","anas platyrhynchos","mallard","bird","wild","western europe","belgium","BE","50.503887","4.46993599999996",NA,NA,NA,NA,NA,NA,NA,NA,"2020-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-08-27",NA,"BE"
"10","H5N1|EPI_ISL_9161618|Galliformes|belgium|NA|2021-12-27","H5N1","EPI_ISL_9161618","A/Gallus_gallus/Belgium/10001/2021","2021-12-27","2021.99","2021-52","Galliformes","Phasianidae","gallus gallus (domestic type)","red junglefowl (domestic type)","bird","domestic","western europe","belgium","BE","50.503887","4.46993599999996",NA,NA,NA,NA,NA,NA,NA,NA,"2021-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-12-27",NA,"BE"
