tipnames	virus.subtype	collection.date	collection.datedecimal	collection.datemonth	collection.region.name	collection.country.name	collection.country.code	collection.country.lat	collection.country.long	collection.subdiv1.name	collection.subdiv1.code	collection.subdiv1.lat	collection.subdiv1.long	collection.original	collection.tipdate	cluster.number	host.order	tiplocation_lon	tiplocation_lat
H5N8.2344b.EPI_ISL_5102449.accipitriformes.germany.1.2020-10-29	H5N8	2020-10-29	2020.83	2020-10-01	western europe	germany	deu	51.0533277435649	10.373650933319	schleswig-holstein	de.sh	54.1814850326718	9.81577342948134	Europe / Germany / Schleswig-Holstein / Nordfriesland / NA	2020-10-29	profile002	accipitriformes	9.81577342948134	54.1814850326718
H5N8.2344b.EPI_ISL_1239110.accipitriformes.sweden.1.2021-02-22	H5N8	2021-02-22	2021.14	2021-02-01	northern europe	sweden	swe	62.374013544985	16.2835241791686	blekinge	se.bl	56.2754954629495	15.2029498652564	Europe / Sweden / Blekinge Lan / Karlshamns Kommun / NA	2021-02-22	profile002	accipitriformes	15.2029498652564	56.2754954629495
H5N8.2344b.EPI_ISL_1240717.accipitriformes.sweden.1.2021-02-21	H5N8	2021-02-21	2021.14	2021-02-01	northern europe	sweden	swe	62.374013544985	16.2835241791686	kalmar	se.ka	57.1855292476939	16.1305148015024	Europe / Sweden / Kalmar Lan / Kalmar Kommun / NA	2021-02-21	profile002	accipitriformes	16.1305148015024	57.1855292476939
H5N8.2344b.EPI_ISL_977599.anseriformes.china.1.2020-12-21	H5N8	2020-12-21	2020.97	2020-12-01	eastern asia	china	chn	36.6848135465548	103.513718494908	beijing	cn.bj	40.1838367941588	116.40878248942	Asia / China / Shandong Province / NA / NA	2020-12-21	profile002	anseriformes	116.40878248942	40.1838367941588
H5N8.2344b.EPI_ISL_7379509.anseriformes.china.1.2021-01	H5N8	NA	NA	2021-01-01	eastern asia	china	chn	36.6848135465548	103.513718494908	guangdong	cn.gd	23.33624359406	113.398153372919	Asia / China / Guangdong Province / NA / NA	2021-01	profile002	anseriformes	113.398153372919	23.33624359406
H5N8.2344b.EPI_ISL_5260446.anseriformes.china.1.2021-05-11	H5N8	2021-05-11	2021.36	2021-05-01	eastern asia	china	chn	36.6848135465548	103.513718494908	guangxi	cn.gx	23.82591453975	108.782865094166	Asia / China / Guangxi / NA / NA	2021-05-11	profile002	anseriformes	108.782865094166	23.82591453975
H5N8.2344b.EPI_ISL_14775517.anseriformes.china.1.2021-01	H5N8	NA	NA	2021-01-01	eastern asia	china	chn	36.6848135465548	103.513718494908	hebei	cn.hb	39.5182972347816	116.100714730353	Asia / China / Hebei Province / NA / NA	2021-01	profile002	anseriformes	116.100714730353	39.5182972347816
H5N8.2344b.EPI_ISL_14836369.anseriformes.china.1.2020-11-17	H5N8	2020-11-17	2020.88	2020-11-01	eastern asia	china	chn	36.6848135465548	103.513718494908	henan	cn.he	33.8761853651454	113.614527263456	Asia / China / Henan Province / NA / NA	2020-11-17	profile002	anseriformes	113.614527263456	33.8761853651454
H5N8.2344b.EPI_ISL_2685846.anseriformes.china.1.2020-11-09	H5N8	2020-11-09	2020.86	2020-11-01	eastern asia	china	chn	36.6848135465548	103.513718494908	hubei	cn.hu	30.9806813015582	112.277189482252	Asia / China / Hubei Province / NA / NA	2020-11-09	profile002	anseriformes	112.277189482252	30.9806813015582
H5N8.2344b.EPI_ISL_7380253.anseriformes.china.1.2021-02	H5N8	NA	NA	2021-02-01	eastern asia	china	chn	36.6848135465548	103.513718494908	jiangsu	cn.js	32.9645721858222	119.470797338049	Asia / China / Jiangsu Provice / NA / NA	2021-02	profile002	anseriformes	119.470797338049	32.9645721858222
H5N8.2344b.EPI_ISL_5260444.anseriformes.china.1.2021-03-09	H5N8	2021-03-09	2021.18	2021-03-01	eastern asia	china	chn	36.6848135465548	103.513718494908	jiangxi	cn.jx	27.6016362656629	115.709570895796	Asia / China / Jiangxi / NA / NA	2021-03-09	profile002	anseriformes	115.709570895796	27.6016362656629
H5N8.2344b.EPI_ISL_7381115.anseriformes.china.1.2021-06	H5N8	NA	NA	2021-06-01	eastern asia	china	chn	36.6848135465548	103.513718494908	liaoning	cn.ln	41.2987124958383	122.600275282862	Asia / China / Liaoning Province / NA / NA	2021-06	profile002	anseriformes	122.600275282862	41.2987124958383
H5N8.2344b.EPI_ISL_625672.anseriformes.china.1.2020-10-17	H5N8	2020-10-17	2020.79	2020-10-01	eastern asia	china	chn	36.6848135465548	103.513718494908	nei mongol	cn.nm	44.083329648604	113.188484632426	Asia / China / Inner Mongolia Autonomous Region / NA / NA	2020-10-17	profile002	anseriformes	113.188484632426	44.083329648604
H5N8.2344b.EPI_ISL_14822356.anseriformes.china.1.2021-03-11	H5N8	2021-03-11	2021.19	2021-03-01	eastern asia	china	chn	36.6848135465548	103.513718494908	ningxia hui	cn.nx	37.2602231520297	106.161545856493	Asia / China / Ningxia Hui Autonomous Region / NA / NA	2021-03-11	profile002	anseriformes	106.161545856493	37.2602231520297
H5N8.2344b.EPI_ISL_1760446.anseriformes.china.1.2020-11-09	H5N8	2020-11-09	2020.86	2020-11-01	eastern asia	china	chn	36.6848135465548	103.513718494908	shaanxi	cn.sa	35.1531910315733	108.845281415025	Asia / China / Shaanxi Province / NA / NA	2020-11-09	profile002	anseriformes	108.845281415025	35.1531910315733
H5N8.2344b.EPI_ISL_7192735.anseriformes.china.1.2021-01	H5N8	NA	NA	2021-01-01	eastern asia	china	chn	36.6848135465548	103.513718494908	sichuan	cn.sc	30.6066264180489	102.711402322843	Asia / China / Sichuan Province / NA / NA	2021-01	profile002	anseriformes	102.711402322843	30.6066264180489
H5N8.2344b.EPI_ISL_5260458.anseriformes.china.1.2021-01-23	H5N8	2021-01-23	2021.06	2021-01-01	eastern asia	china	chn	36.6848135465548	103.513718494908	shandong	cn.sd	36.3536638777003	118.136153809721	Asia / China / Shandong / NA / NA	2021-01-23	profile002	anseriformes	118.136153809721	36.3536638777003
H5N8.2344b.EPI_ISL_5260462.anseriformes.china.1.2020-11-10	H5N8	2020-11-10	2020.86	2020-11-01	eastern asia	china	chn	36.6848135465548	103.513718494908	shanxi	cn.sx	37.5496375119255	112.274268590565	Asia / China / Shanxi / NA / NA	2020-11-10	profile002	anseriformes	112.274268590565	37.5496375119255
H5N8.2344b.EPI_ISL_5260450.anseriformes.china.1.2021-03-09	H5N8	2021-03-09	2021.18	2021-03-01	eastern asia	china	chn	36.6848135465548	103.513718494908	zhejiang	cn.zj	29.1745873279179	120.086382279697	Asia / China / Zhejiang / NA / NA	2021-03-09	profile002	anseriformes	120.086382279697	29.1745873279179
