tipnames	virus.subtype	collection.date	collection.datedecimal	collection.datemonth	collection.region.name	collection.country.name	collection.country.code	collection.country.lat	collection.country.long	collection.subdiv1.name	collection.subdiv1.code	collection.subdiv1.lat	collection.subdiv1.long	collection.original	collection.tipdate	cluster.number	host.order	tiplocation_lon	tiplocation_lat
H5N8.2344b.EPI_ISL_7778770.anseriformes.finland.1.2021-01-01	H5N8	2021-01-01	2021	2021-01-01	northern europe	finland	fin	64.2398144022788	26.1623842060791	NA	NA	NA	NA	Europe / Finland / NA / NA / NA	2021-01-01	profile002	anseriformes	26.1623842060791	64.2398144022788
H5N8.2344b.EPI_ISL_2932600.anseriformes.kazakhstan.1.2020-09-01	H5N8	2020-09-01	2020.67	2020-09-01	central asia	kazakhstan	kaz	48.3645677524915	67.2060737287064	almaty	kz.aa	44.9554808695858	77.9603747475348	Asia / Kazakhstan / Almaty Province / Karasai district, Umtyl, Merei village / NA	2020-09-01	profile002	anseriformes	77.9603747475348	44.9554808695858
H5N8.2344b.EPI_ISL_615068.anseriformes.kazakhstan.1.2020-09-20	H5N8	2020-09-20	2020.72	2020-09-01	central asia	kazakhstan	kaz	48.3645677524915	67.2060737287064	aqmola	kz.am	51.7623557428944	69.9739209295215	Asia / Kazakhstan / Akmola / NA / NA	2020-09-20	profile002	anseriformes	69.9739209295215	51.7623557428944
H5N8.2344b.EPI_ISL_2932614.anseriformes.kazakhstan.1.2020-09-21	H5N8	2020-09-21	2020.72	2020-09-01	central asia	kazakhstan	kaz	48.3645677524915	67.2060737287064	north kazakhstan	kz.nk	53.8421826489217	69.2722074369824	Asia / Kazakhstan / North Kazakhstan / Mamlyutsky district, Mamlyutsky, Mamlyutka village / NA	2020-09-21	profile002	anseriformes	69.2722074369824	53.8421826489217
H5N8.2344b.EPI_ISL_615065.anseriformes.kazakhstan.1.2020-09-22	H5N8	2020-09-22	2020.72	2020-09-01	central asia	kazakhstan	kaz	48.3645677524915	67.2060737287064	qostanay	kz.qs	51.5322283786231	64.0853293002361	Asia / Kazakhstan / Kostanay / NA / NA	2020-09-22	profile002	anseriformes	64.0853293002361	51.5322283786231
H5N8.2344b.EPI_ISL_644130.anseriformes.russia.1.2020-08-17	H5N8	2020-08-17	2020.63	2020-08-01	central asia	russia	rus	66.0376616061812	95.7970903417469	omsk	ru.om	56.0596108837778	73.3669499849514	Europe / Russia / Omsk Oblast / Omsk / NA	2020-08-17	profile002	anseriformes	73.3669499849514	56.0596108837778
H5N8.2344b.EPI_ISL_2932608.galliformes.kazakhstan.1.2020-09-01	H5N8	2020-09-01	2020.67	2020-09-01	central asia	kazakhstan	kaz	48.3645677524915	67.2060737287064	almaty	kz.aa	44.9554808695858	77.9603747475348	Asia / Kazakhstan / Almaty Province / Karasai district, Umtyl, Merei village / NA	2020-09-01	profile002	galliformes	77.9603747475348	44.9554808695858
H5N8.2344b.EPI_ISL_739686.galliformes.kazakhstan.1.2020-09-18	H5N8	2020-09-18	2020.71	2020-09-01	central asia	kazakhstan	kaz	48.3645677524915	67.2060737287064	north kazakhstan	kz.nk	53.8421826489217	69.2722074369824	Asia / Kazakhstan / North Kazakhstan / NA / NA	2020-09-18	profile002	galliformes	69.2722074369824	53.8421826489217
H5N8.2344b.EPI_ISL_13175606.galliformes.sweden.1.2021-03-15	H5N8	2021-03-15	2021.2	2021-03-01	northern europe	sweden	swe	62.374013544985	16.2835241791686	skåne	se.sn	55.9474024317265	13.595146733816	Europe / Sweden / Skane Lan / Tomelilla Kommun / NA	2021-03-15	profile002	galliformes	13.595146733816	55.9474024317265
H5N8.2344b.EPI_ISL_2932619.anseriformes.kazakhstan.1.2020-09-23	H5N8	2020-09-23	2020.73	2020-09-01	central asia	kazakhstan	kaz	48.3645677524915	67.2060737287064	aqmola	kz.am	51.7623557428944	69.9739209295215	Asia / Kazakhstan / Akmola / Birzhan sal district, Baymyrza, Shoshkaly lake / NA	2020-09-23	profile002	anseriformes	69.9739209295215	51.7623557428944
