tipnames	virus.subtype	collection.date	collection.datedecimal	collection.datemonth	collection.region.name	collection.country.name	collection.country.code	collection.country.lat	collection.country.long	collection.subdiv1.name	collection.subdiv1.code	collection.subdiv1.lat	collection.subdiv1.long	collection.original	collection.tipdate	cluster.number	host.order	tiplocation_lon	tiplocation_lat
H5N8.2344b.EPI_ISL_2932614.anseriformes.kazakhstan.1.2020-09-21	H5N8	2020-09-21	2020.72	2020-09-01	central asia	kazakhstan	kaz	48.3645677524915	67.2060737287064	north kazakhstan	kz.nk	53.8421826489217	69.2722074369824	Asia / Kazakhstan / North Kazakhstan / Mamlyutsky district, Mamlyutsky, Mamlyutka village / NA	2020-09-21	profile003	anseriformes	69.2722074369824	53.8421826489217
H5N8.2344b.EPI_ISL_615065.anseriformes.kazakhstan.1.2020-09-22	H5N8	2020-09-22	2020.72	2020-09-01	central asia	kazakhstan	kaz	48.3645677524915	67.2060737287064	qostanay	kz.qs	51.5322283786231	64.0853293002361	Asia / Kazakhstan / Kostanay / NA / NA	2020-09-22	profile003	anseriformes	64.0853293002361	51.5322283786231
H5N8.2344b.EPI_ISL_2932600.anseriformes.kazakhstan.1.2020-09-01	H5N8	2020-09-01	2020.67	2020-09-01	central asia	kazakhstan	kaz	48.3645677524915	67.2060737287064	almaty	kz.aa	44.9554808695858	77.9603747475348	Asia / Kazakhstan / Almaty Province / Karasai district, Umtyl, Merei village / NA	2020-09-01	profile003	anseriformes	77.9603747475348	44.9554808695858
H5N8.2344b.EPI_ISL_615068.anseriformes.kazakhstan.1.2020-09-20	H5N8	2020-09-20	2020.72	2020-09-01	central asia	kazakhstan	kaz	48.3645677524915	67.2060737287064	aqmola	kz.am	51.7623557428944	69.9739209295215	Asia / Kazakhstan / Akmola / NA / NA	2020-09-20	profile003	anseriformes	69.9739209295215	51.7623557428944
H5N8.2344b.EPI_ISL_2932608.galliformes.kazakhstan.1.2020-09-01	H5N8	2020-09-01	2020.67	2020-09-01	central asia	kazakhstan	kaz	48.3645677524915	67.2060737287064	almaty	kz.aa	44.9554808695858	77.9603747475348	Asia / Kazakhstan / Almaty Province / Karasai district, Umtyl, Merei village / NA	2020-09-01	profile003	galliformes	77.9603747475348	44.9554808695858
H5N8.2344b.EPI_ISL_977582.anseriformes.china.1.2020-12-29	H5N8	2020-12-29	2020.99	2020-12-01	eastern asia	china	chn	36.6848135465548	103.513718494908	beijing	cn.bj	40.1838367941588	116.40878248942	Asia / China / Shandong Province / NA / NA	2020-12-29	profile003	anseriformes	116.40878248942	40.1838367941588
H5N8.2344b.EPI_ISL_7379509.anseriformes.china.1.2021-01	H5N8	NA	NA	2021-01-01	eastern asia	china	chn	36.6848135465548	103.513718494908	guangdong	cn.gd	23.33624359406	113.398153372919	Asia / China / Guangdong Province / NA / NA	2021-01	profile003	anseriformes	113.398153372919	23.33624359406
H5N8.2344b.EPI_ISL_5260421.anseriformes.china.1.2021-02-01	H5N8	2021-02-01	2021.08	2021-02-01	eastern asia	china	chn	36.6848135465548	103.513718494908	guangxi	cn.gx	23.82591453975	108.782865094166	Asia / China / Guangxi / NA / NA	2021-02-01	profile003	anseriformes	108.782865094166	23.82591453975
H5N8.2344b.EPI_ISL_14775517.anseriformes.china.1.2021-01	H5N8	NA	NA	2021-01-01	eastern asia	china	chn	36.6848135465548	103.513718494908	hebei	cn.hb	39.5182972347816	116.100714730353	Asia / China / Hebei Province / NA / NA	2021-01	profile003	anseriformes	116.100714730353	39.5182972347816
H5N8.2344b.EPI_ISL_1938309.anseriformes.china.1.2020-11-10	H5N8	2020-11-10	2020.86	2020-11-01	eastern asia	china	chn	36.6848135465548	103.513718494908	henan	cn.he	33.8761853651454	113.614527263456	Asia / China / Henan Province / NA / NA	2020-11-10	profile003	anseriformes	113.614527263456	33.8761853651454
