tipnames	virus.subtype	collection.date	collection.datedecimal	collection.datemonth	collection.region.name	collection.country.name	collection.country.code	collection.country.lat	collection.country.long	collection.subdiv1.name	collection.subdiv1.code	collection.subdiv1.lat	collection.subdiv1.long	collection.original	collection.tipdate	cluster.number	host.order	tiplocation_lon	tiplocation_lat
H5N8.2344b.EPI_ISL_5102449.accipitriformes.germany.1.2020-10-29	H5N8	2020-10-29	2020.83	2020-10-01	western europe	germany	deu	51.0533277435649	10.373650933319	schleswig-holstein	de.sh	54.1814850326718	9.81577342948134	Europe / Germany / Schleswig-Holstein / Nordfriesland / NA	2020-10-29	profile001	accipitriformes	9.81577342948134	54.1814850326718
H5N8.2344b.EPI_ISL_1239110.accipitriformes.sweden.1.2021-02-22	H5N8	2021-02-22	2021.14	2021-02-01	northern europe	sweden	swe	62.374013544985	16.2835241791686	blekinge	se.bl	56.2754954629495	15.2029498652564	Europe / Sweden / Blekinge Lan / Karlshamns Kommun / NA	2021-02-22	profile001	accipitriformes	15.2029498652564	56.2754954629495
H5N8.2344b.EPI_ISL_1386249.accipitriformes.sweden.1.2021-03-16	H5N8	2021-03-16	2021.2	2021-03-01	northern europe	sweden	swe	62.374013544985	16.2835241791686	gotland	se.gt	57.5128828372686	18.541723046906	Europe / Sweden / Ostergotlands Lan / Linkopings Kommun / NA	2021-03-16	profile001	accipitriformes	18.541723046906	57.5128828372686
H5N8.2344b.EPI_ISL_1307720.accipitriformes.sweden.1.2021-03-02	H5N8	2021-03-02	2021.16	2021-03-01	northern europe	sweden	swe	62.374013544985	16.2835241791686	jönköping	se.jo	57.4990622714119	14.4340296449519	Europe / Sweden / Jonkopings Lan / Jonkopings Kommun / NA	2021-03-02	profile001	accipitriformes	14.4340296449519	57.4990622714119
H5N8.2344b.EPI_ISL_1240717.accipitriformes.sweden.1.2021-02-21	H5N8	2021-02-21	2021.14	2021-02-01	northern europe	sweden	swe	62.374013544985	16.2835241791686	kalmar	se.ka	57.1855292476939	16.1305148015024	Europe / Sweden / Kalmar Lan / Kalmar Kommun / NA	2021-02-21	profile001	accipitriformes	16.1305148015024	57.1855292476939
H5N5.2344b.EPI_ISL_614399.accipitriformes.germany.36.2020-10-29	H5N5	2020-10-29	2020.83	2020-10-01	western europe	germany	deu	51.0533277435649	10.373650933319	mecklenburg-vorpommern	de.mv	53.7551744161606	12.5509509363277	Europe / Germany / Mecklenburg-Vorpommern / NA / NA	2020-10-29	profile001	accipitriformes	12.5509509363277	53.7551744161606
H5N5.2344b.EPI_ISL_1391276.accipitriformes.sweden.36.2021-02-19	H5N5	2021-02-19	2021.13	2021-02-01	northern europe	sweden	swe	62.374013544985	16.2835241791686	skåne	se.sn	55.9474024317265	13.595146733816	Europe / Sweden / Skane Lan / Simrishamns Kommun / NA	2021-02-19	profile001	accipitriformes	13.595146733816	55.9474024317265
H5N8.2344b.EPI_ISL_1239109.accipitriformes.sweden.168.2021-02-24	H5N8	2021-02-24	2021.15	2021-02-01	northern europe	sweden	swe	62.374013544985	16.2835241791686	skåne	se.sn	55.9474024317265	13.595146733816	Europe / Sweden / Skane Lan / Kavlinge Kommun / NA	2021-02-24	profile001	accipitriformes	13.595146733816	55.9474024317265
H5N5.NA.EPI_ISL_12028892.accipitriformes.norway.NA.2022-02-24	H5N5	2022-02-24	2022.15	2022-02-01	northern europe	norway	nor	63.9836330810339	12.3044196327525	NA	NA	NA	NA	NA	2022-02-24	profile001	accipitriformes	12.3044196327525	63.9836330810339
H5N8.2344b.EPI_ISL_1665257.anseriformes.austria.1.2021-02-04	H5N8	2021-02-04	2021.09	2021-02-01	western europe	austria	aut	47.5942901543001	14.1261824377155	niederösterreich	at.no	48.2718646696418	15.7529218938467	Europe / Austria / Tulln / NA / NA	2021-02-04	profile001	anseriformes	15.7529218938467	48.2718646696418
H5N8.2344b.EPI_ISL_1719914.anseriformes.bulgaria.1.2021-02-04	H5N8	2021-02-04	2021.09	2021-02-01	eastern europe	bulgaria	bgr	42.7584172195881	25.2179149681535	pleven	bg.pv	43.4863324718956	24.6106292568625	Europe / Bulgaria / Slavyanovo / NA / NA	2021-02-04	profile001	anseriformes	24.6106292568625	43.4863324718956
H5N8.2344b.EPI_ISL_977599.anseriformes.china.1.2020-12-21	H5N8	2020-12-21	2020.97	2020-12-01	eastern asia	china	chn	36.6848135465548	103.513718494908	beijing	cn.bj	40.1838367941588	116.40878248942	Asia / China / Shandong Province / NA / NA	2020-12-21	profile001	anseriformes	116.40878248942	40.1838367941588
H5N8.2344b.EPI_ISL_7381438.anseriformes.china.1.2021-08	H5N8	NA	NA	2021-08-01	eastern asia	china	chn	36.6848135465548	103.513718494908	guangdong	cn.gd	23.33624359406	113.398153372919	Asia / China / Guangdong Province / NA / NA	2021-08	profile001	anseriformes	113.398153372919	23.33624359406
H5N8.2344b.EPI_ISL_5260446.anseriformes.china.1.2021-05-11	H5N8	2021-05-11	2021.36	2021-05-01	eastern asia	china	chn	36.6848135465548	103.513718494908	guangxi	cn.gx	23.82591453975	108.782865094166	Asia / China / Guangxi / NA / NA	2021-05-11	profile001	anseriformes	108.782865094166	23.82591453975
H5N8.2344b.EPI_ISL_5260445.anseriformes.china.1.2021-04-27	H5N8	2021-04-27	2021.32	2021-04-01	eastern asia	china	chn	36.6848135465548	103.513718494908	hebei	cn.hb	39.5182972347816	116.100714730353	Asia / China / Hebei / NA / NA	2021-04-27	profile001	anseriformes	116.100714730353	39.5182972347816
H5N8.2344b.EPI_ISL_14835964.anseriformes.china.1.2020-11-11	H5N8	2020-11-11	2020.86	2020-11-01	eastern asia	china	chn	36.6848135465548	103.513718494908	henan	cn.he	33.8761853651454	113.614527263456	Asia / China / Henan Province / NA / NA	2020-11-11	profile001	anseriformes	113.614527263456	33.8761853651454
H5N8.2344b.EPI_ISL_5260448.anseriformes.china.1.2021-03-19	H5N8	2021-03-19	2021.21	2021-03-01	eastern asia	china	chn	36.6848135465548	103.513718494908	hunan	cn.hn	27.5978523947888	111.713471439142	Asia / China / Hunan / NA / NA	2021-03-19	profile001	anseriformes	111.713471439142	27.5978523947888
H5N8.2344b.EPI_ISL_2685900.anseriformes.china.1.2020-11-16	H5N8	2020-11-16	2020.87	2020-11-01	eastern asia	china	chn	36.6848135465548	103.513718494908	hubei	cn.hu	30.9806813015582	112.277189482252	Asia / China / Hubei Province / NA / NA	2020-11-16	profile001	anseriformes	112.277189482252	30.9806813015582
H5N8.2344b.EPI_ISL_5260469.anseriformes.china.1.2021-01-26	H5N8	2021-01-26	2021.07	2021-01-01	eastern asia	china	chn	36.6848135465548	103.513718494908	jiangsu	cn.js	32.9645721858222	119.470797338049	Asia / China / Jiangsu / NA / NA	2021-01-26	profile001	anseriformes	119.470797338049	32.9645721858222
H5N8.2344b.EPI_ISL_5260444.anseriformes.china.1.2021-03-09	H5N8	2021-03-09	2021.18	2021-03-01	eastern asia	china	chn	36.6848135465548	103.513718494908	jiangxi	cn.jx	27.6016362656629	115.709570895796	Asia / China / Jiangxi / NA / NA	2021-03-09	profile001	anseriformes	115.709570895796	27.6016362656629
H5N8.2344b.EPI_ISL_625671.anseriformes.china.1.2020-10-17	H5N8	2020-10-17	2020.79	2020-10-01	eastern asia	china	chn	36.6848135465548	103.513718494908	nei mongol	cn.nm	44.083329648604	113.188484632426	Asia / China / Inner Mongolia Autonomous Region / NA / NA	2020-10-17	profile001	anseriformes	113.188484632426	44.083329648604
H5N8.2344b.EPI_ISL_14822356.anseriformes.china.1.2021-03-11	H5N8	2021-03-11	2021.19	2021-03-01	eastern asia	china	chn	36.6848135465548	103.513718494908	ningxia hui	cn.nx	37.2602231520297	106.161545856493	Asia / China / Ningxia Hui Autonomous Region / NA / NA	2021-03-11	profile001	anseriformes	106.161545856493	37.2602231520297
H5N8.2344b.EPI_ISL_1760446.anseriformes.china.1.2020-11-09	H5N8	2020-11-09	2020.86	2020-11-01	eastern asia	china	chn	36.6848135465548	103.513718494908	shaanxi	cn.sa	35.1531910315733	108.845281415025	Asia / China / Shaanxi Province / NA / NA	2020-11-09	profile001	anseriformes	108.845281415025	35.1531910315733
H5N8.2344b.EPI_ISL_7349517.anseriformes.china.1.2021-01	H5N8	NA	NA	2021-01-01	eastern asia	china	chn	36.6848135465548	103.513718494908	sichuan	cn.sc	30.6066264180489	102.711402322843	Asia / China / Sichuan Province / NA / NA	2021-01	profile001	anseriformes	102.711402322843	30.6066264180489
H5N8.2344b.EPI_ISL_5260456.anseriformes.china.1.2021-02-22	H5N8	2021-02-22	2021.14	2021-02-01	eastern asia	china	chn	36.6848135465548	103.513718494908	shandong	cn.sd	36.3536638777003	118.136153809721	Asia / China / Shandong / NA / NA	2021-02-22	profile001	anseriformes	118.136153809721	36.3536638777003
H5N8.2344b.EPI_ISL_1822592.anseriformes.china.1.2020-11-10	H5N8	2020-11-10	2020.86	2020-11-01	eastern asia	china	chn	36.6848135465548	103.513718494908	shanxi	cn.sx	37.5496375119255	112.274268590565	Asia / China / Shanxi Province / NA / NA	2020-11-10	profile001	anseriformes	112.274268590565	37.5496375119255
H5N8.2344b.EPI_ISL_14822756.anseriformes.china.1.2021-05-19	H5N8	2021-05-19	2021.38	2021-05-01	eastern asia	china	chn	36.6848135465548	103.513718494908	xizang	cn.xz	31.7354796576819	88.2546629070738	Asia / China / Tibet Autonomous Region / NA / NA	2021-05-19	profile001	anseriformes	88.2546629070738	31.7354796576819
H5N8.2344b.EPI_ISL_15435511.anseriformes.china.1.2021-01-21	H5N8	2021-01-21	2021.05	2021-01-01	eastern asia	china	chn	36.6848135465548	103.513718494908	yunnan	cn.yn	24.9645779206387	101.495556215566	Asia / China / Yunnan Province / Huize Black-necked Crane National Nature Reserve, Yunnan Province,China / NA	2021-01-21	profile001	anseriformes	101.495556215566	24.9645779206387
H5N8.2344b.EPI_ISL_5260450.anseriformes.china.1.2021-03-09	H5N8	2021-03-09	2021.18	2021-03-01	eastern asia	china	chn	36.6848135465548	103.513718494908	zhejiang	cn.zj	29.1745873279179	120.086382279697	Asia / China / Zhejiang / NA / NA	2021-03-09	profile001	anseriformes	120.086382279697	29.1745873279179
H5N8.2344b.EPI_ISL_1399243.anseriformes.czechia.1.2021-03-04	H5N8	2021-03-04	2021.17	2021-03-01	eastern europe	czechia	cze	49.7450575142012	15.3371651897674	olomoucký	cz.ok	49.7786245115919	17.190355445158	Europe / Czech Republic / Olomoucky Kraj / Okres Olomouc / Chomoutov	2021-03-04	profile001	anseriformes	17.190355445158	49.7786245115919
H5N8.2344b.EPI_ISL_5098160.anseriformes.germany.1.2021-02-17	H5N8	2021-02-17	2021.13	2021-02-01	western europe	germany	deu	51.0533277435649	10.373650933319	brandenburg	de.br	52.4686720071996	13.4043192497063	Europe / Germany / Brandenburg / Uckermark / NA	2021-02-17	profile001	anseriformes	13.4043192497063	52.4686720071996
H5N8.2344b.EPI_ISL_5116172.anseriformes.germany.1.2021-03-02	H5N8	2021-03-02	2021.16	2021-03-01	western europe	germany	deu	51.0533277435649	10.373650933319	hessen	de.he	50.5991757228504	9.0260509036638	Europe / Germany / Hessen / Frankfurt a. Main / . Main	2021-03-02	profile001	anseriformes	9.0260509036638	50.5991757228504
H5N8.2344b.EPI_ISL_5096070.anseriformes.germany.1.2021-01-20	H5N8	2021-01-20	2021.05	2021-01-01	western europe	germany	deu	51.0533277435649	10.373650933319	mecklenburg-vorpommern	de.mv	53.7551744161606	12.5509509363277	Europe / Germany / Mecklenburg-Vorpommern / Vorpommern-Greifswald / NA	2021-01-20	profile001	anseriformes	12.5509509363277	53.7551744161606
H5N8.2344b.EPI_ISL_5098139.anseriformes.germany.1.2021-01-18	H5N8	2021-01-18	2021.05	2021-01-01	western europe	germany	deu	51.0533277435649	10.373650933319	niedersachsen	de.ni	52.7642105761026	9.16783937293005	Europe / Germany / Lower Saxony / LÃ¼chow-Dannenberg / NA	2021-01-18	profile001	anseriformes	9.16783937293005	52.7642105761026
H5N8.2344b.EPI_ISL_5060031.anseriformes.germany.1.2020-11-03	H5N8	2020-11-03	2020.84	2020-11-01	western europe	germany	deu	51.0533277435649	10.373650933319	schleswig-holstein	de.sh	54.1814850326718	9.81577342948134	Europe / Germany / Schleswig-Holstein / Nordfriesland / NA	2020-11-03	profile001	anseriformes	9.81577342948134	54.1814850326718
H5N8.2344b.EPI_ISL_5143995.anseriformes.germany.1.2021-03-21	H5N8	2021-03-21	2021.22	2021-03-01	western europe	germany	deu	51.0533277435649	10.373650933319	sachsen-anhalt	de.st	52.0090264158216	11.7027467770331	Europe / Germany / Saxony-Anhalt / Saalekreis / NA	2021-03-21	profile001	anseriformes	11.7027467770331	52.0090264158216
H5N8.2344b.EPI_ISL_984681.anseriformes.denmark.1.2020-11-04	H5N8	2020-11-04	2020.84	2020-11-01	northern europe	denmark	dnk	55.9512996898935	10.0707816763207	syddanmark	dk.sd	55.3568797999445	9.45020901930698	Europe / Denmark / Region Syddanmark / Tonder Kommune / NA	2020-11-04	profile001	anseriformes	9.45020901930698	55.3568797999445
H5N8.2344b.EPI_ISL_7778757.anseriformes.estonia.1.2021-03-02	H5N8	2021-03-02	2021.16	2021-03-01	northern europe	estonia	est	58.6717397518952	25.5522615433491	NA	NA	NA	NA	Europe / Estonia / NA / NA / NA	2021-03-02	profile001	anseriformes	25.5522615433491	58.6717397518952
