tipnames,virus_subtype,isolate_id,isolate_name,collection_date,collection_datedecimal,collection_datemonth,collection_dateyear,host_class,host_order,host_family,host_sciname,host_commonname,host_isbird,host_isdomestic,host_simplifiedhost,collection_regionname,collection_countryname,collection_countrycode,collection_countrylat,collection_countrylong,collection_subdiv1name,collection_subdiv1code,collection_subdiv1lat,collection_subdiv1long,virus_species,week_date,...1,clade,collection_original,profile,profile_lab,genome,cluster_profileclass,cluster_profilecolour,collection_tipdate,segment,collection_dateerror,cluster_segment,cluster_number
H5N2.2344b.EPI_ISL_1760455.anseriformes.china.22_38_22_2_6_66_1_2.2020-11-10,H5N2,EPI_ISL_1760455,a/whooper_swan/shanxi/sx116/2020,2020-11-10,2020.86,2020-11,2020,Aves,anseriformes,anatidae,cygnus cygnus,whooper swan,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,shanxi,cn.sx,37.5496375119255,112.274268590565,a,2020-46,515,2344b,Asia / China / Shanxi Province / NA / NA,22_38_22_2_6_66_1_2,NA,286,minor,#a466cc,2020-11-10,n2,FALSE,n2,profile066
H5N2.2344b.EPI_ISL_15732741.passeriformes.japan.60_1_78_1_1_78_1_1.2022-10-28,H5N2,EPI_ISL_15732741,a/large-billed_crow/hokkaido/b003/2022,2022-10-28,2022.82,2022-10,2022,Aves,passeriformes,corvidae,corvus macrorhynchos,large-billed crow,TRUE,wild,other,eastern asia,japan,jpn,37.3996665395305,137.574137168765,hokkaido,jp.hk,43.3824165431654,142.542521870972,a,2022-43,1435,2344b,Asia / Japan / Hokkaido / Sapporo / NA,60_1_78_1_1_78_1_1,NA,297,minor,#84cc66,2022-10-28,n2,FALSE,n2,profile078
H5N2.2344b.EPI_ISL_china_7.anseriformes.china.3_14_3_1_15_22_1_2.2022-01-26,H5N2,EPI_ISL_china_7,a/duck/hunan/01.26_yywlp-c8/2022,2022-01-26,2022.07,2022-01,2022,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,hunan,cn.hn,27.5978523947888,111.713471439142,a,2022-04,503,2344b,Asia / China / Hunan / NA / NA,3_14_3_1_15_22_1_2,H5N2/2021/R1_Asia,101,major,#cca399,2022-01-26,n2,FALSE,n2,profile022
H5N2.2344b.EPI_ISL_china_8.anseriformes.china.3_14_3_1_15_22_1_2.2021-12-29,H5N2,EPI_ISL_china_8,a/duck/hunan/12.29_yywlp-c33/2021,2021-12-29,2021.99,2021-12,2021,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,hunan,cn.hn,27.5978523947888,111.713471439142,a,2021-52,503,2344b,Asia / China / Hunan / NA / NA,3_14_3_1_15_22_1_2,H5N2/2021/R1_Asia,101,major,#cca399,2021-12-29,n2,FALSE,n2,profile022
H5N2.2344b.EPI_ISL_china_9.anseriformes.china.3_14_3_1_15_22_1_1.2022-01-26,H5N2,EPI_ISL_china_9,a/duck/hunan/01.26_yywlp-o2/2022,2022-01-26,2022.07,2022-01,2022,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,hunan,cn.hn,27.5978523947888,111.713471439142,a,2022-04,503,2344b,Asia / China / Hunan / NA / NA,3_14_3_1_15_22_1_1,NA,101,minor,#cc99a7,2022-01-26,n2,FALSE,n2,profile022
H5N2.2344b.EPI_ISL_china_10.anseriformes.china.3_14_3_1_15_22_1_2.2022-01-26,H5N2,EPI_ISL_china_10,a/duck/hunan/01.26_yywlp-o3/2022,2022-01-26,2022.07,2022-01,2022,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,hunan,cn.hn,27.5978523947888,111.713471439142,a,2022-04,503,2344b,Asia / China / Hunan / NA / NA,3_14_3_1_15_22_1_2,H5N2/2021/R1_Asia,101,major,#cca399,2022-01-26,n2,FALSE,n2,profile022
H5N2.2344b.EPI_ISL_china_11.anseriformes.china.3_14_3_1_15_22_1_2.2022-01-26,H5N2,EPI_ISL_china_11,a/duck/hunan/01.26_yywlp-o7/2022,2022-01-26,2022.07,2022-01,2022,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,hunan,cn.hn,27.5978523947888,111.713471439142,a,2022-04,503,2344b,Asia / China / Hunan / NA / NA,3_14_3_1_15_22_1_2,H5N2/2021/R1_Asia,101,major,#cca399,2022-01-26,n2,FALSE,n2,profile022
H5N2.2344b.EPI_ISL_china_12.anseriformes.china.3_14_3_1_15_22_1_2.2022-01-26,H5N2,EPI_ISL_china_12,a/duck/hunan/01.26_yywlp-o8/2022,2022-01-26,2022.07,2022-01,2022,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,hunan,cn.hn,27.5978523947888,111.713471439142,a,2022-04,503,2344b,Asia / China / Hunan / NA / NA,3_14_3_1_15_22_1_2,H5N2/2021/R1_Asia,101,major,#cca399,2022-01-26,n2,FALSE,n2,profile022
H5N2.2344b.EPI_ISL_china_13.anseriformes.china.3_14_3_1_15_22_1_2.2022-01-26,H5N2,EPI_ISL_china_13,a/duck/hunan/01.26_yywlp-o9/2022,2022-01-26,2022.07,2022-01,2022,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,hunan,cn.hn,27.5978523947888,111.713471439142,a,2022-04,503,2344b,Asia / China / Hunan / NA / NA,3_14_3_1_15_22_1_2,H5N2/2021/R1_Asia,101,major,#cca399,2022-01-26,n2,FALSE,n2,profile022
H5N2.NA.EPI_ISL_18284476.galliformes.japan.NA.2023-01-17,H5N2,EPI_ISL_18284476,A/chicken/Oita/22A4T/2023,2023-01-17,2023.04,2023-01,2023,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,oita,jp.ot,33.2003954700371,131.433742894646,A,2023-03,1453,NA,NA,NA,NA,NA,NA,NA,2023-01-17,n2,FALSE,n2,profileNA
