tipnames,virus.subtype,isolate.id,isolate.name,collection.date,collection.datedecimal,collection.datemonth,host.class,host.order,host.family,host.sciname,host.commonname,host.isbird,host.isdomestic,collection.region.name,collection.country.name,collection.country.code,collection.country.lat,collection.country.long,collection.subdiv1.name,collection.subdiv1.code,collection.subdiv1.lat,collection.subdiv1.long,virus.species,week.date,...1,clade,collection.original,profile,profile.lab,genome,collection.tipdate,segment,cluster.segment,cluster.number
H5N4.2.3.4.4b.EPI_ISL_15602898.galliformes.united_states.296.2022-09-13,H5N4,EPI_ISL_15602898,a/turkey/montana/22-028879-001-original/2022,2022-09-13,2022.7,2022-09,galliformes_domestic,galliformes,Phasianidae,meleagris gallopavo (domestic type),wild turkey (domestic type),bird,domestic,northern america,united states,usa,44.75294654392,-103.651025114044,montana,us.mt,47.052996209617,-109.633323124771,a,2022-37,3429,2.3.4.4b,North America / United States / Montana / Teton County / NA,8_49_1_1_42_77_1_1,NA,296,2022-09-13,n4,n4,profile077
H8N4.NA.EPI_ISL_6816049.anseriformes.united_states.NA.2021-08-02,H8N4,EPI_ISL_6816049,A/mallard/Alaska/AH0176847/2021,2021-08-02,2021.58,2021-08,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,northern america,united states,usa,44.75294654392,-103.651025114044,alaska,us.ak,63.9513927980493,-152.396756538795,A,2021-31,3404,NA,NA,NA,NA,NA,2021-08-02,n4,n4,profileNA
H8N4.NA.EPI_ISL_6795362.anseriformes.united_states.NA.2021-07-30,H8N4,EPI_ISL_6795362,A/mallard/Alaska/AH0176804/2021,2021-07-30,2021.58,2021-07,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,northern america,united states,usa,44.75294654392,-103.651025114044,alaska,us.ak,63.9513927980493,-152.396756538795,A,2021-30,3404,NA,NA,NA,NA,NA,2021-07-30,n4,n4,profileNA
H2N4.NA.EPI_ISL_16215551.anseriformes.canada.NA.2021-08-26,H2N4,EPI_ISL_16215551,A/Mallard/Alberta/559/2021,2021-08-26,2021.65,2021-08,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,northern america,canada,can,60.4247452861293,-96.5129185126773,alberta,ca.ab,54.9859148218572,-114.405475342745,A,2021-34,434,NA,NA,NA,NA,NA,2021-08-26,n4,n4,profileNA
NA.NA.EPI_ISL_701619.anseriformes.united_states.NA.2018-11-30,NA,EPI_ISL_701619,A/Long-tailed_Duck_/Wisconsin/18OS2996/2018,2018-11-30,2018.91,2018-11,anseriformes_wild,anseriformes,Anatidae,clangula hyemalis,long-tailed duck,bird,wild,northern america,united states,usa,44.75294654392,-103.651025114044,wisconsin,us.wi,44.627499166429,-89.7126755416022,A,2018-48,3452,NA,NA,NA,NA,NA,2018-11-30,n4,n4,profileNA
H10N4.NA.EPI_ISL_503784.anseriformes.united_states.NA.2019-04-03,H10N4,EPI_ISL_503784,A/Mallard/Ohio/19OS0172/2019,2019-04-03,2019.25,2019-04,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,northern america,united states,usa,44.75294654392,-103.651025114044,ohio,us.oh,40.470536265191,-82.6389467524245,A,2019-14,3438,NA,NA,NA,NA,NA,2019-04-03,n4,n4,profileNA
H2N4.NA.EPI_ISL_16215567.anseriformes.canada.NA.2021-08-26,H2N4,EPI_ISL_16215567,A/Mallard/Alberta/226/2021,2021-08-26,2021.65,2021-08,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,northern america,canada,can,60.4247452861293,-96.5129185126773,alberta,ca.ab,54.9859148218572,-114.405475342745,A,2021-34,434,NA,NA,NA,NA,NA,2021-08-26,n4,n4,profileNA
H2N4.NA.EPI_ISL_16215563.anseriformes.canada.NA.2021-08-26,H2N4,EPI_ISL_16215563,A/Mallard/Alberta/231/2021,2021-08-26,2021.65,2021-08,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,northern america,canada,can,60.4247452861293,-96.5129185126773,alberta,ca.ab,54.9859148218572,-114.405475342745,A,2021-34,434,NA,NA,NA,NA,NA,2021-08-26,n4,n4,profileNA
H2N4.NA.EPI_ISL_16215549.anseriformes.canada.NA.2021-08-26,H2N4,EPI_ISL_16215549,A/Mallard/Alberta/192/2021,2021-08-26,2021.65,2021-08,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,northern america,canada,can,60.4247452861293,-96.5129185126773,alberta,ca.ab,54.9859148218572,-114.405475342745,A,2021-34,434,NA,NA,NA,NA,NA,2021-08-26,n4,n4,profileNA
H2N4.NA.EPI_ISL_16215534.anseriformes.canada.NA.2021-08-26,H2N4,EPI_ISL_16215534,A/Mallard/Alberta/153/2021,2021-08-26,2021.65,2021-08,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,northern america,canada,can,60.4247452861293,-96.5129185126773,alberta,ca.ab,54.9859148218572,-114.405475342745,A,2021-34,434,NA,NA,NA,NA,NA,2021-08-26,n4,n4,profileNA
