tipnames,virus.subtype,isolate.id,isolate.name,collection.date,collection.datedecimal,collection.datemonth,host.class,host.order,host.family,host.sciname,host.commonname,host.isbird,host.isdomestic,collection.region.name,collection.country.name,collection.country.code,collection.country.lat,collection.country.long,collection.subdiv1.name,collection.subdiv1.code,collection.subdiv1.lat,collection.subdiv1.long,virus.species,week.date,...1,clade,collection.original,profile,profile.lab,genome,collection.tipdate,segment,cluster.segment,cluster.number
H5N8.2.3.4.4b.EPI_ISL_9594306.galliformes.egypt.7.2020-04-01,H5N8,EPI_ISL_9594306,a/chicken/egypt/s18182c/2020,2020-04-01,2020.25,2020-04,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,northern africa,egypt,egy,26.5331366423868,29.7934978487062,NA,NA,NA,NA,a,2020-14,3720,2.3.4.4b,Africa / Egypt / NA / NA / NA,6_2_64_12_34_32_1_2,NA,7,2020-04-01,pb2,pb2,profile006
H5N1.2.3.4.4b.EPI_ISL_2276068.galliformes.senegal.2.2020-12-23,H5N1,EPI_ISL_2276068,a/chicken/senegal/21vir1084-3/2021,2020-12-23,2020.98,2020-12,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,western africa,senegal,sen,14.357700346957,-14.4663797488722,thiès,sn.th,14.831526394723,-16.7546068121427,a,2020-52,3845,2.3.4.4b,Africa / Senegal / Region de Thies / NA / NA,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,2,2020-12-23,pb2,pb2,profile002
H5N1.2.3.4.4b.EPI_ISL_2276069.galliformes.senegal.2.2020-12-23,H5N1,EPI_ISL_2276069,a/chicken/senegal/21vir1084-4/2021,2020-12-23,2020.98,2020-12,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,western africa,senegal,sen,14.357700346957,-14.4663797488722,thiès,sn.th,14.831526394723,-16.7546068121427,a,2020-52,3845,2.3.4.4b,Africa / Senegal / Region de Thies / NA / NA,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,2,2020-12-23,pb2,pb2,profile002
H5N1.2.3.4.4b.EPI_ISL_2276070.galliformes.senegal.2.2020-12-23,H5N1,EPI_ISL_2276070,a/chicken/senegal/21vir1084-5/2021,2020-12-23,2020.98,2020-12,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,western africa,senegal,sen,14.357700346957,-14.4663797488722,thiès,sn.th,14.831526394723,-16.7546068121427,a,2020-52,3845,2.3.4.4b,Africa / Senegal / Region de Thies / NA / NA,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,2,2020-12-23,pb2,pb2,profile002
H5N1.2.3.4.4b.EPI_ISL_2276071.pelecaniformes.senegal.2.2021-01-23,H5N1,EPI_ISL_2276071,a/great-white_pelican/senegal/21-67_21vir1084-8/2021,2021-01-23,2021.06,2021-01,pelecaniformes_wild,pelecaniformes,Pelecanidae,pelecanus onocrotalus,great white pelican,bird,wild,western africa,senegal,sen,14.357700346957,-14.4663797488722,auvergne-rhône-alpes,fr.ar,45.5190780558984,4.54715006428513,a,2021-03,3845,2.3.4.4b,Africa / Senegal / Djoudj bird sanctuary / NA / NA,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,2,2021-01-23,pb2,pb2,profile002
H5N8.2.3.4.4b.EPI_ISL_4061482.galliformes.nigeria.1.2021-02-05,H5N8,EPI_ISL_4061482,a/chicken/nigeria/vrd21-035b_21vir2288-1/2021,2021-02-05,2021.1,2021-02,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,western africa,nigeria,nga,9.58907159716497,8.08769036750384,NA,NA,NA,NA,a,2021-05,3815,2.3.4.4b,Africa / Nigeria / NA / NA / NA,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1,2021-02-05,pb2,pb2,profile003
H5N8.2.3.4.4b.EPI_ISL_4061483.galliformes.nigeria.1.2021-03-01,H5N8,EPI_ISL_4061483,a/chicken/nigeria/vrd21-100_21vir2370-423/2021,2021-03-01,2021.16,2021-03,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,western africa,nigeria,nga,9.58907159716497,8.08769036750384,NA,NA,NA,NA,a,2021-09,3815,2.3.4.4b,Africa / Nigeria / NA / NA / NA,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1,2021-03-01,pb2,pb2,profile003
H5N1.2.3.4.4b.EPI_ISL_4061484.galliformes.nigeria.2.2021-03-01,H5N1,EPI_ISL_4061484,a/chicken/nigeria/vrd21-102_21vir2370-424/2021,2021-03-01,2021.16,2021-03,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,western africa,nigeria,nga,9.58907159716497,8.08769036750384,NA,NA,NA,NA,a,2021-09,3815,2.3.4.4b,Africa / Nigeria / NA / NA / NA,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,2,2021-03-01,pb2,pb2,profile002
H5N1.2.3.4.4b.EPI_ISL_4061485.galliformes.nigeria.2.2021-03-01,H5N1,EPI_ISL_4061485,a/chicken/nigeria/vrd21-109_21vir2370-425/2021,2021-03-01,2021.16,2021-03,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,western africa,nigeria,nga,9.58907159716497,8.08769036750384,NA,NA,NA,NA,a,2021-09,3815,2.3.4.4b,Africa / Nigeria / NA / NA / NA,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,2,2021-03-01,pb2,pb2,profile002
H5N8.2.3.4.4b.EPI_ISL_4061490.galliformes.nigeria.1.2021-02-25,H5N8,EPI_ISL_4061490,a/chicken/nigeria/vrd21-88_21vir2288-8/2021,2021-02-25,2021.15,2021-02,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,western africa,nigeria,nga,9.58907159716497,8.08769036750384,NA,NA,NA,NA,a,2021-08,3815,2.3.4.4b,Africa / Nigeria / NA / NA / NA,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1,2021-02-25,pb2,pb2,profile003
