tipnames,virus.subtype,isolate.id,isolate.name,collection.date,collection.datedecimal,collection.datemonth,host.class,host.order,host.family,host.sciname,host.commonname,host.isbird,host.isdomestic,collection.region.name,collection.country.name,collection.country.code,collection.country.lat,collection.country.long,collection.subdiv1.name,collection.subdiv1.code,collection.subdiv1.lat,collection.subdiv1.long,virus.species,week.date,...1,clade,collection.original,profile,profile.lab,genome,collection.tipdate,segment,cluster.segment,cluster.number
H5N8.2.3.4.4b.EPI_ISL_631824.anseriformes.south_korea.10.2020-10-21,H5N8,EPI_ISL_631824,a/mandarin_duck/korea/h242/2020,2020-10-21,2020.8,2020-10,anseriformes_wild,anseriformes,Anatidae,aix galericulata,mandarin duck,bird,wild,eastern asia,south korea,kor,36.341057964317,127.784630688405,chungcheongbuk-do,kr.gb,36.737850075983,127.830446360213,a,2020-43,3775,2.3.4.4b,Asia / Korea / Chungcheongbuk-do / NA / NA,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10,2020-10-21,ns,ns,profile002
H5N8.2.3.4.4b.EPI_ISL_614401.anseriformes.kazakhstan.1.2020-09-23,H5N8,EPI_ISL_614401,a/mute_swan/kazakhstan/1-267-20-b/2020,2020-09-23,2020.73,2020-09,anseriformes_wild,anseriformes,Anatidae,cygnus olor,mute swan,bird,wild,central asia,kazakhstan,kaz,48.3645677524915,67.2060737287064,aqmola,kz.am,51.7623557428944,69.9739209295215,a,2020-39,3769,2.3.4.4b,Asia / Kazakhstan / Akmola / NA / NA,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1,2020-09-23,ns,ns,profile002
H5N8.2.3.4.4b.EPI_ISL_615065.anseriformes.kazakhstan.1.2020-09-22,H5N8,EPI_ISL_615065,a/domestic_goose/kazakhstan/1-261_2-20-b/2020,2020-09-22,2020.72,2020-09,anseriformes_domestic,anseriformes,Anatidae,anser sp. (domestic type),domestic goose sp. (domestic type),bird,domestic,central asia,kazakhstan,kaz,48.3645677524915,67.2060737287064,qostanay,kz.qs,51.5322283786231,64.0853293002361,a,2020-39,3769,2.3.4.4b,Asia / Kazakhstan / Kostanay / NA / NA,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1,2020-09-22,ns,ns,profile002
H5N8.2.3.4.4b.EPI_ISL_615068.anseriformes.kazakhstan.1.2020-09-20,H5N8,EPI_ISL_615068,a/domestic_goose/kazakhstan/1-248_2-20-b/2020,2020-09-20,2020.72,2020-09,anseriformes_domestic,anseriformes,Anatidae,anser sp. (domestic type),domestic goose sp. (domestic type),bird,domestic,central asia,kazakhstan,kaz,48.3645677524915,67.2060737287064,aqmola,kz.am,51.7623557428944,69.9739209295215,a,2020-38,3769,2.3.4.4b,Asia / Kazakhstan / Akmola / NA / NA,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1,2020-09-20,ns,ns,profile002
H5N8.2.3.4.4b.EPI_ISL_615072.anseriformes.kazakhstan.1.2020-09-25,H5N8,EPI_ISL_615072,a/domestic_duck/kazakhstan/1-274-20-b/2020,2020-09-25,2020.73,2020-09,anseriformes_domestic,anseriformes,Anatidae,anas platyrhynchos (domestic type),mallard (domestic type),bird,domestic,central asia,kazakhstan,kaz,48.3645677524915,67.2060737287064,qostanay,kz.qs,51.5322283786231,64.0853293002361,a,2020-39,3769,2.3.4.4b,Asia / Kazakhstan / Kostanay / NA / NA,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1,2020-09-25,ns,ns,profile002
H5N8.2.3.4.4b.EPI_ISL_615073.anseriformes.kazakhstan.1.2020-09-19,H5N8,EPI_ISL_615073,a/domestic_goose/kazakhstan/1-242_2-20-b/2020,2020-09-19,2020.72,2020-09,anseriformes_domestic,anseriformes,Anatidae,anser sp. (domestic type),domestic goose sp. (domestic type),bird,domestic,central asia,kazakhstan,kaz,48.3645677524915,67.2060737287064,north kazakhstan,kz.nk,53.8421826489217,69.2722074369824,a,2020-38,3769,2.3.4.4b,Asia / Kazakhstan / North Kazakhstan / NA / NA,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1,2020-09-19,ns,ns,profile002
H5N8.2.3.4.4b.EPI_ISL_623074.galliformes.iraq.1.2020-05-12,H5N8,EPI_ISL_623074,a/chicken/iraq/1/2020,2020-05-12,2020.36,2020-05,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,western asia,iraq,irq,33.017872044376,43.8055120134245,ninawa,iq.ni,35.9913317126514,42.4617230992077,a,2020-20,3761,2.3.4.4b,Asia / Iraq / Muhafazat Ninawa / NA / NA,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1,2020-05-12,ns,ns,profile002
H5N8.2.3.4.4b.EPI_ISL_625671.anseriformes.china.1.2020-10-17,H5N8,EPI_ISL_625671,a/whooper_swan/inner_mongolia/w1-1/2020,2020-10-17,2020.79,2020-10,anseriformes_wild,anseriformes,Anatidae,cygnus cygnus,whooper swan,bird,wild,eastern asia,china,chn,36.6848135465548,103.513718494908,nei mongol,cn.nm,44.083329648604,113.188484632426,a,2020-42,509,2.3.4.4b,Asia / China / Inner Mongolia Autonomous Region / NA / NA,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1,2020-10-17,ns,ns,profile002
H5N8.2.3.4.4b.EPI_ISL_625672.anseriformes.china.1.2020-10-17,H5N8,EPI_ISL_625672,a/mute_swan/inner_mongolia/w2-1/2020,2020-10-17,2020.79,2020-10,anseriformes_wild,anseriformes,Anatidae,cygnus olor,mute swan,bird,wild,eastern asia,china,chn,36.6848135465548,103.513718494908,nei mongol,cn.nm,44.083329648604,113.188484632426,a,2020-42,509,2.3.4.4b,Asia / China / Inner Mongolia Autonomous Region / NA / NA,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1,2020-10-17,ns,ns,profile002
H5N8.2.3.4.4b.EPI_ISL_666687.anseriformes.south_korea.10.2020-10-24,H5N8,EPI_ISL_666687,a/madarin_duck/korea/k20-551-4/2020,2020-10-24,2020.81,2020-10,anseriformes_wild,anseriformes,Anatidae,aix galericulata,mandarin duck,bird,wild,eastern asia,south korea,kor,36.341057964317,127.784630688405,gyeonggi-do,kr.kg,37.5315346337798,127.181023197189,a,2020-43,3775,2.3.4.4b,Asia / Korea / Gyeonggi-do / NA / NA,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10,2020-10-24,ns,ns,profile002
