tipnames,virus.subtype,isolate.id,isolate.name,collection.date,collection.datedecimal,collection.datemonth,host.class,host.order,host.family,host.sciname,host.commonname,host.isbird,host.isdomestic,collection.region.name,collection.country.name,collection.country.code,collection.country.lat,collection.country.long,collection.subdiv1.name,collection.subdiv1.code,collection.subdiv1.lat,collection.subdiv1.long,virus.species,week.date,...1,clade,collection.original,profile,profile.lab,genome,collection.tipdate,segment,cluster.segment,cluster.number
H5N1.2344b.EPI_ISL_9880015.anseriformes.united_states.5.2022-01-08,H5N1,EPI_ISL_9880015,a/american_wigeon/north_carolina/ah0182517/2022,2022-01-08,2022.02,2022-01,anseriformes_wild,anseriformes,Anatidae,mareca americana,american wigeon,bird,wild,northern america,united states,usa,44.75294654392,-103.651025114044,north carolina,us.nc,35.5562842108177,-79.3865256785998,a,2022-01,3436,2344b,North America / United States / North Carolina / Hyde / NA,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5,2022-01-08,ns,ns,profile001
H5N1.2344b.EPI_ISL_9880019.anseriformes.united_states.5.2022-01-08,H5N1,EPI_ISL_9880019,a/mallard/north_carolina/ah0182886/2022,2022-01-08,2022.02,2022-01,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,northern america,united states,usa,44.75294654392,-103.651025114044,north carolina,us.nc,35.5562842108177,-79.3865256785998,a,2022-01,3436,2344b,North America / United States / North Carolina / Pamlico / NA,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5,2022-01-08,ns,ns,profile001
H5N1.2344b.EPI_ISL_9880021.anseriformes.united_states.5.2022-01-08,H5N1,EPI_ISL_9880021,a/northern_pintail/north_carolina/ah0182892/2022,2022-01-08,2022.02,2022-01,anseriformes_wild,anseriformes,Anatidae,anas acuta,northern pintail,bird,wild,northern america,united states,usa,44.75294654392,-103.651025114044,north carolina,us.nc,35.5562842108177,-79.3865256785998,a,2022-01,3436,2344b,North America / United States / North Carolina / Pamlico / NA,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5,2022-01-08,ns,ns,profile001
H5N1.2344b.EPI_ISL_9880151.anseriformes.united_states.5.2022-01-08,H5N1,EPI_ISL_9880151,a/gadwall/north_carolina/ah0182894/2022,2022-01-08,2022.02,2022-01,anseriformes_wild,anseriformes,Anatidae,mareca strepera,gadwall,bird,wild,northern america,united states,usa,44.75294654392,-103.651025114044,north carolina,us.nc,35.5562842108177,-79.3865256785998,a,2022-01,3436,2344b,North America / United States / North Carolina / Pamlico / NA,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5,2022-01-08,ns,ns,profile001
H5N1.2344b.EPI_ISL_9880152.anseriformes.united_states.5.2022-01-08,H5N1,EPI_ISL_9880152,a/northern_shoveler/north_carolina/ah0182913/2022,2022-01-08,2022.02,2022-01,anseriformes_wild,anseriformes,Anatidae,spatula clypeata,northern shoveler,bird,wild,northern america,united states,usa,44.75294654392,-103.651025114044,north carolina,us.nc,35.5562842108177,-79.3865256785998,a,2022-01,3436,2344b,North America / United States / North Carolina / Pamlico / NA,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5,2022-01-08,ns,ns,profile001
H5N1.2344b.EPI_ISL_9880153.anseriformes.united_states.5.2022-01-08,H5N1,EPI_ISL_9880153,a/american_wigeon/north_carolina/ah0182954/2022,2022-01-08,2022.02,2022-01,anseriformes_wild,anseriformes,Anatidae,mareca americana,american wigeon,bird,wild,northern america,united states,usa,44.75294654392,-103.651025114044,north carolina,us.nc,35.5562842108177,-79.3865256785998,a,2022-01,3436,2344b,North America / United States / North Carolina / Pamlico / NA,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5,2022-01-08,ns,ns,profile001
H5N1.2344b.EPI_ISL_12567390.galliformes.united_states.5.2022-03-17,H5N1,EPI_ISL_12567390,a/chicken/maryland/22-008243-001-original/2022,2022-03-17,2022.21,2022-03,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,northern america,united states,usa,44.75294654392,-103.651025114044,maryland,us.md,39.0551372724782,-76.7907951867475,a,2022-11,3423,2344b,North America / United States / Maryland / Cecil / NA,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5,2022-03-17,ns,ns,profile001
H5N1.2344b.EPI_ISL_12567391.galliformes.united_states.5.2022-03-25,H5N1,EPI_ISL_12567391,a/chicken/iowa/22-009180-001-original/2022,2022-03-25,2022.23,2022-03,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,northern america,united states,usa,44.75294654392,-103.651025114044,iowa,us.ia,42.0765903413827,-93.4960133625023,a,2022-12,3418,2344b,North America / United States / Iowa / Franklin / NA,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5,2022-03-25,ns,ns,profile001
H5N1.2344b.EPI_ISL_12567392.galliformes.united_states.5.2022-03-25,H5N1,EPI_ISL_12567392,a/chicken/iowa/22-009180-002-original/2022,2022-03-25,2022.23,2022-03,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,northern america,united states,usa,44.75294654392,-103.651025114044,iowa,us.ia,42.0765903413827,-93.4960133625023,a,2022-12,3418,2344b,North America / United States / Iowa / Franklin / NA,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5,2022-03-25,ns,ns,profile001
H5N1.2344b.EPI_ISL_12567393.galliformes.united_states.4.2022-03-25,H5N1,EPI_ISL_12567393,a/chicken/minnesota/22-009181-001-original/2022,2022-03-25,2022.23,2022-03,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,northern america,united states,usa,44.75294654392,-103.651025114044,minnesota,us.mn,46.3193148536411,-94.1968042401401,a,2022-12,3426,2344b,North America / United States / Minnesota / Mower / NA,4_1_1_1_2_1_1_1,H5N1/2022/R4_NAmerica,4,2022-03-25,ns,ns,profile001
H5N1.2344b.EPI_ISL_12567529.anseriformes.united_states.4.2022-03-25,H5N1,EPI_ISL_12567529,a/embden_goose/minnesota/22-009181-003-original/2022,2022-03-25,2022.23,2022-03,anseriformes_domestic,anseriformes,Anatidae,anser sp. (domestic type),domestic goose sp. (domestic type),bird,domestic,northern america,united states,usa,44.75294654392,-103.651025114044,minnesota,us.mn,46.3193148536411,-94.1968042401401,a,2022-12,3426,2344b,North America / United States / Minnesota / Mower / NA,4_1_1_1_2_1_1_1,H5N1/2022/R4_NAmerica,4,2022-03-25,ns,ns,profile001
H5N1.2344b.EPI_ISL_12567530.galliformes.united_states.4.2022-03-25,H5N1,EPI_ISL_12567530,a/turkey/minnesota/22-009182-001-original/2022,2022-03-25,2022.23,2022-03,galliformes_domestic,galliformes,Phasianidae,meleagris gallopavo (domestic type),wild turkey (domestic type),bird,domestic,northern america,united states,usa,44.75294654392,-103.651025114044,minnesota,us.mn,46.3193148536411,-94.1968042401401,a,2022-12,3426,2344b,North America / United States / Minnesota / Meeker / NA,4_1_1_1_2_1_1_1,H5N1/2022/R4_NAmerica,4,2022-03-25,ns,ns,profile001
H5N1.2344b.EPI_ISL_12567531.galliformes.united_states.4.2022-03-25,H5N1,EPI_ISL_12567531,a/turkey/minnesota/22-009182-003-original/2022,2022-03-25,2022.23,2022-03,galliformes_domestic,galliformes,Phasianidae,meleagris gallopavo (domestic type),wild turkey (domestic type),bird,domestic,northern america,united states,usa,44.75294654392,-103.651025114044,minnesota,us.mn,46.3193148536411,-94.1968042401401,a,2022-12,3426,2344b,North America / United States / Minnesota / Meeker / NA,4_1_1_1_2_1_1_1,H5N1/2022/R4_NAmerica,4,2022-03-25,ns,ns,profile001
H5N1.2344b.EPI_ISL_12567532.anseriformes.united_states.5.2022-03-24,H5N1,EPI_ISL_12567532,a/domestic_duck/nebraska/22-009190-001-original/2022,2022-03-24,2022.22,2022-03,anseriformes_domestic,anseriformes,Anatidae,anas platyrhynchos (domestic type),mallard (domestic type),bird,domestic,northern america,united states,usa,44.75294654392,-103.651025114044,nebraska,us.ne,41.5381860818162,-99.7937041398577,a,2022-12,3430,2344b,North America / United States / Nebraska / Holt / NA,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5,2022-03-24,ns,ns,profile001
H5N1.2344b.EPI_ISL_12567533.galliformes.united_states.5.2022-03-24,H5N1,EPI_ISL_12567533,a/chicken/nebraska/22-009190-002-original/2022,2022-03-24,2022.22,2022-03,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,northern america,united states,usa,44.75294654392,-103.651025114044,nebraska,us.ne,41.5381860818162,-99.7937041398577,a,2022-12,3430,2344b,North America / United States / Nebraska / Holt / NA,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5,2022-03-24,ns,ns,profile001
H5N1.2344b.EPI_ISL_12690318.galliformes.united_states.4.2022-03-25,H5N1,EPI_ISL_12690318,a/chicken/missouri/22-009192-002-original/2022,2022-03-25,2022.23,2022-03,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,northern america,united states,usa,44.75294654392,-103.651025114044,missouri,us.mo,38.3563815994258,-92.4583278415207,a,2022-12,3428,2344b,North America / United States / Missouri / Gentry / NA,4_1_1_1_2_1_1_1,H5N1/2022/R4_NAmerica,4,2022-03-25,ns,ns,profile001
H5N1.2344b.EPI_ISL_12690319.anseriformes.united_states.4.2022-03-25,H5N1,EPI_ISL_12690319,a/duck/missouri/22-009192-003-original/2022,2022-03-25,2022.23,2022-03,anseriformes_wild,anseriformes,Anatidae,anatidae (duck sp.),duck sp.,bird,wild,northern america,united states,usa,44.75294654392,-103.651025114044,missouri,us.mo,38.3563815994258,-92.4583278415207,a,2022-12,3428,2344b,North America / United States / Missouri / Gentry / NA,4_1_1_1_2_1_1_1,H5N1/2022/R4_NAmerica,4,2022-03-25,ns,ns,profile001
H5N1.2344b.EPI_ISL_12690320.galliformes.united_states.4.2022-03-25,H5N1,EPI_ISL_12690320,a/chicken/south_dakota/22-009194-002-original/2022,2022-03-25,2022.23,2022-03,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,northern america,united states,usa,44.75294654392,-103.651025114044,south dakota,us.sd,44.4440561554676,-100.227146799835,a,2022-12,3444,2344b,North America / United States / South Dakota / Bon Homme / NA,4_1_1_1_2_1_1_1,H5N1/2022/R4_NAmerica,4,2022-03-25,ns,ns,profile001
H5N1.2344b.EPI_ISL_12690321.galliformes.united_states.4.2022-03-25,H5N1,EPI_ISL_12690321,a/guinea_fowl/south_dakota/22-009194-003-original/2022,2022-03-25,2022.23,2022-03,galliformes_domestic,galliformes,Numididae,numida meleagris (domestic type),helmeted guineafowl (domestic type),bird,domestic,northern america,united states,usa,44.75294654392,-103.651025114044,south dakota,us.sd,44.4440561554676,-100.227146799835,a,2022-12,3444,2344b,North America / United States / South Dakota / Bon Homme / NA,4_1_1_1_2_1_1_1,H5N1/2022/R4_NAmerica,4,2022-03-25,ns,ns,profile001
H5N1.2344b.EPI_ISL_12690322.galliformes.united_states.4.2022-03-26,H5N1,EPI_ISL_12690322,a/turkey/minnesota/22-009195-002-original/2022,2022-03-26,2022.23,2022-03,galliformes_domestic,galliformes,Phasianidae,meleagris gallopavo (domestic type),wild turkey (domestic type),bird,domestic,northern america,united states,usa,44.75294654392,-103.651025114044,minnesota,us.mn,46.3193148536411,-94.1968042401401,a,2022-12,3426,2344b,North America / United States / Minnesota / Stearns / NA,4_1_1_1_2_1_1_1,H5N1/2022/R4_NAmerica,4,2022-03-26,ns,ns,profile001
