tipnames	collection_date	collection_datedecimal	collection_datemonth	collection_dateyear	collection_regionname	collection_countryname	collection_countrylat	collection_countrylong	profile	cluster_profileclass	host_order	host_isbird	host_simplifiedhost	tiplocation_lon	tiplocation_lat
H5N1.2344b.EPI_ISL_16013752.pelecaniformes.venezuela.4_1_1_1_2_1_1_8.2022-11-25	2022-11-25	2022.9	2022-11	2022	south america	venezuela	7.13172612392755	-66.1349690012146	4_1_1_1_2_1_1_8	dominant	pelecaniformes	TRUE	other	-64.4049370136296	8.89363259762319
H5N1.2344b.EPI_ISL_17011957.pelecaniformes.chile.5_3_1_1_2_1_1_4.2022-12-06	2022-12-06	2022.93	2022-12	2022	south america	chile	-36.352932692973	-71.0631434301439	5_3_1_1_2_1_1_4	dominant	pelecaniformes	TRUE	other	-71.0631434301439	-36.352932692973
H5N1.2344b.EPI_ISL_17011958.charadriiformes.chile.5_3_1_1_2_1_1_4.2022-12-07	2022-12-07	2022.93	2022-12	2022	south america	chile	-36.352932692973	-71.0631434301439	5_3_1_1_2_1_1_4	dominant	charadriiformes	TRUE	charadriiformes-wild	-71.0631434301439	-36.352932692973
H5N1.2344b.EPI_ISL_17011959.pelecaniformes.chile.5_3_1_1_2_1_1_4.2022-12-06	2022-12-06	2022.93	2022-12	2022	south america	chile	-36.352932692973	-71.0631434301439	5_3_1_1_2_1_1_4	dominant	pelecaniformes	TRUE	other	-71.0631434301439	-36.352932692973
H5N1.2344b.EPI_ISL_17011961.pelecaniformes.chile.5_3_1_1_2_1_1_4.2022-12-05	2022-12-05	2022.93	2022-12	2022	south america	chile	-36.352932692973	-71.0631434301439	5_3_1_1_2_1_1_4	dominant	pelecaniformes	TRUE	other	-71.0631434301439	-36.352932692973
H5N1.2344b.EPI_ISL_17011962.pelecaniformes.chile.5_3_1_1_2_1_1_4.2022-12-05	2022-12-05	2022.93	2022-12	2022	south america	chile	-36.352932692973	-71.0631434301439	5_3_1_1_2_1_1_4	dominant	pelecaniformes	TRUE	other	-71.0631434301439	-36.352932692973
H5N1.2344b.EPI_ISL_17011963.pelecaniformes.chile.5_3_1_1_2_1_1_4.2022-12-06	2022-12-06	2022.93	2022-12	2022	south america	chile	-36.352932692973	-71.0631434301439	5_3_1_1_2_1_1_4	dominant	pelecaniformes	TRUE	other	-71.0631434301439	-36.352932692973
H5N1.2344b.EPI_ISL_17011964.charadriiformes.chile.5_3_1_1_2_1_1_4.2022-12-07	2022-12-07	2022.93	2022-12	2022	south america	chile	-36.352932692973	-71.0631434301439	5_3_1_1_2_1_1_4	dominant	charadriiformes	TRUE	charadriiformes-wild	-71.0631434301439	-36.352932692973
H5N1.2344b.EPI_ISL_17012018.pelecaniformes.chile.5_3_1_1_2_1_1_4.2022-12-07	2022-12-07	2022.93	2022-12	2022	south america	chile	-36.352932692973	-71.0631434301439	5_3_1_1_2_1_1_4	dominant	pelecaniformes	TRUE	other	-71.0631434301439	-36.352932692973
H5N1.2344b.EPI_ISL_17777525.suliformes.peru.5_3_1_1_2_1_1_4.2023-04-03	2023-04-03	2023.25	2023-04	2023	south america	peru	-9.12690950582405	-74.3967035676846	5_3_1_1_2_1_1_4	dominant	suliformes	TRUE	other	-76.9049187829412	-12.0179113235961
