tip,label,node,cluster_profile,height,height_0.95_HPD,branch.length,host_simplifiedhost,host_simplifiedhost.prob,cluster_number
1,NA,444,2_1_1_1_1_1_1_1,2.64172908620368,,NA,anseriformes-wild,0.678146872569715,2_1_1_1_1_1_1_1
1,NA,475,2_1_1_1_1_1_1_1,2.53081226728825,,0.1101575908236394,anseriformes-wild,0.983210912906611,2_1_1_1_1_1_1_1
1,NA,476,2_1_1_1_1_1_1_1,2.52125640237391,,0.0019546191632811016,anseriformes-wild,1,2_1_1_1_1_1_1_1
1,NA,477,2_1_1_1_1_1_1_1,2.46875134434476,,0.04579179384670207,anseriformes-wild,1,2_1_1_1_1_1_1_1
1,NA,492,2_1_1_1_1_1_1_1,2.45958186394648,,0.009169480398276253,anseriformes-wild,1,2_1_1_1_1_1_1_1
1,NA,493,2_1_1_1_1_1_1_1,2.4572758352946,,0.0023060286518790107,anseriformes-wild,1,2_1_1_1_1_1_1_1
1,NA,494,2_1_1_1_1_1_1_1,2.45572820691483,,0.0015476283797699608,anseriformes-wild,1,2_1_1_1_1_1_1_1
1,NA,495,2_1_1_1_1_1_1_1,2.45542680020583,,3.014067089983641e-4,anseriformes-wild,1,2_1_1_1_1_1_1_1
1,NA,516,2_1_1_1_1_1_1_1,2.45470320401295,,7.235961928846457e-4,anseriformes-wild,1,2_1_1_1_1_1_1_1
1,NA,518,2_1_1_1_1_1_1_1,2.35725658642844,,0.10570280646455865,anseriformes-wild,0.995886654478976,2_1_1_1_1_1_1_1
1,NA,519,2_1_1_1_1_1_1_1,2.29561100765285,,0.05338938989554132,anseriformes-wild,0.933333333333333,2_1_1_1_1_1_1_1
1,NA,527,2_1_1_1_1_1_1_1,2.29010664269149,,0.0055043649613599754,anseriformes-wild,0.933333333333333,5_1_1_1_2_1_1_1
1,NA,528,2_1_1_1_1_1_1_1,2.26686652881742,,0.0232401138740701,anseriformes-wild,0.933333333333333,5_1_1_1_2_1_1_1
1,NA,531,2_1_1_1_1_1_1_1,2.25320507074507,,0.013661458072349753,anseriformes-wild,0.933333333333333,5_1_1_1_2_1_1_1
1,NA,542,2_1_1_1_1_1_1_1,2.18814675690497,,0.07047230711533636,anseriformes-wild,0.623376623376623,5_1_1_1_2_1_1_1
1,H5N1|2344b|EPI_ISL_11628216|galliformes|united_states|2_1_1_1_1_1_1_1|2022-02-12,1,2_1_1_1_1_1_1_1,2.12263642488202,,0.06009633874763365,galliformes-domestic,1,NA
2,NA,444,2_1_1_1_1_1_1_1,2.64172908620368,,NA,anseriformes-wild,0.678146872569715,2_1_1_1_1_1_1_1
2,NA,475,2_1_1_1_1_1_1_1,2.53081226728825,,0.1101575908236394,anseriformes-wild,0.983210912906611,2_1_1_1_1_1_1_1
2,NA,476,2_1_1_1_1_1_1_1,2.52125640237391,,0.0019546191632811016,anseriformes-wild,1,2_1_1_1_1_1_1_1
2,NA,477,2_1_1_1_1_1_1_1,2.46875134434476,,0.04579179384670207,anseriformes-wild,1,2_1_1_1_1_1_1_1
2,NA,492,2_1_1_1_1_1_1_1,2.45958186394648,,0.009169480398276253,anseriformes-wild,1,2_1_1_1_1_1_1_1
2,NA,493,2_1_1_1_1_1_1_1,2.4572758352946,,0.0023060286518790107,anseriformes-wild,1,2_1_1_1_1_1_1_1
2,NA,494,2_1_1_1_1_1_1_1,2.45572820691483,,0.0015476283797699608,anseriformes-wild,1,2_1_1_1_1_1_1_1
2,NA,495,2_1_1_1_1_1_1_1,2.45542680020583,,3.014067089983641e-4,anseriformes-wild,1,2_1_1_1_1_1_1_1
2,NA,516,2_1_1_1_1_1_1_1,2.45470320401295,,7.235961928846457e-4,anseriformes-wild,1,2_1_1_1_1_1_1_1
2,NA,518,2_1_1_1_1_1_1_1,2.35725658642844,,0.10570280646455865,anseriformes-wild,0.995886654478976,2_1_1_1_1_1_1_1
2,NA,519,2_1_1_1_1_1_1_1,2.29561100765285,,0.05338938989554132,anseriformes-wild,0.933333333333333,2_1_1_1_1_1_1_1
2,NA,527,2_1_1_1_1_1_1_1,2.29010664269149,,0.0055043649613599754,anseriformes-wild,0.933333333333333,5_1_1_1_2_1_1_1
2,NA,528,2_1_1_1_1_1_1_1,2.26686652881742,,0.0232401138740701,anseriformes-wild,0.933333333333333,5_1_1_1_2_1_1_1
2,NA,529,2_1_1_1_1_1_1_1,2.20268789107313,,0.07801433621823595,anseriformes-wild,0.753424657534247,5_1_1_1_2_1_1_1
