scientificName,class,order,family,vernacularName
Pongo abelii,Mammalia,Primates,Hominidae,sumatran orangutan
Mus baoulei,Mammalia,Rodentia,Muridae,baoule's mouse
Dipodillus dasyurus,Mammalia,Rodentia,Muridae,wagner's dipodil
Reithrodontomys gracilis,Mammalia,Rodentia,Cricetidae,slender harvest mouse
Rhogeessa tumida,Mammalia,Chiroptera,Vespertilionidae,black-winged little yellow bat
Glischropus javanus,Mammalia,Chiroptera,Vespertilionidae,javan thick-thumbed bat
Trichosurus cunninghami,Mammalia,Diprotodontia,Phalangeridae,mountain brushtail possum
Mops petersoni,Mammalia,Chiroptera,Molossidae,peterson's free-tailed bat
Gardnerycteris keenani,Mammalia,Chiroptera,Phyllostomidae,keenan's hairy-nosed bat
Phalanger lullulae,Mammalia,Diprotodontia,Phalangeridae,woodlark cuscus
Acomys russatus,Mammalia,Rodentia,Muridae,golden spiny mouse
Sciurus spadiceus,Mammalia,Rodentia,Sciuridae,southern amazon red squirrel
Leptonycteris nivalis,Mammalia,Chiroptera,Phyllostomidae,greater long-nosed bat
Dasypterus xanthinus,Mammalia,Chiroptera,Vespertilionidae,western yellow bat
Neoromicia somalica,Mammalia,Chiroptera,Vespertilionidae,somali serotine
Mus triton,Mammalia,Rodentia,Muridae,gray-bellied mouse
Neoromicia anchietae,Mammalia,Chiroptera,Vespertilionidae,anchieta's pipistrelle
Scotomanes ornatus,Mammalia,Chiroptera,Vespertilionidae,harlequin bat
Microtus montanus,Mammalia,Rodentia,Cricetidae,montane vole
Tamias sonomae,Mammalia,Rodentia,Sciuridae,sonoma chipmunk
Akodon siberiae,Mammalia,Rodentia,Cricetidae,cochabamba akodont
Nycticeinops macrocephalus,Mammalia,Chiroptera,Vespertilionidae,large headed pipistrelle
Sturnira bogotensis,Mammalia,Chiroptera,Phyllostomidae,bogota yellow-shouldered bat
Gerbillus vivax,Mammalia,Rodentia,Muridae,vivacious gerbil
Gerbilliscus nigricaudus,Mammalia,Rodentia,Muridae,black-tailed gerbil
Myotis clydejonesi,Mammalia,Chiroptera,Vespertilionidae,clyde jones's myotis
Myotis browni,Mammalia,Chiroptera,Vespertilionidae,brown's whiskered myotis
Micronycteris brosseti,Mammalia,Chiroptera,Phyllostomidae,brosset's big-eared bat
Sigmodon mascotensis,Mammalia,Rodentia,Cricetidae,jaliscan cotton rat
Allactaga hotsoni,Mammalia,Rodentia,Dipodidae,hotson's five-toed jerboa
