scientificName,class,order,family,vernacularName
Aedes japonicus,Insecta,Diptera,Culicidae,NA
Uranotaenia novaguiensis,Insecta,Diptera,Culicidae,NA
Toxorhynchites aequatorianus,Insecta,Diptera,Culicidae,NA
Aetheapnomyia hoffeinsorum,Insecta,Diptera,Culicidae,NA
Chagasia ablusa,Insecta,Diptera,Culicidae,NA
Chagasia bonneae,Insecta,Diptera,Culicidae,NA
Chagasia fajardi,Insecta,Diptera,Culicidae,NA
Chagasia rozeboomi,Insecta,Diptera,Culicidae,NA
Priscoculex burmanicus,Insecta,Diptera,Culicidae,NA
Anopheles nero,Insecta,Diptera,Culicidae,NA
Anopheles albitarsis,Insecta,Diptera,Culicidae,NA
Anopheles anthropophagus,Insecta,Diptera,Culicidae,NA
Anopheles africanus,Insecta,Diptera,Culicidae,NA
Anopheles brachypus,Insecta,Diptera,Culicidae,NA
Anopheles costalis,Insecta,Diptera,Culicidae,NA
Anopheles arnoulti,Insecta,Diptera,Culicidae,NA
Anopheles artemievi,Insecta,Diptera,Culicidae,NA
Anopheles jacobi,Insecta,Diptera,Culicidae,NA
Anopheles kiangsuensis,Insecta,Diptera,Culicidae,NA
Anopheles courdurieri,Insecta,Diptera,Culicidae,NA
Anopheles dominicanus,Insecta,Diptera,Culicidae,NA
Anopheles rottensis,Insecta,Diptera,Culicidae,NA
Anopheles minutus,Insecta,Diptera,Culicidae,NA
Anopheles medialis,Insecta,Diptera,Culicidae,NA
Anopheles vulgaris,Insecta,Diptera,Culicidae,NA
Anopheles upemba,Insecta,Diptera,Culicidae,NA
Luzia chaingmaiensis,Insecta,Diptera,Culicidae,NA
Anopheles yaeyamaensis,Insecta,Diptera,Culicidae,NA
Kimia suchariti,Insecta,Diptera,Culicidae,NA
Kimia nemorosa,Insecta,Diptera,Culicidae,NA
Culex fasciolatus,Insecta,Diptera,Culicidae,NA
Toxorhynchites speciosus,Insecta,Diptera,Culicidae,NA
Toxorhynchites splendens,Insecta,Diptera,Culicidae,NA
Toxorhynchites rodhaini,Insecta,Diptera,Culicidae,NA
Toxorhynchites ruwenzori,Insecta,Diptera,Culicidae,NA
Toxorhynchites towadensis,Insecta,Diptera,Culicidae,NA
Toxorhynchites acaudatus,Insecta,Diptera,Culicidae,NA
Toxorhynchites albipes,Insecta,Diptera,Culicidae,NA
Toxorhynchites amboinensis,Insecta,Diptera,Culicidae,NA
Toxorhynchites angustiplatus,Insecta,Diptera,Culicidae,NA
Toxorhynchites ater,Insecta,Diptera,Culicidae,NA
Toxorhynchites auranticauda,Insecta,Diptera,Culicidae,NA
Toxorhynchites auripes,Insecta,Diptera,Culicidae,NA
Toxorhynchites barbipes,Insecta,Diptera,Culicidae,NA
Toxorhynchites bengalensis,Insecta,Diptera,Culicidae,NA
Toxorhynchites bickleyi,Insecta,Diptera,Culicidae,NA
Toxorhynchites brevipalpis,Insecta,Diptera,Culicidae,NA
Toxorhynchites camaronis,Insecta,Diptera,Culicidae,NA
Toxorhynchites edwardsi,Insecta,Diptera,Culicidae,NA
Toxorhynchites dundo,Insecta,Diptera,Culicidae,NA
Toxorhynchites coeruleus,Insecta,Diptera,Culicidae,NA
Toxorhynchites christophi,Insecta,Diptera,Culicidae,NA
Toxorhynchites gravelyi,Insecta,Diptera,Culicidae,NA
Toxorhynchites gigantulus,Insecta,Diptera,Culicidae,NA
Toxorhynchites funestus,Insecta,Diptera,Culicidae,NA
Toxorhynchites evansae,Insecta,Diptera,Culicidae,NA
Toxorhynchites klossi,Insecta,Diptera,Culicidae,NA
Toxorhynchites kempi,Insecta,Diptera,Culicidae,NA
Toxorhynchites inornatus,Insecta,Diptera,Culicidae,NA
Toxorhynchites indicus,Insecta,Diptera,Culicidae,NA
Toxorhynchites magnificus,Insecta,Diptera,Culicidae,NA
Toxorhynchites macaensis,Insecta,Diptera,Culicidae,NA
Toxorhynchites lewisi,Insecta,Diptera,Culicidae,NA
Toxorhynchites leicesteri,Insecta,Diptera,Culicidae,NA
Toxorhynchites metallicus,Insecta,Diptera,Culicidae,NA
Toxorhynchites mexicanus,Insecta,Diptera,Culicidae,NA
Toxorhynchites manicatus,Insecta,Diptera,Culicidae,NA
Toxorhynchites manopi,Insecta,Diptera,Culicidae,NA
Toxorhynchites nepenthis,Insecta,Diptera,Culicidae,NA
Toxorhynchites nigripes,Insecta,Diptera,Culicidae,NA
Toxorhynchites minimus,Insecta,Diptera,Culicidae,NA
Toxorhynchites nepenthicola,Insecta,Diptera,Culicidae,NA
Toxorhynchites phytophagus,Insecta,Diptera,Culicidae,NA
Toxorhynchites quasiferox,Insecta,Diptera,Culicidae,NA
Toxorhynchites okinawensis,Insecta,Diptera,Culicidae,NA
Toxorhynchites pendleburyi,Insecta,Diptera,Culicidae,NA
Toxorhynchites raris,Insecta,Diptera,Culicidae,NA
Toxorhynchites rickenbachi,Insecta,Diptera,Culicidae,NA
Toxorhynchites rajah,Insecta,Diptera,Culicidae,NA
Toxorhynchites ramalingami,Insecta,Diptera,Culicidae,NA
Toxorhynchites sunthorni,Insecta,Diptera,Culicidae,NA
Toxorhynchites sumatranus,Insecta,Diptera,Culicidae,NA
Toxorhynchites tyagii,Insecta,Diptera,Culicidae,NA
Toxorhynchites aeneus,Insecta,Diptera,Culicidae,NA
Toxorhynchites erythrurus,Insecta,Diptera,Culicidae,NA
Toxorhynchites capelai,Insecta,Diptera,Culicidae,NA
Toxorhynchites brunhesi,Insecta,Diptera,Culicidae,NA
Toxorhynchites angolensis,Insecta,Diptera,Culicidae,NA
Toxorhynchites kaimosi,Insecta,Diptera,Culicidae,NA
Toxorhynchites helenae,Insecta,Diptera,Culicidae,NA
Toxorhynchites grjebinei,Insecta,Diptera,Culicidae,NA
Toxorhynchites fontenillei,Insecta,Diptera,Culicidae,NA
Toxorhynchites nairobiensis,Insecta,Diptera,Culicidae,NA
Toxorhynchites madagascarensis,Insecta,Diptera,Culicidae,NA
Toxorhynchites lutescens,Insecta,Diptera,Culicidae,NA
Toxorhynchites lemuriae,Insecta,Diptera,Culicidae,NA
Toxorhynchites viridibasis,Insecta,Diptera,Culicidae,NA
Toxorhynchites voltaicus,Insecta,Diptera,Culicidae,NA
Toxorhynchites nigeriensis,Insecta,Diptera,Culicidae,NA
Toxorhynchites pauliani,Insecta,Diptera,Culicidae,NA
