Disease,Serotype,Region,Observation.date
Influenza - Avian,H5N1 HPAI,Europe,14/01/2025
Influenza - Avian,H5N1 HPAI,Europe,12/01/2025
Influenza - Avian,H5N1 HPAI,Europe,11/01/2025
Influenza - Avian,H5N1 HPAI,Asia,09/01/2025
Influenza - Avian,H5N1 HPAI,Europe,09/01/2025
Influenza - Avian,H5N1 HPAI,Europe,09/01/2025
Influenza - Avian,H5N1 HPAI,Europe,08/01/2025
Influenza - Avian,H5N1 HPAI,Europe,08/01/2025
Influenza - Avian,H5N1 HPAI,Europe,07/01/2025
Influenza - Avian,H5N1 HPAI,Europe,07/01/2025
Influenza - Avian,H5N1 HPAI,Europe,07/01/2025
Influenza - Avian,H5N1 HPAI,Asia,07/01/2025
Influenza - Avian,H5N1 HPAI,Europe,06/01/2025
Influenza - Avian,H5N1 HPAI,Europe,06/01/2025
Influenza - Avian,H5N1 HPAI,Europe,06/01/2025
Influenza - Avian,H5N1 HPAI,Europe,06/01/2025
Influenza - Avian,H5N1 HPAI,Asia,06/01/2025
Influenza - Avian,H5N1 HPAI,Europe,06/01/2025
Influenza - Avian,H5N1 HPAI,Europe,06/01/2025
Influenza - Avian,H5N1 HPAI,Europe,06/01/2025
Influenza - Avian,H5N1 HPAI,Europe,06/01/2025
Influenza - Avian,H5N1 HPAI,Europe,05/01/2025
Influenza - Avian,H5N1 HPAI,Europe,05/01/2025
Influenza - Avian,H5N1 HPAI,Asia,05/01/2025
Influenza - Avian,H5N1 HPAI,Europe,05/01/2025
Influenza - Avian,H5N1 HPAI,Europe,04/01/2025
Influenza - Avian,H5N1 HPAI,Asia,04/01/2025
Influenza - Avian,H5N1 HPAI,Europe,04/01/2025
Influenza - Avian,H5N1 HPAI,Europe,04/01/2025
Influenza - Avian,H5N1 HPAI,Asia,04/01/2025
Influenza - Avian,H5N1 HPAI,Asia,04/01/2025
Influenza - Avian,H5N1 HPAI,Europe,03/01/2025
Influenza - Avian,H5N1 HPAI,Europe,03/01/2025
Influenza - Avian,H5N1 HPAI,Europe,03/01/2025
Influenza - Avian,H5N1 HPAI,Europe,03/01/2025
Influenza - Avian,H5N1 HPAI,Europe,03/01/2025
Influenza - Avian,H5N1 HPAI,Asia,03/01/2025
Influenza - Avian,H5N1 HPAI,Asia,03/01/2025
Influenza - Avian,H5N1 HPAI,Europe,03/01/2025
Influenza - Avian,H5N1 HPAI,Europe,03/01/2025
Influenza - Avian,H5N1 HPAI,Europe,03/01/2025
Influenza - Avian,H5N1 HPAI,Europe,02/01/2025
Influenza - Avian,H5N1 HPAI,Europe,02/01/2025
Influenza - Avian,H5N1 HPAI,Europe,02/01/2025
Influenza - Avian,H5N1 HPAI,Europe,02/01/2025
Influenza - Avian,H5N1 HPAI,Europe,02/01/2025
Influenza - Avian,H5N1 HPAI,Europe,02/01/2025
Influenza - Avian,H5N1 HPAI,Asia,02/01/2025
Influenza - Avian,H5N1 HPAI,Asia,01/01/2025
Influenza - Avian,H5N1 HPAI,Asia,01/01/2025
Influenza - Avian,H5N1 HPAI,Europe,31/12/2024
Influenza - Avian,H5N1 HPAI,Asia,31/12/2024
Influenza - Avian,H5N1 HPAI,Asia,31/12/2024
Influenza - Avian,H5N1 HPAI,Asia,31/12/2024
Influenza - Avian,H5N1 HPAI,Europe,31/12/2024
Influenza - Avian,H5N1 HPAI,Europe,31/12/2024
Influenza - Avian,H5N1 HPAI,Europe,30/12/2024
Influenza - Avian,H5N1 HPAI,Asia,30/12/2024
Influenza - Avian,H5N1 HPAI,Asia,30/12/2024
Influenza - Avian,H5N1 HPAI,Europe,30/12/2024
Influenza - Avian,H5N1 HPAI,Europe,30/12/2024
Influenza - Avian,H5N1 HPAI,Europe,30/12/2024
Influenza - Avian,H5N1 HPAI,Europe,30/12/2024
Influenza - Avian,H5N1 HPAI,Asia,30/12/2024
Influenza - Avian,H5N1 HPAI,Asia,30/12/2024
Influenza - Avian,H5N1 HPAI,Americas,30/12/2024
Influenza - Avian,H5N1 HPAI,Americas,30/12/2024
Influenza - Avian,H5N1 HPAI,Americas,30/12/2024
Influenza - Avian,H5N1 HPAI,Europe,29/12/2024
Influenza - Avian,H5N1 HPAI,Asia,28/12/2024
Influenza - Avian,H5N1 HPAI,Europe,28/12/2024
Influenza - Avian,H5N1 HPAI,Europe,28/12/2024
Influenza - Avian,H5N1 HPAI,Asia,28/12/2024
Influenza - Avian,H5N1 HPAI,Europe,27/12/2024
Influenza - Avian,H5N1 HPAI,Europe,27/12/2024
Influenza - Avian,H5N1 HPAI,Europe,27/12/2024
Influenza - Avian,H5 HPAI,Europe,27/12/2024
Influenza - Avian,H5N1 HPAI,Europe,27/12/2024
Influenza - Avian,H5N1 HPAI,Asia,27/12/2024
Influenza - Avian,H5N1 HPAI,Europe,27/12/2024
Influenza - Avian,H5N1 HPAI,Europe,27/12/2024
Influenza - Avian,H5N1 HPAI,Asia,27/12/2024
Influenza - Avian,H5N1 HPAI,Americas,27/12/2024
Influenza - Avian,H5N1 HPAI,Europe,27/12/2024
Influenza - Avian,H5N1 HPAI,Asia,27/12/2024
Influenza - Avian,H5N1 HPAI,Asia,27/12/2024
Influenza - Avian,H5N1 HPAI,Americas,27/12/2024
Influenza - Avian,H5N1 HPAI,Asia,26/12/2024
Influenza - Avian,H5N1 HPAI,Asia,26/12/2024
Influenza - Avian,H5N1 HPAI,Asia,26/12/2024
Influenza - Avian,H5 HPAI,Europe,26/12/2024
Influenza - Avian,H5N1 HPAI,Europe,26/12/2024
Influenza - Avian,H5N1 HPAI,Europe,26/12/2024
Influenza - Avian,H5N1 HPAI,Europe,26/12/2024
Influenza - Avian,H5N1 HPAI,Asia,26/12/2024
Influenza - Avian,H5N1 HPAI,Asia,26/12/2024
Influenza - Avian,H5N1 HPAI,Asia,25/12/2024
Influenza - Avian,H5N1 HPAI,Asia,25/12/2024
Influenza - Avian,H5N1 HPAI,Asia,25/12/2024
Influenza - Avian,H5N1 HPAI,Asia,25/12/2024
Influenza - Avian,H5N1 HPAI,Americas,25/12/2024
Influenza - Avian,H5N1 HPAI,Asia,24/12/2024
Influenza - Avian,H5N1 HPAI,Europe,24/12/2024
Influenza - Avian,H5N1 HPAI,Europe,24/12/2024
Influenza - Avian,H5N1 HPAI,Europe,24/12/2024
Influenza - Avian,H5N1 HPAI,Asia,24/12/2024
Influenza - Avian,H5N1 HPAI,Asia,24/12/2024
Influenza - Avian,H5N1 HPAI,Americas,24/12/2024
Influenza - Avian,H5N1 HPAI,Europe,23/12/2024
Influenza - Avian,H5 HPAI,Europe,23/12/2024
Influenza - Avian,H5 HPAI,Europe,23/12/2024
Influenza - Avian,H5N1 HPAI,Americas,23/12/2024
Influenza - Avian,H5N1 HPAI,Americas,23/12/2024
Influenza - Avian,H5N1 HPAI,Americas,23/12/2024
Influenza - Avian,H5N1 HPAI,Europe,23/12/2024
Influenza - Avian,H5N1 HPAI,Europe,23/12/2024
Influenza - Avian,H5N1 HPAI,Europe,23/12/2024
Influenza - Avian,H5N1 HPAI,Asia,23/12/2024
Influenza - Avian,H5N1 HPAI,Americas,23/12/2024
Influenza - Avian,H5N1 HPAI,Europe,23/12/2024
Influenza - Avian,H5N1 HPAI,Asia,23/12/2024
Influenza - Avian,H5N1 HPAI,Americas,23/12/2024
Influenza - Avian,H5N1 HPAI,Asia,22/12/2024
Influenza - Avian,H5N1 HPAI,Asia,22/12/2024
Influenza - Avian,H5N1 HPAI,Europe,22/12/2024
Influenza - Avian,H5N1 HPAI,Europe,22/12/2024
Influenza - Avian,H5N1 HPAI,Europe,22/12/2024
Influenza - Avian,H5N1 HPAI,Europe,21/12/2024
Influenza - Avian,H5N1 HPAI,Asia,21/12/2024
Influenza - Avian,H5N1 HPAI,Europe,21/12/2024
Influenza - Avian,H5N1 HPAI,Europe,20/12/2024
Influenza - Avian,H5N1 HPAI,Europe,20/12/2024
Influenza - Avian,H5N1 HPAI,Europe,20/12/2024
Influenza - Avian,H5N1 HPAI,Europe,20/12/2024
Influenza - Avian,H5N1 HPAI,Europe,20/12/2024
Influenza - Avian,H5N1 HPAI,Asia,20/12/2024
Influenza - Avian,H5N5 HPAI,Europe,20/12/2024
Influenza - Avian,H5N1 HPAI,Asia,20/12/2024
Influenza - Avian,H5N1 HPAI,Asia,20/12/2024
Influenza - Avian,H5N1 HPAI,Asia,20/12/2024
Influenza - Avian,H5N1 HPAI,Asia,20/12/2024
Influenza - Avian,H5N5 HPAI,Europe,19/12/2024
Influenza - Avian,H5N1 HPAI,Asia,19/12/2024
Influenza - Avian,H5N1 HPAI,Americas,19/12/2024
Influenza - Avian,H5N1 HPAI,Asia,19/12/2024
Influenza - Avian,H5N1 HPAI,Americas,19/12/2024
Influenza - Avian,H5N1 HPAI,Europe,19/12/2024
Influenza - Avian,H5N1 HPAI,Europe,19/12/2024
Influenza - Avian,H5N1 HPAI,Europe,19/12/2024
Influenza - Avian,H5N1 HPAI,Asia,19/12/2024
Influenza - Avian,H5N1 HPAI,Asia,19/12/2024
Influenza - Avian,H5N1 HPAI,Asia,19/12/2024
Influenza - Avian,H5N1 HPAI,Asia,19/12/2024
Influenza - Avian,H5N1 HPAI,Americas,19/12/2024
Influenza - Avian,H5N1 HPAI,Asia,18/12/2024
Influenza - Avian,H5N1 HPAI,Europe,18/12/2024
Influenza - Avian,H5N1 HPAI,Americas,18/12/2024
Influenza - Avian,H5N1 HPAI,Americas,18/12/2024
Influenza - Avian,H5N1 HPAI,Americas,18/12/2024
Influenza - Avian,H5N1 HPAI,Europe,18/12/2024
Influenza - Avian,H5N1 HPAI,Americas,18/12/2024
Influenza - Avian,H5N1 HPAI,Americas,18/12/2024
Influenza - Avian,H5N1 HPAI,Americas,18/12/2024
Influenza - Avian,H5N1 HPAI,Europe,18/12/2024
Influenza - Avian,H5N1 HPAI,Americas,17/12/2024
Influenza - Avian,H5N1 HPAI,Americas,17/12/2024
Influenza - Avian,H5N1 HPAI,Americas,17/12/2024
Influenza - Avian,H5N1 HPAI,Americas,17/12/2024
Influenza - Avian,H5N1 HPAI,Americas,17/12/2024
Influenza - Avian,H5N1 HPAI,Americas,17/12/2024
Influenza - Avian,H5N1 HPAI,Asia,17/12/2024
Influenza - Avian,H5N1 HPAI,Americas,17/12/2024
Influenza - Avian,H5 HPAI,Americas,17/12/2024
Influenza - Avian,H5N1 HPAI,Asia,17/12/2024
Influenza - Avian,H5N1 HPAI,Americas,17/12/2024
Influenza - Avian,H5N1 HPAI,Americas,17/12/2024
Influenza - Avian,H5N1 HPAI,Europe,17/12/2024
Influenza - Avian,H5N1 HPAI,Asia,17/12/2024
Influenza - Avian,H5N1 HPAI,Asia,17/12/2024
Influenza - Avian,H5N1 HPAI,Europe,16/12/2024
Influenza - Avian,H5N1 HPAI,Europe,16/12/2024
Influenza - Avian,H5N1 HPAI,Europe,16/12/2024
Influenza - Avian,H5N1 HPAI,Europe,16/12/2024
Influenza - Avian,H5N1 HPAI,Europe,16/12/2024
Influenza - Avian,H5N1 HPAI,Europe,16/12/2024
Influenza - Avian,H5N1 HPAI,Americas,16/12/2024
Influenza - Avian,H5N1 HPAI,Americas,16/12/2024
Influenza - Avian,H5N1 HPAI,Americas,16/12/2024
Influenza - Avian,H5N1 HPAI,Americas,16/12/2024
Influenza - Avian,H5N1 HPAI,Americas,16/12/2024
Influenza - Avian,H5N1 HPAI,Americas,16/12/2024
Influenza - Avian,H5N1 HPAI,Americas,16/12/2024
Influenza - Avian,H5N1 HPAI,Asia,16/12/2024
Influenza - Avian,H5N1 HPAI,Europe,16/12/2024
Influenza - Avian,H5N1 HPAI,Americas,16/12/2024
Influenza - Avian,H5N1 HPAI,Europe,16/12/2024
Influenza - Avian,H5N1 HPAI,Europe,16/12/2024
Influenza - Avian,H5N1 HPAI,Europe,16/12/2024
Influenza - Avian,H5N1 HPAI,Asia,16/12/2024
Influenza - Avian,H5N1 HPAI,Asia,16/12/2024
Influenza - Avian,H5N1 HPAI,Europe,16/12/2024
Influenza - Avian,H5N1 HPAI,Europe,15/12/2024
Influenza - Avian,H5N1 HPAI,Europe,15/12/2024
Influenza - Avian,H5N1 HPAI,Europe,15/12/2024
Influenza - Avian,H5N1 HPAI,Americas,15/12/2024
Influenza - Avian,H5N1 HPAI,Americas,15/12/2024
Influenza - Avian,H5N1 HPAI,Asia,15/12/2024
Influenza - Avian,H5N1 HPAI,Europe,15/12/2024
Influenza - Avian,H5N1 HPAI,Europe,15/12/2024
Influenza - Avian,H5N1 HPAI,Americas,15/12/2024
Influenza - Avian,H5N1 HPAI,Americas,15/12/2024
Influenza - Avian,H5N1 HPAI,Americas,15/12/2024
Influenza - Avian,H5N1 HPAI,Americas,15/12/2024
Influenza - Avian,H5N1 HPAI,Europe,14/12/2024
Influenza - Avian,H5N1 HPAI,Europe,14/12/2024
Influenza - Avian,H5N1 HPAI,Europe,14/12/2024
Influenza - Avian,H5N1 HPAI,Asia,14/12/2024
Influenza - Avian,H5N1 HPAI,Americas,14/12/2024
Influenza - Avian,H5N1 HPAI,Americas,14/12/2024
Influenza - Avian,H5N1 HPAI,Americas,14/12/2024
Influenza - Avian,H5N1 HPAI,Americas,14/12/2024
