gid_0,country,name_1,varname_1,hasc_1,iso_1,adm1_long,adm1_lat,adm0_long,adm0_lat
afg,afghanistan,badakhshan,badahšan,af.bd,na,71.4572223236951,37.0337399102634,65.9504963589145,33.8117072533555
afg,afghanistan,badghis,badghes|badghisat|badgis,af.bg,af-bdg,63.7535735859446,35.1395420314156,65.9504963589145,33.8117072533555
afg,afghanistan,baghlan,baglan|bughlan,af.bl,af-bgl,68.7105569222986,35.7051132048919,65.9504963589145,33.8117072533555
afg,afghanistan,balkh,balh|mazar-i-sharif|mazar,af.bk,af-bal,67.1340518377085,36.6465999327083,65.9504963589145,33.8117072533555
afg,afghanistan,bamyan,na,af.bm,af-bam,67.1809460713696,34.720583442983,65.9504963589145,33.8117072533555
afg,afghanistan,daykundi,na,af.dk,af-day,66.1834982367148,33.7546626532075,65.9504963589145,33.8117072533555
afg,afghanistan,farah,na,af.fh,af-fra,62.2972392628516,32.6072374174044,65.9504963589145,33.8117072533555
afg,afghanistan,faryab,fariab|maimana|meymaneh,af.fb,af-fyb,64.8622419650652,36.0663024334107,65.9504963589145,33.8117072533555
afg,afghanistan,ghazni,gazni,af.gz,af-gha,67.8269428838585,33.2868447219152,65.9504963589145,33.8117072533555
afg,afghanistan,ghor,gawr|ghore|ghour|ghur,af.gr,af-gho,64.8801685848732,34.1823251451967,65.9504963589145,33.8117072533555
afg,afghanistan,hilmand,girishk|hilmend,af.hm,na,64.0062783846782,31.1296910706015,65.9504963589145,33.8117072533555
afg,afghanistan,hirat,na,af.hr,na,62.1224305985695,34.1889018448697,65.9504963589145,33.8117072533555
afg,afghanistan,jawzjan,jaozjan|jozjan|juzjan|jouzjan|sh,af.jw,na,65.8648131979876,36.8170936842347,65.9504963589145,33.8117072533555
afg,afghanistan,kabul,cabul|kabol|kaboul,af.kb,af-kab,69.3110399173528,34.5590665002009,65.9504963589145,33.8117072533555
afg,afghanistan,kandahar,qandahar,af.kd,af-kan,65.6952399259418,30.9692847336005,65.9504963589145,33.8117072533555
afg,afghanistan,kapisa,kapesa,af.kp,na,69.618607546995,34.9626537611268,65.9504963589145,33.8117072533555
afg,afghanistan,khost,na,af.kt,af-kho,69.8715419951508,33.3723308146218,65.9504963589145,33.8117072533555
afg,afghanistan,kunar,konarha|kunarha,af.kr,af-knr,71.1146711210272,34.9642006123492,65.9504963589145,33.8117072533555
afg,afghanistan,kunduz,kondoz|qonduz|qunduz,af.kz,af-kdz,68.751383530181,36.8394011502795,65.9504963589145,33.8117072533555
afg,afghanistan,laghman,lagman,af.la,af-lag,70.1432198986594,34.7558636113796,65.9504963589145,33.8117072533555
afg,afghanistan,logar,lawghar|loghar,af.lw,af-log,69.0775356040894,33.9930669924505,65.9504963589145,33.8117072533555
afg,afghanistan,nangarhar,ningrahar|eastern province,af.ng,af-nan,70.468101425158,34.2751366521654,65.9504963589145,33.8117072533555
afg,afghanistan,nimroz,neemroze|nimrod|nimrooz|nimroze|,af.nm,af-nim,62.3093693067991,30.8003645899302,65.9504963589145,33.8117072533555
afg,afghanistan,nuristan,nooristan|nuristão,af.nr,na,70.7983406710852,35.4116435253668,65.9504963589145,33.8117072533555
afg,afghanistan,paktika,paktiya|paktya|southern province,af.pk,na,68.7521624508287,32.4762608528455,65.9504963589145,33.8117072533555
afg,afghanistan,paktya,paktiya|southern province,af.pt,na,69.423174516146,33.6800650794318,65.9504963589145,33.8117072533555
afg,afghanistan,panjshir,na,af.pj,na,69.8207345525105,35.4548583877484,65.9504963589145,33.8117072533555
afg,afghanistan,parwan,charikar,af.pv,af-par,68.887405986625,34.9688291398071,65.9504963589145,33.8117072533555
afg,afghanistan,samangan,na,af.sm,af-sam,67.739435062661,35.9488889604779,65.9504963589145,33.8117072533555
afg,afghanistan,sari pul,sar-e pul|saripol,af.sp,na,66.1688463803571,35.7132913544484,65.9504963589145,33.8117072533555
afg,afghanistan,takhar,takar,af.tk,af-tak,69.780316680591,36.7017749628626,65.9504963589145,33.8117072533555
afg,afghanistan,uruzgan,urozgan,af.oz,af-uru,66.002808573939,32.81937879947,65.9504963589145,33.8117072533555
afg,afghanistan,wardak,verdak|wardag|maiden,af.vr,na,68.2847808707175,34.3170872396719,65.9504963589145,33.8117072533555
afg,afghanistan,zabul,zubul|zaboul,af.zb,na,67.1058623965159,32.2352212223224,65.9504963589145,33.8117072533555
ago,angola,bengo,na,ao.bo,ao-bgo,13.8813353553574,-8.97605821102147,17.541586563024,-12.274864814734
ago,angola,benguela,benguella,ao.bg,ao-bgu,13.9903192211538,-12.9330901641098,17.541586563024,-12.274864814734
ago,angola,bié,na,ao.bi,na,17.3626312294554,-12.3229077718452,17.541586563024,-12.274864814734
ago,angola,cabinda,na,ao.cb,ao-cab,12.4758588744611,-5.03899272072616,17.541586563024,-12.274864814734
ago,angola,cuando cubango,na,ao.cc,ao-ccu,19.5088841914562,-16.1188456634359,17.541586563024,-12.274864814734
ago,angola,cuanza norte,cuanza-nord|kwanza norte,ao.cn,na,14.9464604244791,-8.89840569506372,17.541586563024,-12.274864814734
ago,angola,cuanza sul,cuanza-sud|kwanza sul,ao.cs,na,15.0458071953695,-10.8255622756267,17.541586563024,-12.274864814734
ago,angola,cunene,na,ao.cu,ao-cnn,15.5801912585786,-16.5048362745152,17.541586563024,-12.274864814734
ago,angola,huambo,na,ao.hm,ao-hua,15.7459686248717,-12.5682785703195,17.541586563024,-12.274864814734
ago,angola,huíla,na,ao.hl,na,14.9520457623286,-14.7423946314139,17.541586563024,-12.274864814734
ago,angola,luanda,loanda,ao.lu,ao-lua,13.3107428627997,-8.98020783507191,17.541586563024,-12.274864814734
ago,angola,lunda norte,na,ao.ln,na,19.4957681734692,-8.65191000297725,17.541586563024,-12.274864814734
ago,angola,lunda sul,na,ao.ls,na,20.6569475017912,-10.1757536707193,17.541586563024,-12.274864814734
ago,angola,malanje,malange,ao.ml,na,16.9553820094315,-9.48744647555479,17.541586563024,-12.274864814734
ago,angola,moxico,na,ao.mx,ao-mox,21.0394464096256,-12.8762883405103,17.541586563024,-12.274864814734
ago,angola,namibe,moçâmedes|mossamedes,ao.na,ao-nam,12.7289215698544,-15.4887658906134,17.541586563024,-12.274864814734
ago,angola,uíge,na,ao.ui,na,15.4778403723778,-7.02391279615416,17.541586563024,-12.274864814734
ago,angola,zaire,na,ao.za,ao-zai,13.5619781103845,-6.60833962829657,17.541586563024,-12.274864814734
aia,anguilla,blowing point,na,ai.bp,na,-63.0922364161214,18.1782620790538,-63.0548695334818,18.2204147831029
aia,anguilla,dog island,na,na,na,-63.2506155012025,18.2788822629979,-63.0548695334818,18.2204147831029
aia,anguilla,east end,na,ai.ee,na,-62.9976214558882,18.24014385348,-63.0548695334818,18.2204147831029
aia,anguilla,george hill,na,ai.gh,na,-63.065564193952,18.1985978752512,-63.0548695334818,18.2204147831029
aia,anguilla,island harbour,na,ai.ih,na,-62.9906138961754,18.2569472463046,-63.0548695334818,18.2204147831029
aia,anguilla,north hill,na,ai.nh,na,-63.0835389626615,18.2061439655925,-63.0548695334818,18.2204147831029
aia,anguilla,north side,na,ai.ns,na,-63.0510797291832,18.2360900565781,-63.0548695334818,18.2204147831029
aia,anguilla,pricly pear cays,na,na,na,-63.1728172496746,18.263951499216,-63.0548695334818,18.2204147831029
aia,anguilla,sandy ground,na,ai.sg,na,-63.0866552473161,18.2004647921668,-63.0548695334818,18.2204147831029
aia,anguilla,sandy hill,na,ai.sh,na,-63.0122160762764,18.2302899199431,-63.0548695334818,18.2204147831029
aia,anguilla,scrub island,na,na,na,-62.9449012151485,18.2874315947496,-63.0548695334818,18.2204147831029
aia,anguilla,sombrero island,na,na,na,-63.4257007082566,18.5893052954676,-63.0548695334818,18.2204147831029
aia,anguilla,south hill,na,ai.so,na,-63.1003022546707,18.1887346793141,-63.0548695334818,18.2204147831029
aia,anguilla,stoney ground,na,ai.st,na,-63.0312336728148,18.2365744744295,-63.0548695334818,18.2204147831029
aia,anguilla,the farrington,na,ai.tf,na,-63.025085729792,18.2143785573739,-63.0548695334818,18.2204147831029
aia,anguilla,the quarter,na,ai.tq,na,-63.044946363473,18.2050375330615,-63.0548695334818,18.2204147831029
aia,anguilla,the valley,na,ai.tv,na,-63.0621976059612,18.2134844090307,-63.0548695334818,18.2204147831029
aia,anguilla,west end,na,ai.we,na,-63.140330662027,18.174624737067,-63.0548695334818,18.2204147831029
ala,åland,archipelago,archipelago,ax.ar,na,20.6840731338466,60.1570427946857,20.1654185894605,60.2020188156881
ala,åland,countryside,countryside,ax.co,na,19.9339911311804,60.2230581504653,20.1654185894605,60.2020188156881
ala,åland,mariehamn,mariehamn,ax.mh,-,19.9426514869206,60.0939600584563,20.1654185894605,60.2020188156881
alb,albania,berat,na,al.be,al-01,20.0912624057684,40.6284147965468,20.0646630993931,41.1330587421492
alb,albania,dibër,dibra|dibrë,al.db,na,20.2494610281637,41.5889338056637,20.0646630993931,41.1330587421492
alb,albania,durrës,durresi|durrsi|durazzo,al.du,na,19.6301086439641,41.4472725769383,20.0646630993931,41.1330587421492
alb,albania,elbasan,na,al.eb,al-03,20.1863539761465,41.039916607074,20.0646630993931,41.1330587421492
alb,albania,fier,na,al.fi,al-04,19.6206575261664,40.7744448147017,20.0646630993931,41.1330587421492
alb,albania,gjirokastër,gjinokastër|argirocastro|argyroc,al.gk,na,20.1694642125949,40.2137803942917,20.0646630993931,41.1330587421492
alb,albania,korçë,coriza|corizza|koritsa|koritza|k,al.ke,na,20.6658465928609,40.6283156139027,20.0646630993931,41.1330587421492
alb,albania,kukës,kosova|kossovo,al.kk,na,20.2409605532255,42.1942056666812,20.0646630993931,41.1330587421492
alb,albania,lezhë,alessio|lezha,al.lz,na,19.845333581341,41.801447317654,20.0646630993931,41.1330587421492
alb,albania,shkodër,escútari|shkodra|skodë|scutari,al.sd,na,19.7197183706655,42.1765315383098,20.0646630993931,41.1330587421492
alb,albania,tiranë,tiran|tirana,al.ti,na,19.793533844847,41.2685709996461,20.0646630993931,41.1330587421492
alb,albania,vlorë,vlona|vlora|vlonë|valona,al.vr,na,19.7942960078826,40.1624501179863,20.0646630993931,41.1330587421492
and,andorra,andorra la vella,na,ad.an,ad-07,1.51911840466403,42.5065172151102,1.57518399587856,42.5438115332134
and,andorra,canillo,na,ad.ca,ad-02,1.66188028345991,42.5800151934114,1.57518399587856,42.5438115332134
and,andorra,encamp,na,ad.en,ad-03,1.64457931500424,42.5224388622764,1.57518399587856,42.5438115332134
and,andorra,escaldes-engordany,na,ad.ee,ad-08,1.58878389753332,42.487236804398,1.57518399587856,42.5438115332134
and,andorra,la massana,na,ad.ma,ad-04,1.4831872296381,42.5534400123079,1.57518399587856,42.5438115332134
and,andorra,ordino,na,ad.or,ad-05,1.53873413447555,42.6058983616696,1.57518399587856,42.5438115332134
and,andorra,sant julià de lòria,na,ad.jl,na,1.49384530629964,42.4658669037928,1.57518399587856,42.5438115332134
are,united arab emirates,abu dhabi,na,ae.az,na,54.0480189150752,23.6635659699505,54.3247161958857,23.9150921169907
are,united arab emirates,ajman,na,ae.aj,na,55.7331288067552,25.225889670067,54.3247161958857,23.9150921169907
are,united arab emirates,dubai,na,ae.du,na,55.3972779663033,24.9426077964456,54.3247161958857,23.9150921169907
are,united arab emirates,fujairah,na,ae.fu,na,56.2036323765367,25.3538899097494,54.3247161958857,23.9150921169907
are,united arab emirates,ras al-khaimah,na,ae.rk,na,56.0436794903773,25.4619952123656,54.3247161958857,23.9150921169907
are,united arab emirates,sharjah,na,ae.sh,na,55.8151310731681,25.1704051350853,54.3247161958857,23.9150921169907
are,united arab emirates,umm al-qaywayn,na,ae.uq,na,55.7422253773208,25.4869774432013,54.3247161958857,23.9150921169907
arg,argentina,buenos aires,baires|buenos ayres,ar.ba,ar-b,-60.5480821834678,-36.6626557465889,-64.7468967526828,-34.6877265175387
arg,argentina,catamarca,na,ar.ct,ar-k,-66.9571228939047,-27.3279569669608,-64.7468967526828,-34.6877265175387
arg,argentina,chaco,el chaco|presidente juan peron,ar.cc,ar-h,-60.7777509441554,-26.3828503765305,-64.7468967526828,-34.6877265175387
arg,argentina,chubut,na,ar.ch,ar-u,-68.511663809735,-43.7868223025616,-64.7468967526828,-34.6877265175387
arg,argentina,ciudad de buenos aires,buenos aires d.f.|capital federa,ar.df,na,-58.4444329046062,-34.6176698736073,-64.7468967526828,-34.6877265175387
arg,argentina,córdoba,cordova,ar.cb,na,-63.8001999960292,-32.1223499660356,-64.7468967526828,-34.6877265175387
arg,argentina,corrientes,na,ar.cn,ar-w,-57.7999491192661,-28.7729566425108,-64.7468967526828,-34.6877265175387
arg,argentina,entre ríos,entre-rios,ar.er,na,-59.2023932092603,-32.0397430287849,-64.7468967526828,-34.6877265175387
arg,argentina,formosa,na,ar.fm,ar-p,-59.949649967252,-24.8937176371018,-64.7468967526828,-34.6877265175387
arg,argentina,jujuy,na,ar.jy,ar-y,-65.7649952758448,-23.3179610327965,-64.7468967526828,-34.6877265175387
arg,argentina,la pampa,el pampa|eva perón,ar.lp,ar-l,-65.4470299288487,-37.1255727771995,-64.7468967526828,-34.6877265175387
arg,argentina,la rioja,na,ar.lr,ar-f,-67.1935922939919,-29.6714852852446,-64.7468967526828,-34.6877265175387
arg,argentina,mendoza,na,ar.mz,ar-m,-68.5833000873727,-34.6107738098794,-64.7468967526828,-34.6877265175387
arg,argentina,misiones,missões,ar.mn,ar-n,-54.6425653151726,-26.8726247635633,-64.7468967526828,-34.6877265175387
arg,argentina,neuquén,neuquén,ar.nq,na,-70.1087540238136,-38.6247364397998,-64.7468967526828,-34.6877265175387
arg,argentina,río negro,na,ar.rn,na,-67.2098045960294,-40.4108256408088,-64.7468967526828,-34.6877265175387
arg,argentina,salta,na,ar.sa,ar-a,-64.8055879616535,-24.2949333512188,-64.7468967526828,-34.6877265175387
arg,argentina,san juan,na,ar.sj,ar-j,-68.8842632116982,-30.8537132619982,-64.7468967526828,-34.6877265175387
arg,argentina,san luis,na,ar.sl,ar-d,-66.0339496041068,-33.7527938244466,-64.7468967526828,-34.6877265175387
arg,argentina,santa cruz,na,ar.sc,ar-z,-69.8913370290236,-48.7713269135881,-64.7468967526828,-34.6877265175387
arg,argentina,santa fe,santa fé,ar.sf,ar-s,-60.9357621538365,-30.6720306872131,-64.7468967526828,-34.6877265175387
arg,argentina,santiago del estero,na,ar.se,ar-g,-63.2575546882967,-27.7725413613727,-64.7468967526828,-34.6877265175387
arg,argentina,tierra del fuego,feuerland|terra del fuoco|terre,ar.tf,ar-v,-67.4125966256164,-54.3319371060893,-64.7468967526828,-34.6877265175387
arg,argentina,tucumán,tucumão,ar.tm,na,-65.3651447080429,-26.9422410247524,-64.7468967526828,-34.6877265175387
arm,armenia,aragatsotn,aragacot'n,am.ag,na,44.1410793708261,40.4402485182841,44.9473918339767,40.2921380201609
arm,armenia,ararat,na,am.ar,am-ar,44.7874500232145,39.9631778072382,44.9473918339767,40.2921380201609
arm,armenia,armavir,na,am.av,am-av,44.0269225601231,40.1447779699574,44.9473918339767,40.2921380201609
arm,armenia,erevan,yerevan,am.er,am-er,44.5357695499748,40.1785600369127,44.9473918339767,40.2921380201609
arm,armenia,gegharkunik,gelark'unik',am.gr,na,45.3434307249224,40.3064389839397,44.9473918339767,40.2921380201609
arm,armenia,kotayk,kotaik|kotayk',am.kt,na,44.7051049397091,40.4077494358095,44.9473918339767,40.2921380201609
arm,armenia,lori,loṙi,am.lo,am-lo,44.492330618421,40.9816792804278,44.9473918339767,40.2921380201609
arm,armenia,shirak,širak,am.sh,na,43.8701043364966,40.8267062543315,44.9473918339767,40.2921380201609
arm,armenia,syunik,syunik',am.su,na,46.1743116362344,39.345473428306,44.9473918339767,40.2921380201609
arm,armenia,tavush,tavuš,am.tv,na,45.1298351962006,40.9098007457206,44.9473918339767,40.2921380201609
arm,armenia,vayots dzor,vayoc'jor,am.vd,na,45.4583288393388,39.7724402129452,44.9473918339767,40.2921380201609
asm,american samoa,eastern,na,as.et,na,-170.660772090332,-14.2751919680167,-170.375121425853,-14.223370276594
asm,american samoa,manu'a,na,as.ma,na,-169.504534188092,-14.22256312381,-170.375121425853,-14.223370276594
asm,american samoa,unorganized,na,as.uu,na,-171.078309117168,-11.0559301429586,-170.375121425853,-14.223370276594
asm,american samoa,western,na,as.wt,na,-170.768762501917,-14.324008421697,-170.375121425853,-14.223370276594
atf,french southern territories,îles crozet,crozet islands,tf.cr,na,51.6122127486903,-46.3585320835151,68.4738266531812,-49.0063879525423
atf,french southern territories,îles éparses,glorioso islands,na,na,41.7591968933602,-20.4615796923223,68.4738266531812,-49.0063879525423
atf,french southern territories,îles saint paul et amsterdam,st. paul and amsterdam islands,tf.as,na,77.5517976874331,-37.9642600679217,68.4738266531812,-49.0063879525423
atf,french southern territories,kerguelen,na,tf.kg,na,69.4838142773145,-49.299198869797,68.4738266531812,-49.0063879525423
atg,antigua and barbuda,barbuda,codrington,ag.bb,ag-10,-61.7966681244155,17.6339911400849,-61.7982673226285,17.2705755139238
atg,antigua and barbuda,redonda,na,ag.rd,ag-11,-62.3453878290202,16.9385024935838,-61.7982673226285,17.2705755139238
atg,antigua and barbuda,saint george,parham,ag.ge,ag-03,-61.7935200413399,17.1245445686694,-61.7982673226285,17.2705755139238
atg,antigua and barbuda,saint john,saint john's,ag.jo,ag-04,-61.8363807840967,17.1128051281573,-61.7982673226285,17.2705755139238
