tipnames	collection_date	collection_datedecimal	collection_datemonth	collection_dateyear	collection_regionname	collection_countryname	collection_countrylat	collection_countrylong	cluster_number	profile	cluster_profileclass	host_order	host_isbird	host_simplifiedhost	tiplocation_lon	tiplocation_lat
H5N1.2344b.EPI_ISL_2276068.galliformes.senegal.2_1_1_1_1_1_1_1.2020-12-23	2020-12-23	2020.98	2020-12	2020	western africa	senegal	14.357700346957	-14.4663797488722	profile001	2_1_1_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	-16.7546068121427	14.831526394723
H5N1.2344b.EPI_ISL_2276069.galliformes.senegal.2_1_1_1_1_1_1_1.2020-12-23	2020-12-23	2020.98	2020-12	2020	western africa	senegal	14.357700346957	-14.4663797488722	profile001	2_1_1_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	-16.7546068121427	14.831526394723
H5N1.2344b.EPI_ISL_2276070.galliformes.senegal.2_1_1_1_1_1_1_1.2020-12-23	2020-12-23	2020.98	2020-12	2020	western africa	senegal	14.357700346957	-14.4663797488722	profile001	2_1_1_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	-16.7546068121427	14.831526394723
H5N1.2344b.EPI_ISL_2276071.pelecaniformes.senegal.2_1_1_1_1_1_1_1.2021-01-23	2021-01-23	2021.06	2021-01	2021	western africa	senegal	14.357700346957	-14.4663797488722	profile001	2_1_1_1_1_1_1_1	dominant	pelecaniformes	TRUE	other	4.54715006428513	45.5190780558984
H5N1.2344b.EPI_ISL_4061484.galliformes.nigeria.2_1_1_1_1_1_1_1.2021-03-01	2021-03-01	2021.16	2021-03	2021	western africa	nigeria	9.58907159716497	8.08769036750384	profile001	2_1_1_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	8.08769036750384	9.58907159716497
H5N1.2344b.EPI_ISL_4061485.galliformes.nigeria.2_1_1_1_1_1_1_1.2021-03-01	2021-03-01	2021.16	2021-03	2021	western africa	nigeria	9.58907159716497	8.08769036750384	profile001	2_1_1_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	8.08769036750384	9.58907159716497
H5N1.2344b.EPI_ISL_4061491.galliformes.nigeria.2_1_1_1_1_1_1_1.2021-02-12	2021-02-12	2021.12	2021-02	2021	western africa	nigeria	9.58907159716497	8.08769036750384	profile001	2_1_1_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	8.08769036750384	9.58907159716497
H5N1.2344b.EPI_ISL_14769967.galliformes.lesotho.2_1_1_1_1_1_1_1.2021-06-05	2021-06-05	2021.42	2021-06	2021	southern africa	lesotho	-29.5819622998706	28.2484329985868	profile001	2_1_1_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	28.2484329985868	-29.5819622998706
H5N1.2344b.EPI_ISL_14769966.galliformes.lesotho.2_1_1_1_1_1_1_1.2021-05-29	2021-05-29	2021.41	2021-05	2021	southern africa	lesotho	-29.5819622998706	28.2484329985868	profile001	2_1_1_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	28.2484329985868	-29.5819622998706
H5N1.2344b.EPI_ISL_14619009.charadriiformes.south_africa.2_1_1_1_1_1_1_1.2021-05-17	2021-05-17	2021.37	2021-05	2021	southern africa	south africa	-28.9709136281448	25.1981253246192	profile001	2_1_1_1_1_1_1_1	dominant	charadriiformes	TRUE	charadriiformes-wild	20.6109109128761	-33.016256445291
H5N1.2344b.EPI_ISL_14619020.galliformes.south_africa.2_1_1_1_1_1_1_1.2021-05-17	2021-05-17	2021.37	2021-05	2021	southern africa	south africa	-28.9709136281448	25.1981253246192	profile001	2_1_1_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	20.6109109128761	-33.016256445291
H5N1.2344b.EPI_ISL_14619024.galliformes.south_africa.2_1_1_1_1_1_1_1.2021-05-18	2021-05-18	2021.38	2021-05	2021	southern africa	south africa	-28.9709136281448	25.1981253246192	profile001	2_1_1_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	20.6109109128761	-33.016256445291
H5N1.2344b.EPI_ISL_14639383.charadriiformes.south_africa.2_1_1_1_1_1_1_1.2021-05-20	2021-05-20	2021.38	2021-05	2021	southern africa	south africa	-28.9709136281448	25.1981253246192	profile001	2_1_1_1_1_1_1_1	dominant	charadriiformes	TRUE	charadriiformes-wild	20.6109109128761	-33.016256445291
H5N1.2344b.EPI_ISL_14639837.strigiformes.south_africa.2_1_1_1_1_1_1_1.2021-05-20	2021-05-20	2021.38	2021-05	2021	southern africa	south africa	-28.9709136281448	25.1981253246192	profile001	2_1_1_1_1_1_1_1	dominant	strigiformes	TRUE	other	20.6109109128761	-33.016256445291
H5N1.2344b.EPI_ISL_14640323.charadriiformes.south_africa.2_1_1_1_1_1_1_1.2021-05-20	2021-05-20	2021.38	2021-05	2021	southern africa	south africa	-28.9709136281448	25.1981253246192	profile001	2_1_1_1_1_1_1_1	dominant	charadriiformes	TRUE	charadriiformes-wild	20.6109109128761	-33.016256445291
H5N1.2344b.EPI_ISL_14643779.galliformes.south_africa.2_1_1_1_1_1_1_1.2021-05-20	2021-05-20	2021.38	2021-05	2021	southern africa	south africa	-28.9709136281448	25.1981253246192	profile001	2_1_1_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	20.6109109128761	-33.016256445291
H5N1.2344b.EPI_ISL_14644201.galliformes.south_africa.2_1_1_1_1_1_1_1.2021-05-23	2021-05-23	2021.39	2021-05	2021	southern africa	south africa	-28.9709136281448	25.1981253246192	profile001	2_1_1_1_1_1_1_1	dominant	galliformes	TRUE	galliformes-domestic	20.6109109128761	-33.016256445291
