tipnames	collection_regionname	collection_countryname	host_simplifiedhost	lat	long
H5N1|2344b|EPI_ISL_11971486|galliformes|united_states|4_3_1_1_2_1_1_3|2022-03-22	northern america	united states	galliformes-domestic	44.4440561554676	-100.227146799835
H5N1|2344b|EPI_ISL_13052721|carnivora|united_states|4_3_1_1_2_1_1_3|2022-05-06	northern america	united states	mammal	42.0765903413827	-93.4960133625023
H5N1|2344b|EPI_ISL_13433365|galliformes|united_states|4_3_1_1_2_1_1_3|2022-04-04	northern america	united states	galliformes-domestic	46.3193148536411	-94.1968042401401
H5N1|2344b|EPI_ISL_15078253|carnivora|united_states|4_3_1_1_2_1_1_3|2022-06-08	northern america	united states	mammal	44.8415390367134	-85.6692662146994
H5N1|2344b|EPI_ISL_15647835|anseriformes|south_korea|4_3_1_1_2_1_1_3|2022-10-19	eastern asia	south korea	anseriformes-wild	36.341057964317	127.784630688405
H5N1|2344b|EPI_ISL_16003253|carnivora|canada|4_3_1_1_2_1_1_3|2022-04-07	northern america	canada	mammal	54.7409130620601	-97.4886310680955
H5N1|2344b|EPI_ISL_16022233|carnivora|canada|4_3_1_1_2_1_1_3|2022-05-19	northern america	canada	mammal	54.194222787673	-105.873214717175
H5N1|2344b|EPI_ISL_16023372|carnivora|canada|4_3_1_1_2_1_1_3|2022-06-28	northern america	canada	mammal	54.9859148218572	-114.405475342745
H5N1|2344b|EPI_ISL_16023374|carnivora|canada|4_3_1_1_2_1_1_3|2022-07-19	northern america	canada	mammal	54.9859148218572	-114.405475342745
H5N1|2344b|EPI_ISL_16171407|anseriformes|united_states|4_3_1_1_2_1_1_3|2022-04-22	northern america	united states	anseriformes-domestic	44.8415390367134	-85.6692662146994
H5N1|2344b|EPI_ISL_16171473|galliformes|united_states|4_3_1_1_2_1_1_3|2022-04-26	northern america	united states	galliformes-domestic	41.5381860818162	-99.7937041398577
H5N1|2344b|EPI_ISL_16171479|galliformes|united_states|4_3_1_1_2_1_1_3|2022-04-26	northern america	united states	galliformes-domestic	44.627499166429	-89.7126755416022
H5N1|2344b|EPI_ISL_16171487|anseriformes|united_states|4_3_1_1_2_1_1_3|2022-04-28	northern america	united states	anseriformes-wild	46.3193148536411	-94.1968042401401
