tipnames,virus_subtype,isolate_id,isolate_name,collection_date,collection_datemonth,collection_dateyear,host_class,host_order,host_family,host_sciname,host_commonname,host_isbird,host_isdomestic,host_simplifiedhost,collection_regionname,collection_countryname,collection_countrycode,collection_countrylat,collection_countrylong,collection_subdiv1name,collection_subdiv1code,collection_subdiv1lat,collection_subdiv1long,collection_original,profile_lab,profile,cluster_label,clade,collection_tipdate,cluster_number,collection_dateerror
H5N1|2344b|EPI_ISL_6829533|galliformes|japan|2_6_1_1_6_1_1_1|2021-11-12,H5N1,EPI_ISL_6829533,a/chicken/kagoshima/21a6t/2021,2021-11-12,2021-11,2021,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagoshima,jp.ks,30.9949222722596,130.419711465505,Asia / Japan / Kagoshima / NA / NA,H5N1/2021/R4_Asia,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2344b,2021-11-12,cluster001,FALSE
H5N1|2344b|EPI_ISL_6959592|anseriformes|south_korea|2_6_1_1_6_1_1_1|2021-10-26,H5N1,EPI_ISL_6959592,a/mandarin_duck/korea/wa585/2021,2021-10-26,2021-10,2021,Aves,anseriformes,anatidae,aix galericulata,mandarin duck,TRUE,wild,anseriformes-wild,eastern asia,south korea,kor,36.341057964317,127.784630688405,chungcheongnam-do,kr.gn,36.5298116066164,126.847825775926,Asia / Korea / Chungcheongnam-do / NA / NA,H5N1/2021/R4_Asia,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2344b,2021-10-26,cluster001,FALSE
H5N1|2344b|EPI_ISL_6959593|galliformes|south_korea|2_6_1_1_6_1_1_1|2021-11-08,H5N1,EPI_ISL_6959593,a/quail/korea/h526/2021,2021-11-08,2021-11,2021,Aves,galliformes,phasianidae,synoicus/coturnix sp.,old world quail sp.,TRUE,wild,galliformes-wild,eastern asia,south korea,kor,36.341057964317,127.784630688405,chungcheongbuk-do,kr.gb,36.737850075983,127.830446360213,Asia / Korea / Chungcheongbuk-do / NA / NA,H5N1/2021/R4_Asia,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2344b,2021-11-08,cluster001,FALSE
H5N1|2344b|EPI_ISL_8215689|anseriformes|china|2_6_1_1_1_1_1_1|2021-05-20,H5N1,EPI_ISL_8215689,A/Bar-headed Goose/Tibet/XZ1131/2021,2021-05-20,2021-05,2021,anseriformes wild,anseriformes,NA,NA,NA,NA,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,xizang,cn.xz,31.7354796576819,88.2546629070738,NA,NA,2_6_1_1_1_1_1_1,H5N1/2021/R10_Asia,2344b,2021-05-20,cluster001,FALSE
H5N1|2344b|EPI_ISL_8215688|anseriformes|china|2_6_1_1_1_1_1_1|2021-05-20,H5N1,EPI_ISL_8215688,A/Bar-headed Goose/Tibet/XZ901/2021,2021-05-20,2021-05,2021,anseriformes wild,anseriformes,NA,NA,NA,NA,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,xizang,cn.xz,31.7354796576819,88.2546629070738,NA,NA,2_6_1_1_1_1_1_1,H5N1/2021/R10_Asia,2344b,2021-05-20,cluster001,FALSE
H5N1|2344b|EPI_ISL_11211731|anseriformes|bangladesh|1_1_1_1_1_1_1_1|2021-12-22,H5N1,EPI_ISL_11211731,a/duck/bangladesh/19d1818/2021,2021-12-22,2021-12,2021,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,southern asia,bangladesh,bgd,23.8299093538119,90.2865403636969,NA,NA,NA,NA,Asia / Bangladesh / NA / NA / NA,H5N1/2020/R2_Europe,1_1_1_1_1_1_1_1,H5N1/2021/R3_Europe,2344b,2021-12-22,cluster001,FALSE
H5N1|2344b|EPI_ISL_11330431|accipitriformes|japan|2_1_1_1_1_1_1_1|2022-01-02,H5N1,EPI_ISL_11330431,a/white-tailed_eagle/hokkaido/22-ru-wte-2/2022,2022-01-02,2022-01,2022,Aves,accipitriformes,accipitridae,haliaeetus albicilla,white-tailed eagle,TRUE,wild,other,eastern asia,japan,jpn,37.3996665395305,137.574137168765,hokkaido,jp.hk,43.3824165431654,142.542521870972,Asia / Japan / Hokkaido / Tomamae town / NA,H5N1/2020/R2_Europe,2_1_1_1_1_1_1_1,H5N1/2020/R1_Europe,2344b,2022-01-02,cluster001,FALSE
H5N1|2344b|EPI_ISL_11633613|anseriformes|china|1_1_1_1_1_1_1_1|2021-12-20,H5N1,EPI_ISL_11633613,a/cygnus_columbianus/hubei/117/2021,2021-12-20,2021-12,2021,Aves,anseriformes,anatidae,cygnus columbianus,tundra swan,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,hubei,cn.hu,30.9806813015582,112.277189482252,Asia / China / Hubei Province / NA / NA,H5N1/2021/R5_Europe,1_1_1_1_1_1_1_1,H5N1/2021/R3_Europe,2344b,2021-12-20,cluster001,FALSE
H5N1|2344b|EPI_ISL_11633614|anseriformes|china|2_1_1_1_1_1_1_1|2021-12-20,H5N1,EPI_ISL_11633614,a/cygnus_columbianus/hubei/121/2021,2021-12-20,2021-12,2021,Aves,anseriformes,anatidae,cygnus columbianus,tundra swan,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,hubei,cn.hu,30.9806813015582,112.277189482252,Asia / China / Hubei Province / NA / NA,NA,2_1_1_1_1_1_1_1,H5N1/2020/R1_Europe,2344b,2021-12-20,cluster001,FALSE
H5N1|2344b|EPI_ISL_11633616|anseriformes|china|1_1_1_1_1_1_1_1|2021-12-20,H5N1,EPI_ISL_11633616,a/cygnus_columbianus/hubei/123/2021,2021-12-20,2021-12,2021,Aves,anseriformes,anatidae,cygnus columbianus,tundra swan,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,hubei,cn.hu,30.9806813015582,112.277189482252,Asia / China / Hubei Province / NA / NA,H5N1/2021/R5_Europe,1_1_1_1_1_1_1_1,H5N1/2021/R3_Europe,2344b,2021-12-20,cluster001,FALSE
