tipnames	collection_regionname	collection_countryname	collection_original	host_simplifiedhost	lat	long
H5N8|2344b|EPI_ISL_17414660|galliformes|nigeria|3_2_3_1_3_2_1_2|2021-02-20	western africa	nigeria	Africa / Nigeria / Plateau / NA / NA	galliformes-domestic	9.20979731798597	9.54756607799562
H5N8|2344b|EPI_ISL_4061482|galliformes|nigeria|3_2_3_1_3_2_1_2|2021-02-05	western africa	nigeria	Africa / Nigeria / NA / NA / NA	galliformes-domestic	9.58907159716497	8.08769036750384
H5N8|2344b|EPI_ISL_17414607|NA|nigeria|3_2_3_1_3_2_1_2|2021-02-26	western africa	nigeria	Africa / Nigeria / Plateau / NA / NA	other	9.20979731798597	9.54756607799562
H5N8|2344b|EPI_ISL_5102033|anseriformes|germany|3_2_3_1_3_2_1_2|2021-03-01	western europe	germany	Europe / Germany / North Rhine-Westphalia / GÃ¼tersloh / NA	anseriformes-domestic	51.4777551092159	7.5539349720828
H5N8|2344b|EPI_ISL_984694|anseriformes|denmark|3_2_3_1_3_2_1_2|2020-11-09	northern europe	denmark	Europe / Denmark / Region Nordjylland / Alborg / NA	anseriformes-wild	57.0522607274982	9.67257639647962
H5N8|2344b|EPI_ISL_18953091|anseriformes|denmark|3_2_3_1_3_2_1_2|2020-11-09	northern europe	denmark	NA	anseriformes-wild	55.9512996898935	10.0707816763207
H5N8|2344b|EPI_ISL_7778761|anseriformes|estonia|3_2_3_1_3_2_1_2|2021-03-26	northern europe	estonia	Europe / Estonia / NA / NA / NA	anseriformes-wild	58.6717397518952	25.5522615433491
H5N8|2344b|EPI_ISL_614401|anseriformes|kazakhstan|3_2_3_1_3_2_1_2|2020-09-23	central asia	kazakhstan	Asia / Kazakhstan / Akmola / NA / NA	anseriformes-wild	51.7623557428944	69.9739209295215
H5N8|2344b|EPI_ISL_653919|anseriformes|netherlands|3_2_3_1_3_2_1_2|2020-10-27	western europe	netherlands	Europe / Netherlands / Provincie Noord-Holland / Gemeente Naarden / NA	anseriformes-wild	52.5811544669078	4.87272777813315
H5N8|2344b|EPI_ISL_654832|anseriformes|russia|3_2_3_1_3_2_1_2|2020-09-03	central asia	russia	Europe / Russia / Omsk Oblast / Omsk / NA	anseriformes-wild	56.0596108837778	73.3669499849514
H5N8|2344b|EPI_ISL_1139047|charadriiformes|netherlands|3_2_3_1_3_2_1_2|2020-11-06	western europe	netherlands	Europe / Netherlands / South Holland / Gemeente Spijkenisse / NA	charadriiformes-wild	51.9374604216783	4.46477045234472
H5N8|2344b|EPI_ISL_5142961|galliformes|germany|3_2_3_1_3_2_1_2|2021-03-10	western europe	germany	Europe / Germany / Mecklenburg-Vorpommern / Vorpommern-RÃ¼gen / NA	galliformes-domestic	53.7551744161606	12.5509509363277
H5N8|2344b|EPI_ISL_654830|galliformes|russia|3_2_3_1_3_2_1_2|2020-09-03	central asia	russia	Europe / Russia / Omsk Oblast / Omsk / NA	galliformes-domestic	56.0596108837778	73.3669499849514
H5N8|2344b|EPI_ISL_984690|falconiformes|denmark|3_2_3_1_3_2_1_2|2020-11-06	northern europe	denmark	Europe / Denmark / Region Syddanmark / Svendborg Kommune / NA	other	55.3568797999445	9.45020901930698
H5N8|2344b|EPI_ISL_18953094|falconiformes|denmark|3_2_3_1_3_2_1_2|2020-11-06	northern europe	denmark	NA	other	55.9512996898935	10.0707816763207
H5N8|2344b|EPI_ISL_5098159|anseriformes|germany|3_2_3_1_3_2_1_2|2021-02-16	western europe	germany	Europe / Germany / Brandenburg / MÃ¤rkisch-Oderland / NA	anseriformes-domestic	52.4686720071996	13.4043192497063
