tipnames	collection_regionname	collection_countryname	collection_original	cluster_profile	host_simplifiedhost	lat	long
H5N1|2344b|EPI_ISL_18698527|galliformes|argentina|4_3_1_1_2_1_1_3|2023-06-13	south america	argentina	NA	4_3_1_1_2_1_1_3	galliformes-domestic	-36.6626557465889	-60.5480821834678
H5N1|2344b|EPI_ISL_18698474|galliformes|argentina|4_3_1_1_2_1_1_3|2023-02-20	south america	argentina	NA	4_3_1_1_2_1_1_3	galliformes-domestic	-32.1223499660356	-63.8001999960292
H5N1|2344b|EPI_ISL_18698518|galliformes|argentina|4_3_1_1_2_1_1_3|2023-05-01	south america	argentina	NA	4_3_1_1_2_1_1_3	galliformes-domestic	-26.3828503765305	-60.7777509441554
H5N1|2344b|EPI_ISL_18698514|galliformes|argentina|4_3_1_1_2_1_1_3|2023-04-19	south america	argentina	NA	4_3_1_1_2_1_1_3	galliformes-domestic	-43.7868223025616	-68.511663809735
H5N1|2344b|EPI_ISL_18698508|galliformes|argentina|4_3_1_1_2_1_1_3|2023-03-31	south america	argentina	NA	4_3_1_1_2_1_1_3	galliformes-domestic	-28.7729566425108	-57.7999491192661
H5N1|2344b|EPI_ISL_18698525|galliformes|argentina|4_3_1_1_2_1_1_3|2023-05-18	south america	argentina	NA	4_3_1_1_2_1_1_3	galliformes-domestic	-32.0397430287849	-59.2023932092603
H5N1|2344b|EPI_ISL_18698459|anseriformes|argentina|4_3_1_1_2_1_1_3|2023-02-11	south america	argentina	NA	4_3_1_1_2_1_1_3	anseriformes-domestic	-23.3179610327965	-65.7649952758448
H5N1|2344b|EPI_ISL_18698504|galliformes|argentina|4_3_1_1_2_1_1_3|2023-03-16	south america	argentina	NA	4_3_1_1_2_1_1_3	galliformes-domestic	-37.1255727771995	-65.4470299288487
H5N1|2344b|EPI_ISL_18698505|galliformes|argentina|4_3_1_1_2_1_1_3|2023-03-21	south america	argentina	NA	4_3_1_1_2_1_1_3	galliformes-domestic	-38.6247364397998	-70.1087540238136
H5N1|2344b|EPI_ISL_18698755|mammal|argentina|4_3_1_1_2_1_1_3|2023-08-11	south america	argentina	NA	4_3_1_1_2_1_1_3	mammal	-40.4108256408088	-67.2098045960294
H5N1|2344b|EPI_ISL_18698513|galliformes|argentina|4_3_1_1_2_1_1_3|2023-04-17	south america	argentina	NA	4_3_1_1_2_1_1_3	galliformes-domestic	-48.7713269135881	-69.8913370290236
H5N1|2344b|EPI_ISL_18698476|galliformes|argentina|4_3_1_1_2_1_1_3|2023-02-21	south america	argentina	NA	4_3_1_1_2_1_1_3	galliformes-domestic	-30.6720306872131	-60.9357621538365
H5N1|2344b|EPI_ISL_18698731|galliformes|argentina|4_3_1_1_2_1_1_3|2023-03-09	south america	argentina	NA	4_3_1_1_2_1_1_3	galliformes-domestic	-33.7527938244466	-66.0339496041068
H5N1|2344b|EPI_ISL_18698754|mammal|argentina|4_3_1_1_2_1_1_3|2023-08-08	south america	argentina	NA	4_3_1_1_2_1_1_3	mammal	-54.3319371060893	-67.4125966256164
H5N1|2344b|EPI_ISL_18130597|charadriiformes|brazil|4_3_1_1_2_1_1_3|2023-06-21	south america	brazil	NA	4_3_1_1_2_1_1_3	charadriiformes-wild	-19.5709250592315	-40.6652075301607
H5N1|2344b|EPI_ISL_18975372|suliformes|brazil|4_3_1_1_2_1_1_3|2023-07-25	south america	brazil	NA	4_3_1_1_2_1_1_3	other	-24.6354542918816	-51.619585090531
H5N1|2344b|EPI_ISL_18755251|suliformes|brazil|4_3_1_1_2_1_1_3|2023-06-03	south america	brazil	NA	4_3_1_1_2_1_1_3	other	-22.1966758001859	-42.6576662414631
H5N1|2344b|EPI_ISL_17885970|accipitriformes|chile|4_3_1_1_2_1_1_3|2022-12-17	south america	chile	NA	4_3_1_1_2_1_1_3	other	-23.5276504572593	-69.1155261199782
H5N1|2344b|EPI_ISL_17885976|mammal|chile|4_3_1_1_2_1_1_3|2023-03-01	south america	chile	NA	4_3_1_1_2_1_1_3	mammal	-18.4968307906384	-69.6296363253853
H5N1|2344b|EPI_ISL_17885869|anseriformes|chile|4_3_1_1_2_1_1_3|2023-02-28	south america	chile	NA	4_3_1_1_2_1_1_3	anseriformes-domestic	-38.6482992883006	-72.2753909310813
H5N1|2344b|EPI_ISL_17885926|pelecaniformes|chile|4_3_1_1_2_1_1_3|2022-12-26	south america	chile	NA	4_3_1_1_2_1_1_3	other	-27.3880384326825	-69.902133937498
H5N1|2344b|EPI_ISL_18760061|pelecaniformes|chile|4_3_1_1_2_1_1_3|2023-02-13	south america	chile	NA	4_3_1_1_2_1_1_3	other	-37.4998667272625	-72.3949210324733
H5N1|2344b|EPI_ISL_17885872|galliformes|chile|4_3_1_1_2_1_1_3|2023-03-12	south america	chile	NA	4_3_1_1_2_1_1_3	galliformes-domestic	-34.4357789812144	-71.0464648196043
H5N1|2344b|EPI_ISL_17885849|charadriiformes|chile|4_3_1_1_2_1_1_3|2023-03-06	south america	chile	NA	4_3_1_1_2_1_1_3	charadriiformes-wild	-35.6204383329149	-71.4454635697529
H5N1|2344b|EPI_ISL_17885878|galliformes|chile|4_3_1_1_2_1_1_3|2023-02-27	south america	chile	NA	4_3_1_1_2_1_1_3	galliformes-domestic	-36.6455443686508	-71.9757909721378
H5N1|2344b|EPI_ISL_18760060|galliformes|chile|4_3_1_1_2_1_1_3|2023-03-20	south america	chile	NA	4_3_1_1_2_1_1_3	galliformes-domestic	-33.6042434852213	-70.6268454043396
H5N1|2344b|EPI_ISL_18760069|mammal|chile|4_3_1_1_2_1_1_3|2023-03-19	south america	chile	NA	4_3_1_1_2_1_1_3	mammal	-32.7895224923796	-71.3992840580514
H5N1|2344b|EPI_ISL_18265437|pelecaniformes|peru|4_3_1_1_2_1_1_3|2022-11-24	south america	peru	NA	4_3_1_1_2_1_1_3	other	-9.12690950582405	-74.3967035676846
H5N1|2344b|EPI_ISL_18310959|galliformes|uruguay|4_3_1_1_2_1_1_3|2023-04-16	south america	uruguay	NA	4_3_1_1_2_1_1_3	galliformes-domestic	-32.7868641942882	-56.0254606768188
H5N1|2344b|EPI_ISL_18439563|charadriiformes|united_states|4_3_1_1_2_1_1_3|2023-10-08	northern america	united states	NA	4_3_1_1_2_1_1_3	charadriiformes-wild	32.6403385373358	-83.4405725551842
H5N1|2344b|EPI_ISL_16891400|anseriformes|chile|5_3_1_1_2_1_1_4|2022-12-02	south america	chile	South America / Chile / NA / NA / NA	5_3_1_1_2_1_1_4	anseriformes-wild	-36.352932692973	-71.0631434301439
H5N1|2344b|EPI_ISL_17468386|unknown|chile|5_3_1_1_2_1_1_4|2023-03-24	south america	chile	South America / Chile / Region de Antofagasta / NA / NA	5_3_1_1_2_1_1_4	unknown	-23.5276504572593	-69.1155261199782
H5N1|2344b|EPI_ISL_17973443|NA|ecuador|5_3_1_1_2_1_1_4|2023-01-11	south america	ecuador	South America / Ecuador / Provincia de Manabi / San Vicente / NA	5_3_1_1_2_1_1_4	other	-0.751243186649703	-80.1366162194134
H5N1|2344b|EPI_ISL_17777529|suliformes|peru|5_3_1_1_2_1_1_4|2023-03-17	south america	peru	South America / Peru / Provincia Constitucional del Callao / Callao / NA	5_3_1_1_2_1_1_4	other	-11.9545824923705	-77.1360367031896
H5N1|2344b|EPI_ISL_17099964|pelecaniformes|peru|5_3_1_1_2_1_1_4|2022-12-01	south america	peru	South America / Peru / Departamento de Ica / Beaches of the Tambo de Mora (Chincha Alta/Chincha/Ica/Peru), / (Chincha Alta/Chincha/Ica/Peru),	5_3_1_1_2_1_1_4	other	-14.2339783641518	-75.5762320808058
H5N1|2344b|EPI_ISL_17777527|charadriiformes|peru|5_3_1_1_2_1_1_4|2023-03-16	south america	peru	South America / Peru / Departamento de Lima / Lima / NA	5_3_1_1_2_1_1_4	charadriiformes-wild	-12.0179113235961	-76.9049187829412
H5N1|2344b|EPI_ISL_17777532|carnivora|peru|5_3_1_1_2_1_1_4|2023-03-07	south america	peru	South America / Peru / Departamento de Tacna / NA / NA	5_3_1_1_2_1_1_4	mammal	-17.644827527273	-70.2791288812849
