tipnames	collection_regionname	collection_countryname	collection_original	cluster_profile	host_simplifiedhost	lat	long
H5N8|2344b|EPI_ISL_1273414|galliformes|japan|6_1_5_2_1_3_1_2|2021-02-01	eastern asia	japan	Asia / Japan / Ibaraki / NA / NA	6_1_5_2_1_3_1_2	galliformes-domestic	36.3027610877484	140.318971903473
H5N8|2344b|EPI_ISL_1041177|falconiformes|japan|6_1_5_2_1_3_1_2|2021-02-15	eastern asia	japan	Asia / Japan / Tochigi / NA / NA	6_1_5_2_1_3_1_2	other	36.6894768729176	139.818920628006
H5N8|2344b|EPI_ISL_759853|galliformes|japan|6_1_5_2_1_3_1_2|2020-12-23	eastern asia	japan	Asia / Japan / Chiba / NA / NA	6_1_5_2_1_3_1_2	galliformes-domestic	35.5094511865639	140.198261340312
H5N8|2344b|EPI_ISL_854600|galliformes|japan|6_1_5_2_1_3_1_2|2021-01-01	eastern asia	japan	Asia / Japan / Gifu / NA / NA	6_1_5_2_1_3_1_2	galliformes-domestic	35.7777527627362	137.055033768037
H5N8|2344b|EPI_ISL_16718463|gruiformes|japan|6_1_5_2_1_3_1_2|2021-02-05	eastern asia	japan	Asia / Japan / NA / NA / NA	6_1_5_2_1_3_1_2	other	30.9949222722596	130.419711465505
H5N8|2344b|EPI_ISL_985233|anseriformes|japan|6_1_5_2_1_3_1_2|2021-02-08	eastern asia	japan	Asia / Japan / Niigata / NA / NA	6_1_5_2_1_3_1_2	anseriformes-wild	37.5201743528051	138.914818034069
H5N8|2344b|EPI_ISL_1241004|strigiformes|japan|6_1_5_2_1_3_1_2|2021-02-16	eastern asia	japan	Asia / Japan / Tochigi / NA / NA	6_1_5_2_1_3_1_2	other	36.6894768729176	139.818920628006
H5N8|2344b|EPI_ISL_738060|galliformes|japan|6_1_5_2_1_3_1_2|2020-12-18	eastern asia	japan	Asia / Japan / Tokushima / NA / NA	6_1_5_2_1_3_1_2	galliformes-domestic	33.9191788356518	134.242093496813
H5N8|2344b|EPI_ISL_17805886|NA|japan|6_1_5_2_1_3_1_2|2021-02-05	eastern asia	japan	Asia / Japan / NA / NA / NA	6_1_5_2_1_3_1_2	other	37.3996665395305	137.574137168765
H5N8|2344b|EPI_ISL_1009679|anseriformes|south_korea|6_1_5_2_1_3_1_2|2020-12-28	eastern asia	south korea	Asia / Korea / CN / NA / NA	6_1_5_2_1_3_1_2	anseriformes-wild	36.5298116066164	126.847825775926
H5N8|2344b|EPI_ISL_17086336|galliformes|japan|NA|2021-01-02	eastern asia	japan	NA	NA	galliformes-domestic	35.7777527627362	137.055033768037
H5N8|2344b|EPI_ISL_17086222|anseriformes|japan|NA|2020-11-30	eastern asia	japan	NA	NA	anseriformes-wild	32.1919114758892	131.298614512671
H5N8|2344b|EPI_ISL_17086342|environment|japan|NA|2020-11-16	eastern asia	japan	NA	NA	environment	37.5201743528051	138.914818034069
H5N8|2344b|EPI_ISL_17086335|environment|japan|NA|2020-12-19	eastern asia	japan	NA	NA	environment	33.9191788356518	134.242093496813
H5N8|2344b|EPI_ISL_4030493|environment|japan|NA|2020-12-09	eastern asia	japan	NA	NA	environment	35.3595547900768	133.863177571414
H5N8|2344b|EPI_ISL_16405667|environment|japan|6_16_5_2_1_3_1_2|2020-11-30	eastern asia	japan	Asia / Japan / NA / NA / NA	6_16_5_2_1_3_1_2	environment	30.9949222722596	130.419711465505
H5N8|2344b|EPI_ISL_17805841|environment|japan|6_16_5_2_1_3_1_2|2020-11-30	eastern asia	japan	Asia / Japan / NA / NA / NA	6_16_5_2_1_3_1_2	environment	37.3996665395305	137.574137168765
H5N8|2344b|EPI_ISL_681286|galliformes|japan|6_1_5_2_1_3_1_2|2020-11-04	eastern asia	japan	Asia / Japan / Kagawa / NA / NA	6_1_5_2_1_3_1_2	galliformes-domestic	34.217379070784	133.968927545016
H5N8|2344b|EPI_ISL_17086224|environment|japan|NA|2020-11-05	eastern asia	japan	NA	NA	environment	34.217379070784	133.968927545016
H5N8|2344b|EPI_ISL_681288|galliformes|japan|6_1_5_2_1_3_1_2|2020-11-07	eastern asia	japan	Asia / Japan / Kagawa / NA / NA	6_1_5_2_1_3_1_2	galliformes-domestic	34.217379070784	133.968927545016
H5N8|2344b|EPI_ISL_681284|galliformes|japan|6_1_5_2_1_3_1_2|2020-11-25	eastern asia	japan	Asia / Japan / Hyogo / NA / NA	6_1_5_2_1_3_1_2	galliformes-domestic	35.0390049694389	134.828550655208
H5N8|2344b|EPI_ISL_17086228|environment|japan|NA|2020-11-25	eastern asia	japan	NA	NA	environment	35.0390049694389	134.828550655208
H5N8|2344b|EPI_ISL_1184509|galliformes|japan|1_1_15_2_1_3_1_2|2021-02-24	eastern asia	japan	Asia / Japan / Miyazaki / NA / NA	1_1_15_2_1_3_1_2	galliformes-domestic	32.1919114758892	131.298614512671
H5N8|2344b|EPI_ISL_1041172|accipitriformes|japan|1_1_15_2_1_3_1_2|2021-02-10	eastern asia	japan	Asia / Japan / Toyama / NA / NA	1_1_15_2_1_3_1_2	other	36.6374969915777	137.269020761504
H5N8|2344b|EPI_ISL_985180|galliformes|south_korea|6_1_5_2_1_3_1_2|2020-12-01	eastern asia	south korea	Asia / Korea / GB / NA / NA	6_1_5_2_1_3_1_2	galliformes-domestic	36.3474789243827	128.748576389097
