tipnames	virus_subtype	collection_regionname	collection_countryname	collection_original	cluster_profile	host_simplifiedhost	lat	long
H5N1|2344b|EPI_ISL_17353507|galliformes|ecuador|4_3_1_1_2_1_1_3|2022-11-08	H5N1	south america	ecuador	South America / Colombia / Departamento de Bolivar / NA / NA	4_3_1_1_2_1_1_3	galliformes-domestic	-1.58721983309051	-79.1068925338894
H5N1|2344b|EPI_ISL_18107019|anseriformes|united_states|5_1_1_1_2_1_1_3|2022-09-22	H5N1	northern america	united states	NA	5_1_1_1_2_1_1_3	anseriformes-wild	31.0706065513525	-91.9998874220998
H5N1|2344b|EPI_ISL_18107018|anseriformes|united_states|5_1_1_1_2_1_1_3|2022-09-22	H5N1	northern america	united states	NA	5_1_1_1_2_1_1_3	anseriformes-wild	31.0706065513525	-91.9998874220998
H5N1|2344b|EPI_ISL_17851860|galliformes|united_states|5_4_9_1_2_1_1_1|2022-08-31	H5N1	northern america	united states	NA	5_4_9_1_2_1_1_1	galliformes-wild	40.470536265191	-82.6389467524245
H5N1|2344b|EPI_ISL_17851850|anseriformes|united_states|5_4_9_1_2_1_1_1|2022-08-31	H5N1	northern america	united states	NA	5_4_9_1_2_1_1_1	anseriformes-wild	40.470536265191	-82.6389467524245
H5N3|NA|EPI_ISL_379049|anseriformes|guatemala|NA|2013-08-01	H5N3	central america	guatemala	NA	NA	anseriformes-wild	15.6933922665433	-90.3570371453821
H5N3|NA|EPI_ISL_379048|anseriformes|guatemala|NA|2013-08-01	H5N3	central america	guatemala	NA	NA	anseriformes-wild	15.6933922665433	-90.3570371453821
H5N3|NA|EPI_ISL_379043|anseriformes|guatemala|NA|2013-08-01	H5N3	central america	guatemala	NA	NA	anseriformes-wild	15.6933922665433	-90.3570371453821
H5N3|NA|EPI_ISL_379040|anseriformes|guatemala|NA|2013-08-01	H5N3	central america	guatemala	NA	NA	anseriformes-wild	15.6933922665433	-90.3570371453821
H5N1|2344b|EPI_ISL_18439562|charadriiformes|united_states|4_3_1_1_2_1_1_3|2023-10-08	H5N1	northern america	united states	NA	4_3_1_1_2_1_1_3	charadriiformes-wild	32.6403385373358	-83.4405725551842
H5N1|2344b|EPI_ISL_18439563|charadriiformes|united_states|4_3_1_1_2_1_1_3|2023-10-08	H5N1	northern america	united states	NA	4_3_1_1_2_1_1_3	charadriiformes-wild	32.6403385373358	-83.4405725551842
H5N1|2344b|EPI_ISL_18439564|charadriiformes|united_states|4_3_1_1_2_1_1_3|2023-10-08	H5N1	northern america	united states	NA	4_3_1_1_2_1_1_3	charadriiformes-wild	32.6403385373358	-83.4405725551842
H5N1|2344b|EPI_ISL_16013752|pelecaniformes|venezuela|5_1_1_1_2_1_1_3|2022-11-25	H5N1	south america	venezuela	South America / Venezuela / Estado Anzoategui / NA / NA	5_1_1_1_2_1_1_3	other	8.89363259762319	-64.4049370136296
H5N1|2344b|EPI_ISL_17353508|galliformes|colombia|5_4_9_1_2_1_1_1|2022-11-13	H5N1	south america	colombia	South America / Colombia / Departamento del Choco / NA / NA	5_4_9_1_2_1_1_1	galliformes-domestic	5.93194075736459	-76.9341377836413
H5N1|NA|EPI_ISL_17885947|sphenisciformes|chile|NA|2023-02-23	H5N1	south america	chile	NA	NA	other	-20.1723893841755	-69.3557535441909
H5N1|2344b|EPI_ISL_18698527|galliformes|argentina|4_3_1_1_2_1_1_3|2023-06-13	H5N1	south america	argentina	NA	4_3_1_1_2_1_1_3	galliformes-domestic	-36.6626557465889	-60.5480821834678
H5N1|2344b|EPI_ISL_18698464|galliformes|argentina|4_3_1_1_2_1_1_3|2023-02-18	H5N1	south america	argentina	NA	4_3_1_1_2_1_1_3	galliformes-domestic	-32.1223499660356	-63.8001999960292
H5N1|2344b|EPI_ISL_18698518|galliformes|argentina|4_3_1_1_2_1_1_3|2023-05-01	H5N1	south america	argentina	NA	4_3_1_1_2_1_1_3	galliformes-domestic	-26.3828503765305	-60.7777509441554
H5N1|2344b|EPI_ISL_18698514|galliformes|argentina|4_3_1_1_2_1_1_3|2023-04-19	H5N1	south america	argentina	NA	4_3_1_1_2_1_1_3	galliformes-domestic	-43.7868223025616	-68.511663809735
H5N1|2344b|EPI_ISL_18698515|anseriformes|argentina|4_3_1_1_2_1_1_3|2023-04-19	H5N1	south america	argentina	NA	4_3_1_1_2_1_1_3	anseriformes-domestic	-28.7729566425108	-57.7999491192661
H5N1|2344b|EPI_ISL_18698525|galliformes|argentina|4_3_1_1_2_1_1_3|2023-05-18	H5N1	south america	argentina	NA	4_3_1_1_2_1_1_3	galliformes-domestic	-32.0397430287849	-59.2023932092603
H5N1|2344b|EPI_ISL_18698528|galliformes|argentina|4_3_1_1_2_1_1_3|2023-07-06	H5N1	south america	argentina	NA	4_3_1_1_2_1_1_3	galliformes-domestic	-24.8937176371018	-59.949649967252
H5N1|2344b|EPI_ISL_18698459|anseriformes|argentina|4_3_1_1_2_1_1_3|2023-02-11	H5N1	south america	argentina	NA	4_3_1_1_2_1_1_3	anseriformes-domestic	-23.3179610327965	-65.7649952758448
H5N1|2344b|EPI_ISL_18698504|galliformes|argentina|4_3_1_1_2_1_1_3|2023-03-16	H5N1	south america	argentina	NA	4_3_1_1_2_1_1_3	galliformes-domestic	-37.1255727771995	-65.4470299288487
H5N1|2344b|EPI_ISL_18698512|galliformes|argentina|4_3_1_1_2_1_1_3|2023-04-19	H5N1	south america	argentina	NA	4_3_1_1_2_1_1_3	galliformes-domestic	-34.6107738098794	-68.5833000873727
H5N1|2344b|EPI_ISL_18698502|galliformes|argentina|4_3_1_1_2_1_1_3|2023-03-13	H5N1	south america	argentina	NA	4_3_1_1_2_1_1_3	galliformes-domestic	-38.6247364397998	-70.1087540238136
H5N1|2344b|EPI_ISL_18698755|mammal|argentina|4_3_1_1_2_1_1_3|2023-08-11	H5N1	south america	argentina	NA	4_3_1_1_2_1_1_3	mammal	-40.4108256408088	-67.2098045960294
H5N1|2344b|EPI_ISL_18698529|galliformes|argentina|4_3_1_1_2_1_1_3|2023-07-26	H5N1	south america	argentina	NA	4_3_1_1_2_1_1_3	galliformes-domestic	-24.2949333512188	-64.8055879616535
H5N1|2344b|EPI_ISL_18698513|galliformes|argentina|4_3_1_1_2_1_1_3|2023-04-17	H5N1	south america	argentina	NA	4_3_1_1_2_1_1_3	galliformes-domestic	-48.7713269135881	-69.8913370290236
H5N1|2344b|EPI_ISL_18698497|galliformes|argentina|4_3_1_1_2_1_1_3|2023-03-04	H5N1	south america	argentina	NA	4_3_1_1_2_1_1_3	galliformes-domestic	-30.6720306872131	-60.9357621538365
H5N1|2344b|EPI_ISL_18698731|galliformes|argentina|4_3_1_1_2_1_1_3|2023-03-09	H5N1	south america	argentina	NA	4_3_1_1_2_1_1_3	galliformes-domestic	-33.7527938244466	-66.0339496041068
H5N1|2344b|EPI_ISL_18698754|mammal|argentina|4_3_1_1_2_1_1_3|2023-08-08	H5N1	south america	argentina	NA	4_3_1_1_2_1_1_3	mammal	-54.3319371060893	-67.4125966256164
H5N1|2344b|EPI_ISL_18130597|charadriiformes|brazil|4_3_1_1_2_1_1_3|2023-06-21	H5N1	south america	brazil	NA	4_3_1_1_2_1_1_3	charadriiformes-wild	-19.5709250592315	-40.6652075301607
H5N1|2344b|EPI_ISL_18975372|suliformes|brazil|4_3_1_1_2_1_1_3|2023-07-25	H5N1	south america	brazil	NA	4_3_1_1_2_1_1_3	other	-24.6354542918816	-51.619585090531
H5N1|2344b|EPI_ISL_18755251|suliformes|brazil|4_3_1_1_2_1_1_3|2023-06-03	H5N1	south america	brazil	NA	4_3_1_1_2_1_1_3	other	-22.1966758001859	-42.6576662414631
H5N1|2344b|EPI_ISL_17011961|pelecaniformes|chile|4_3_1_1_2_1_1_3|2022-12-05	H5N1	south america	chile	South America / Chile / NA / NA / NA	4_3_1_1_2_1_1_3	other	-36.352932692973	-71.0631434301439
H5N1|2344b|EPI_ISL_17885970|galliformes|chile|4_3_1_1_2_1_1_3|2022-12-17	H5N1	south america	chile	NA	4_3_1_1_2_1_1_3	galliformes-domestic	-23.5276504572593	-69.1155261199782
