tipnames	virus_subtype	collection_regionname	collection_countryname	cluster_number	host_simplifiedhost	lat	long
H5N8|2344b|EPI_ISL_402134|galliformes|poland|7_1_5_2_1_3_1_2|2019-12-30	H5N8	eastern europe	poland	profile0001	galliformes-domestic	51.2170859712694	22.9017240742201
H5N8|2344b|EPI_ISL_405813|accipitriformes|poland|7_1_5_2_1_3_1_2|2020-01-06	H5N8	eastern europe	poland	profile0001	other-bird	51.2170859712694	22.9017240742201
H5N8|2344b|EPI_ISL_410291|galliformes|germany|7_1_5_2_1_3_1_2|2020-02-06	H5N8	western europe	germany	profile0001	galliformes-domestic	48.5335196122676	9.04442576424602
H5N8|2344b|EPI_ISL_418266|galliformes|czechia|7_1_5_2_1_3_1_2|2020-02-17	H5N8	eastern europe	czechia	profile0001	galliformes-domestic	49.9006406346158	16.1892997029385
H5N2|2344b|EPI_ISL_503969|galliformes|bulgaria|1_1_18_2_5_19_1_5|2020-02-21	H5N2	eastern europe	bulgaria	profile0001	galliformes-domestic	42.7584172195881	25.2179149681535
H5N8|2344b|EPI_ISL_525444|galliformes|poland|7_1_5_2_1_3_1_2|2020-01-17	H5N8	eastern europe	poland	profile0001	galliformes-domestic	52.1141994014432	19.4236724631525
H5N8|2344b|EPI_ISL_525453|anseriformes|poland|7_1_5_2_1_3_1_2|2020-02-22	H5N8	eastern europe	poland	profile0001	anseriformes-domestic	52.1141994014432	19.4236724631525
H5N8|2344b|EPI_ISL_525465|anseriformes|poland|7_1_5_2_1_3_1_2|2020-02-29	H5N8	eastern europe	poland	profile0001	anseriformes-domestic	52.1141994014432	19.4236724631525
H5N1|2344b|EPI_ISL_603133|anseriformes|netherlands|2_1_1_1_1_1_1_1|2020-10-16	H5N1	western europe	netherlands	profile0001	anseriformes-wild	52.2573048104135	5.56251311224367
H5N1|2344b|EPI_ISL_603134|anseriformes|netherlands|2_1_1_1_1_1_1_1|2020-10-16	H5N1	western europe	netherlands	profile0001	anseriformes-wild	52.2573048104135	5.56251311224367
H5N1|2344b|EPI_ISL_603135|anseriformes|netherlands|2_1_1_1_1_1_1_1|2020-10-16	H5N1	western europe	netherlands	profile0001	anseriformes-wild	52.2573048104135	5.56251311224367
H5N8|2344b|EPI_ISL_603136|anseriformes|netherlands|3_2_3_1_3_2_1_2|2020-10-16	H5N8	western europe	netherlands	profile0002	anseriformes-wild	52.2573048104135	5.56251311224367
H5N8|2344b|EPI_ISL_603226|galliformes|bulgaria|1_2_15_2_1_13_1_2|2019-04-01	H5N8	eastern europe	bulgaria	profile0002	galliformes-domestic	42.2564257629518	24.8255765075979
H5N8|2344b|EPI_ISL_603228|galliformes|bulgaria|1_2_15_2_1_13_1_2|2019-04-05	H5N8	eastern europe	bulgaria	profile0002	galliformes-domestic	42.2564257629518	24.8255765075979
H5N2|2344b|EPI_ISL_603231|galliformes|bulgaria|1_1_18_2_5_19_1_5|2020-03-02	H5N2	eastern europe	bulgaria	profile0001	galliformes-domestic	42.2564257629518	24.8255765075979
H5N8|2344b|EPI_ISL_603233|galliformes|bulgaria|1_2_15_2_1_13_1_2|2020-06-03	H5N8	eastern europe	bulgaria	profile0002	galliformes-domestic	42.2564257629518	24.8255765075979
H5N8|2344b|EPI_ISL_603237|anseriformes|bulgaria|1_2_15_2_1_13_1_2|2019-03-27	H5N8	eastern europe	bulgaria	profile0002	anseriformes-wild	42.7584172195881	25.2179149681535
H5N8|2344b|EPI_ISL_637098|anseriformes|russia|3_2_3_1_3_2_1_2|2020-07-31	H5N8	central asia	russia	profile0002	anseriformes-wild	54.4531161547399	60.406021972363
H5N8|2344b|EPI_ISL_644122|anseriformes|russia|3_2_3_1_3_2_1_2|2020-08-13	H5N8	central asia	russia	profile0002	anseriformes-wild	56.0596108837778	73.3669499849514
H5N8|2344b|EPI_ISL_644125|anseriformes|russia|3_2_2_1_3_2_1_2|2020-08-17	H5N8	central asia	russia	profile0002	anseriformes-wild	56.0596108837778	73.3669499849514
H5N8|2344b|EPI_ISL_644126|galliformes|russia|3_2_2_1_3_2_1_2|2020-08-17	H5N8	central asia	russia	profile0002	galliformes-domestic	56.0596108837778	73.3669499849514
H5N8|2344b|EPI_ISL_644127|anseriformes|russia|3_2_2_1_3_2_1_2|2020-08-17	H5N8	central asia	russia	profile0002	anseriformes-wild	56.0596108837778	73.3669499849514
H5N8|2344b|EPI_ISL_644134|galliformes|russia|3_2_3_1_3_2_1_2|2020-08-17	H5N8	central asia	russia	profile0002	galliformes-domestic	56.0596108837778	73.3669499849514
H5N8|2344b|EPI_ISL_644150|galliformes|russia|3_2_2_1_3_2_1_2|2020-08-17	H5N8	central asia	russia	profile0002	galliformes-domestic	56.0596108837778	73.3669499849514
H5N8|2344b|EPI_ISL_666890|galliformes|croatia|3_2_3_1_3_2_1_2|2020-11-17	H5N8	southern europe	croatia	profile0002	galliformes-domestic	46.0941050136215	16.8104817428003
H5N8|2344b|EPI_ISL_667810|galliformes|france|3_2_3_1_3_2_1_2|2020-11-10	H5N8	western europe	france	profile0002	galliformes-domestic	42.1497137840693	9.10513916746533
H5N8|2344b|EPI_ISL_684037|anseriformes|russia|3_2_3_2_3_3_1_2|2020-10-09	H5N8	eastern europe	russia	profile0002	anseriformes-wild	55.3847196142087	50.9399477925889
H5N8|2344b|EPI_ISL_739688|galliformes|russia|3_2_3_1_3_2_1_2|2020-09-22	H5N8	central asia	russia	profile0002	galliformes-domestic	55.2762232202593	79.7845914423443
H5N8|2344b|EPI_ISL_739690|galliformes|russia|2_1_1_1_1_16_1_2|2020-09-20	H5N8	central asia	russia	profile0001	galliformes-domestic	55.2762232202593	79.7845914423443
H5N8|2344b|EPI_ISL_739691|galliformes|russia|2_1_1_1_1_16_1_2|2020-09-20	H5N8	central asia	russia	profile0001	galliformes-domestic	55.2762232202593	79.7845914423443
H5N8|2344b|EPI_ISL_739692|galliformes|russia|2_1_1_1_1_16_1_2|2020-09-20	H5N8	central asia	russia	profile0001	galliformes-domestic	55.2762232202593	79.7845914423443
H5N6|2344b|EPI_ISL_4031463|accipitriformes|denmark|14_2_2_2_3_17_1_2|2019-01-04	H5N6	northern europe	denmark	profile0002	other-bird	55.9512996898935	10.0707816763207
H5N6|2344b|EPI_ISL_4031476|accipitriformes|denmark|14_2_2_2_3_17_1_2|2019-03-27	H5N6	northern europe	denmark	profile0002	other-bird	55.9512996898935	10.0707816763207
H5N8|2344b|EPI_ISL_404993|anseriformes|germany|7_1_5_2_1_3_1_2|2020-01-16	H5N8	western europe	germany	profile0001	anseriformes-wild	52.4686720071996	13.4043192497063
H5N8|2344b|EPI_ISL_405391|galliformes|czechia|7_1_5_2_1_3_1_2|2020-01-17	H5N8	eastern europe	czechia	profile0001	galliformes-domestic	49.4071187835784	15.6903483593844
H5N8|2344b|EPI_ISL_417414|accipitriformes|germany|7_1_5_2_1_3_1_2|2020-03-20	H5N8	western europe	germany	profile0001	other-bird	51.0528694457593	13.3447264729352
H5N8|2344b|EPI_ISL_417415|galliformes|germany|7_1_5_2_1_3_1_2|2020-03-20	H5N8	western europe	germany	profile0001	galliformes-domestic	52.7642105761026	9.16783937293005
H5N8|2344b|EPI_ISL_419239|anseriformes|hungary|7_1_5_2_1_3_1_2|2020-01-10	H5N8	eastern europe	hungary	profile0001	anseriformes-wild	47.1703761996839	19.3977670199114
H5N8|2344b|EPI_ISL_419314|galliformes|germany|7_1_5_2_1_3_1_2|2020-03-27	H5N8	western europe	germany	profile0001	galliformes-domestic	52.0090264158216	11.7027467770331
H5N5|2344b|EPI_ISL_614399|accipitriformes|germany|3_2_2_1_3_5_1_2|2020-10-29	H5N5	western europe	germany	profile0002	other-bird	53.7551744161606	12.5509509363277
H5N5|2344b|EPI_ISL_626647|galliformes|russia|3_2_3_1_3_5_1_2|2020-10-02	H5N5	eastern europe	russia	profile0002	galliformes-domestic	56.0596108837778	73.3669499849514
H5N5|2344b|EPI_ISL_626648|anseriformes|russia|3_2_3_1_3_5_1_2|2020-10-02	H5N5	eastern europe	russia	profile0002	anseriformes-wild	56.0596108837778	73.3669499849514
H5N8|2344b|EPI_ISL_626649|anseriformes|russia|3_2_3_1_3_2_1_2|2020-09-18	H5N8	eastern europe	russia	profile0002	anseriformes-wild	51.5994582882348	46.8369479833559
H5N1|2344b|EPI_ISL_632316|charadriiformes|netherlands|3_1_2_1_11_1_1_2|2020-11-01	H5N1	western europe	netherlands	profile0001	charadriiformes-wild	53.1100430768808	5.84863928632393
