tipnames	virus_subtype	collection_regionname	collection_countryname	cluster_number	host_simplifiedhost	lat	long
H5N8|2344b|EPI_ISL_402134|galliformes|poland|7_1_5_2_1_3_1_2|2019-12-30	H5N8	eastern europe	poland	profile0002	galliformes-domestic	51.2170859712694	22.9017240742201
H5N8|2344b|EPI_ISL_405813|accipitriformes|poland|7_1_5_2_1_3_1_2|2020-01-06	H5N8	eastern europe	poland	profile0002	other-bird	51.2170859712694	22.9017240742201
H5N8|2344b|EPI_ISL_410291|galliformes|germany|7_1_5_2_1_3_1_2|2020-02-06	H5N8	western europe	germany	profile0002	galliformes-domestic	48.5335196122676	9.04442576424602
H5N8|2344b|EPI_ISL_418266|galliformes|czechia|7_1_5_2_1_3_1_2|2020-02-17	H5N8	eastern europe	czechia	profile0002	galliformes-domestic	49.9006406346158	16.1892997029385
H5N2|2344b|EPI_ISL_503969|galliformes|bulgaria|1_1_18_2_5_19_1_5|2020-02-21	H5N2	eastern europe	bulgaria	profile0005	galliformes-domestic	42.7584172195881	25.2179149681535
H5N8|2344b|EPI_ISL_525439|galliformes|poland|7_1_5_2_1_3_1_2|2020-01-01	H5N8	eastern europe	poland	profile0002	galliformes-domestic	52.3269678786096	17.250141052842
H5N8|2344b|EPI_ISL_525449|anseriformes|poland|7_1_5_2_1_3_1_2|2020-02-20	H5N8	eastern europe	poland	profile0002	anseriformes-domestic	52.1141994014432	19.4236724631525
H5N8|2344b|EPI_ISL_525462|anseriformes|poland|7_1_5_2_1_3_1_2|2020-03-01	H5N8	eastern europe	poland	profile0002	anseriformes-domestic	52.1141994014432	19.4236724631525
H5N1|2344b|EPI_ISL_603133|anseriformes|netherlands|2_1_1_1_1_1_1_1|2020-10-16	H5N1	western europe	netherlands	profile0001	anseriformes-wild	52.2573048104135	5.56251311224367
H5N1|2344b|EPI_ISL_603134|anseriformes|netherlands|2_1_1_1_1_1_1_1|2020-10-16	H5N1	western europe	netherlands	profile0001	anseriformes-wild	52.2573048104135	5.56251311224367
H5N1|2344b|EPI_ISL_603135|anseriformes|netherlands|2_1_1_1_1_1_1_1|2020-10-16	H5N1	western europe	netherlands	profile0001	anseriformes-wild	52.2573048104135	5.56251311224367
H5N8|2344b|EPI_ISL_603136|anseriformes|netherlands|3_2_3_1_3_2_1_2|2020-10-16	H5N8	western europe	netherlands	profile0002	anseriformes-wild	52.2573048104135	5.56251311224367
H5N8|2344b|EPI_ISL_603227|galliformes|bulgaria|1_2_15_2_1_13_1_2|2019-04-04	H5N8	eastern europe	bulgaria	profile0002	galliformes-domestic	42.2564257629518	24.8255765075979
H5N2|2344b|EPI_ISL_603231|galliformes|bulgaria|1_1_18_2_5_19_1_5|2020-03-02	H5N2	eastern europe	bulgaria	profile0005	galliformes-domestic	42.2564257629518	24.8255765075979
H5N8|2344b|EPI_ISL_603233|galliformes|bulgaria|1_2_15_2_1_13_1_2|2020-06-03	H5N8	eastern europe	bulgaria	profile0002	galliformes-domestic	42.2564257629518	24.8255765075979
H5N8|2344b|EPI_ISL_603237|anseriformes|bulgaria|1_2_15_2_1_13_1_2|2019-03-27	H5N8	eastern europe	bulgaria	profile0002	anseriformes-wild	42.7584172195881	25.2179149681535
H5N8|2344b|EPI_ISL_637098|anseriformes|russia|3_2_3_1_3_2_1_2|2020-07-31	H5N8	central asia	russia	profile0002	anseriformes-wild	54.4531161547399	60.406021972363
H5N8|2344b|EPI_ISL_644125|anseriformes|russia|3_2_2_1_3_2_1_2|2020-08-17	H5N8	central asia	russia	profile0002	anseriformes-wild	56.0596108837778	73.3669499849514
H5N8|2344b|EPI_ISL_644126|galliformes|russia|3_2_2_1_3_2_1_2|2020-08-17	H5N8	central asia	russia	profile0002	galliformes-domestic	56.0596108837778	73.3669499849514
H5N8|2344b|EPI_ISL_644127|anseriformes|russia|3_2_2_1_3_2_1_2|2020-08-17	H5N8	central asia	russia	profile0002	anseriformes-wild	56.0596108837778	73.3669499849514
H5N8|2344b|EPI_ISL_644150|galliformes|russia|3_2_2_1_3_2_1_2|2020-08-17	H5N8	central asia	russia	profile0002	galliformes-domestic	56.0596108837778	73.3669499849514
H5N8|2344b|EPI_ISL_644159|anseriformes|russia|3_2_3_1_3_2_1_2|2020-08-17	H5N8	central asia	russia	profile0002	anseriformes-wild	56.0596108837778	73.3669499849514
H5N8|2344b|EPI_ISL_644161|galliformes|russia|3_2_3_1_3_2_1_2|2020-08-06	H5N8	central asia	russia	profile0002	galliformes-domestic	54.4531161547399	60.406021972363
H5N8|2344b|EPI_ISL_653920|galliformes|netherlands|3_2_3_1_3_2_1_2|2020-11-20	H5N8	western europe	netherlands	profile0002	galliformes-domestic	53.1100430768808	5.84863928632393
H5N8|2344b|EPI_ISL_666890|galliformes|croatia|3_2_3_1_3_2_1_2|2020-11-17	H5N8	southern europe	croatia	profile0002	galliformes-domestic	46.0941050136215	16.8104817428003
H5N8|2344b|EPI_ISL_667810|galliformes|france|3_2_3_1_3_2_1_2|2020-11-10	H5N8	western europe	france	profile0002	galliformes-domestic	42.1497137840693	9.10513916746533
H5N8|2344b|EPI_ISL_684037|anseriformes|russia|3_2_3_2_3_3_1_2|2020-10-09	H5N8	eastern europe	russia	profile0002	anseriformes-wild	55.3847196142087	50.9399477925889
H5N5|2344b|EPI_ISL_722176|anseriformes|sweden|3_2_2_1_3_5_1_2|2020-11-25	H5N5	northern europe	sweden	profile0002	anseriformes-wild	55.9474024317265	13.595146733816
H5N8|2344b|EPI_ISL_739688|galliformes|russia|3_2_3_1_3_2_1_2|2020-09-22	H5N8	central asia	russia	profile0002	galliformes-domestic	55.2762232202593	79.7845914423443
H5N8|2344b|EPI_ISL_739690|galliformes|russia|2_1_1_1_1_16_1_2|2020-09-20	H5N8	central asia	russia	profile0002	galliformes-domestic	55.2762232202593	79.7845914423443
H5N8|2344b|EPI_ISL_739691|galliformes|russia|2_1_1_1_1_16_1_2|2020-09-20	H5N8	central asia	russia	profile0002	galliformes-domestic	55.2762232202593	79.7845914423443
H5N8|2344b|EPI_ISL_739692|galliformes|russia|2_1_1_1_1_16_1_2|2020-09-20	H5N8	central asia	russia	profile0002	galliformes-domestic	55.2762232202593	79.7845914423443
H5N6|2344b|EPI_ISL_4031463|accipitriformes|denmark|14_2_2_2_3_17_1_2|2019-01-04	H5N6	northern europe	denmark	profile0002	other-bird	55.9512996898935	10.0707816763207
H5N6|2344b|EPI_ISL_4031476|accipitriformes|denmark|14_2_2_2_3_17_1_2|2019-03-27	H5N6	northern europe	denmark	profile0002	other-bird	55.9512996898935	10.0707816763207
H5N8|2344b|EPI_ISL_404993|anseriformes|germany|7_1_5_2_1_3_1_2|2020-01-16	H5N8	western europe	germany	profile0002	anseriformes-wild	52.4686720071996	13.4043192497063
H5N8|2344b|EPI_ISL_405391|galliformes|czechia|7_1_5_2_1_3_1_2|2020-01-17	H5N8	eastern europe	czechia	profile0002	galliformes-domestic	49.4071187835784	15.6903483593844
H5N8|2344b|EPI_ISL_415197|galliformes|germany|7_1_5_2_1_3_1_2|2020-03-12	H5N8	western europe	germany	profile0002	galliformes-domestic	51.0528694457593	13.3447264729352
H5N8|2344b|EPI_ISL_417415|galliformes|germany|7_1_5_2_1_3_1_2|2020-03-20	H5N8	western europe	germany	profile0002	galliformes-domestic	52.7642105761026	9.16783937293005
H5N8|2344b|EPI_ISL_419220|galliformes|hungary|7_1_5_2_1_3_1_2|2020-01-09	H5N8	eastern europe	hungary	profile0002	galliformes-domestic	47.1703761996839	19.3977670199114
H5N8|2344b|EPI_ISL_419314|galliformes|germany|7_1_5_2_1_3_1_2|2020-03-27	H5N8	western europe	germany	profile0002	galliformes-domestic	52.0090264158216	11.7027467770331
H5N5|2344b|EPI_ISL_614399|accipitriformes|germany|3_2_2_1_3_5_1_2|2020-10-29	H5N5	western europe	germany	profile0002	other-bird	53.7551744161606	12.5509509363277
H5N5|2344b|EPI_ISL_626647|galliformes|russia|3_2_3_1_3_5_1_2|2020-10-02	H5N5	eastern europe	russia	profile0002	galliformes-domestic	56.0596108837778	73.3669499849514
H5N5|2344b|EPI_ISL_626648|anseriformes|russia|3_2_3_1_3_5_1_2|2020-10-02	H5N5	eastern europe	russia	profile0002	anseriformes-wild	56.0596108837778	73.3669499849514
H5N1|2344b|EPI_ISL_632316|charadriiformes|netherlands|3_1_2_1_11_1_1_2|2020-11-01	H5N1	western europe	netherlands	profile0002	charadriiformes-wild	53.1100430768808	5.84863928632393
H5N5|2344b|EPI_ISL_644737|falconiformes|denmark|1_2_2_1_5_5_1_2|2020-10-30	H5N5	northern europe	denmark	profile0002	other-bird	55.2791973821106	11.7026524381832
H5N8|2344b|EPI_ISL_654824|anseriformes|russia|3_2_3_1_3_2_1_2|2020-09-15	H5N8	eastern europe	russia	profile0002	anseriformes-wild	51.5994582882348	46.8369479833559
H5N8|2344b|EPI_ISL_654835|galliformes|russia|3_2_3_1_3_2_1_2|2020-08-27	H5N8	central asia	russia	profile0002	galliformes-domestic	55.4734051858522	64.8219230597649
H5N8|2344b|EPI_ISL_661178|anseriformes|russia|3_2_3_1_3_2_1_2|2020-09-10	H5N8	central asia	russia	profile0002	anseriformes-wild	57.6472366156513	69.1218349161945
H5N5|2344b|EPI_ISL_683997|anseriformes|united_kingdom|3_2_2_1_3_5_1_2|2020-11-24	H5N5	northern europe	united kingdom	profile0002	anseriformes-wild	52.3299411115892	-3.76558183366802
H5N8|2344b|EPI_ISL_766053|galliformes|united_kingdom|3_2_3_1_3_2_1_2|2020-12-04	H5N8	northern europe	united kingdom	profile0002	galliformes-domestic	54.0438440515314	-2.78687513666638
H5N8|2344b|EPI_ISL_775266|charadriiformes|netherlands|3_2_3_1_3_2_1_2|2020-12-17	H5N8	western europe	netherlands	profile0002	charadriiformes-wild	52.5266976905946	5.60009163363913
H5N8|2344b|EPI_ISL_804045|anseriformes|hungary|7_1_5_2_1_3_1_2|2020-04-08	H5N8	eastern europe	hungary	profile0002	anseriformes-wild	46.5624446150372	19.3734257652929
H5N5|2344b|EPI_ISL_943551|galliformes|sweden|3_1_2_1_5_5_1_2|2021-01-20	H5N5	northern europe	sweden	profile0002	galliformes-domestic	57.1855292476939	16.1305148015024
H5N5|2344b|EPI_ISL_943553|galliformes|sweden|3_1_2_1_5_5_1_2|2021-01-16	H5N5	northern europe	sweden	profile0002	galliformes-domestic	57.1855292476939	16.1305148015024
H5N8|2344b|EPI_ISL_984686|anseriformes|denmark|3_2_3_1_3_2_1_2|2020-11-05	H5N8	northern europe	denmark	profile0002	anseriformes-wild	55.3568797999445	9.45020901930698
H5N8|2344b|EPI_ISL_984693|anseriformes|denmark|3_2_3_1_3_2_1_2|2020-11-07	H5N8	northern europe	denmark	profile0002	anseriformes-wild	55.2791973821106	11.7026524381832
H5N8|2344b|EPI_ISL_984694|anseriformes|denmark|3_2_3_1_3_2_1_2|2020-11-09	H5N8	northern europe	denmark	profile0002	anseriformes-wild	57.0522607274982	9.67257639647962
H5N8|2344b|EPI_ISL_1058020|galliformes|czechia|3_2_3_1_3_2_1_2|2021-02-10	H5N8	eastern europe	czechia	profile0002	galliformes-domestic	49.0928166218663	14.4391547985202
H5N8|2344b|EPI_ISL_1114750|galliformes|russia|3_2_3_1_3_2_1_2|2020-12-11	H5N8	eastern europe	russia	profile0002	galliformes-domestic	44.927089080414	43.4103582512603
H5N8|2344b|EPI_ISL_1114759|galliformes|russia|3_2_3_1_3_2_1_2|2021-01-29	H5N8	eastern europe	russia	profile0002	galliformes-domestic	47.725861660493	41.3470662241277
H5N8|2344b|EPI_ISL_1114763|galliformes|russia|3_2_3_1_3_2_1_2|2021-01-05	H5N8	central asia	russia	profile0002	galliformes-domestic	65.951077439978	95.3658732364833
H5N5|2344b|EPI_ISL_1123358|anseriformes|united_kingdom|3_2_3_1_3_22_1_2|2020-11-12	H5N5	northern europe	united kingdom	profile0002	anseriformes-wild	54.0438440515314	-2.78687513666638
H5N8|2344b|EPI_ISL_1139019|anseriformes|netherlands|3_2_3_1_3_2_1_2|2020-10-28	H5N8	western europe	netherlands	profile0002	anseriformes-wild	52.083727924893	5.16763788059654
H5N8|2344b|EPI_ISL_1139040|anseriformes|netherlands|3_2_3_1_3_2_1_2|2020-11-02	H5N8	western europe	netherlands	profile0002	anseriformes-wild	52.8629285667789	6.62382060282334
H5N8|2344b|EPI_ISL_1139047|charadriiformes|netherlands|3_2_3_1_3_2_1_2|2020-11-06	H5N8	western europe	netherlands	profile0002	charadriiformes-wild	51.9374604216783	4.46477045234472
H5N8|2344b|EPI_ISL_1139048|anseriformes|netherlands|3_2_3_1_3_2_1_2|2020-11-09	H5N8	western europe	netherlands	profile0002	anseriformes-wild	52.0617180422494	5.94466833784019
H5N8|2344b|EPI_ISL_1139076|falconiformes|netherlands|3_2_3_1_3_2_1_2|2020-11-05	H5N8	western europe	netherlands	profile0002	other-bird	51.9374604216783	4.46477045234472
H5N8|2344b|EPI_ISL_1139089|anseriformes|netherlands|3_2_3_1_3_2_1_2|2020-11-12	H5N8	western europe	netherlands	profile0002	anseriformes-wild	53.1100430768808	5.84863928632393
