tipnames	collection_regionname	collection_countryname	collection_original	host_simplifiedhost	lat	long
H5N1|2344b|EPI_ISL_14934883|galliformes|south_africa|1_1_1_1_1_1_1_1|2021-09-07	southern africa	south africa	Africa / South Africa / Province of KwaZulu-Natal / Camperdown / NA	galliformes-domestic	-28.7220063412643	30.7367833141436
H5N1|2344b|EPI_ISL_15852625|galliformes|south_africa|1_1_1_1_1_1_1_1|2022-01-24	southern africa	south africa	Africa / South Africa / Gauteng / Kempton Park / NA	galliformes-domestic	-26.1053974962555	28.126943330491
H5N1|2344b|EPI_ISL_14933117|galliformes|south_africa|1_1_1_1_1_1_1_1|2021-07-26	southern africa	south africa	Africa / South Africa / Province of KwaZulu-Natal / Camperdown / NA	galliformes-domestic	-28.7220063412643	30.7367833141436
H5N1|2344b|EPI_ISL_18983934|anseriformes|bangladesh|1_1_1_1_1_1_1_1|2021-12-22	southern asia	bangladesh	NA	anseriformes-domestic	23.8299093538119	90.2865403636969
H5N1|2344b|EPI_ISL_14886675|anseriformes|bangladesh|1_1_1_1_1_1_1_1|2021-12-19	southern asia	bangladesh	Asia / Bangladesh / NA / NA / NA	anseriformes-wild	23.8299093538119	90.2865403636969
H5N1|2344b|EPI_ISL_11633616|anseriformes|china|1_1_1_1_1_1_1_1|2021-12-20	eastern asia	china	Asia / China / Hubei Province / NA / NA	anseriformes-wild	30.9806813015582	112.277189482252
H5N1|2344b|EPI_ISL_china_20230846|anseriformes|china|1_1_1_1_1_1_1_1|2021-12-02	eastern asia	china	Asia / China / Henan / NA / NA	anseriformes-wild	33.8761853651454	113.614527263456
H5N1|2344b|EPI_ISL_12572662|anseriformes|china|1_1_1_1_1_1_1_1|2022-01-05	eastern asia	china	Asia / China / Hunan / NA / NA	anseriformes-wild	27.5978523947888	111.713471439142
H5N1|2344b|EPI_ISL_china_2023088|anseriformes|china|1_1_1_1_1_1_1_1|2021-11-28	eastern asia	china	Asia / China / Hubei / NA / NA	anseriformes-wild	30.9806813015582	112.277189482252
H5N1|2344b|EPI_ISL_china_20230843|anseriformes|china|1_1_1_1_1_1_1_1|2021-11-25	eastern asia	china	Asia / China / Inner_Mongolia / _Mongolia / _Mongolia	anseriformes-wild	44.083329648604	113.188484632426
H5N1|2344b|EPI_ISL_17606863|anseriformes|south_korea|1_1_1_1_1_1_1_1|2022-03-02	eastern asia	south korea	Asia / Korea / JN / NA / NA	anseriformes-wild	34.8733358026855	126.897223705092
H5N1|2344b|EPI_ISL_china_20230841|galliformes|china|1_1_1_1_1_1_1_1|2021-12-20	eastern asia	china	Asia / China / Inner_Mongolia / _Mongolia / _Mongolia	galliformes-domestic	44.083329648604	113.188484632426
H5N1|2344b|EPI_ISL_17606851|galliformes|south_korea|1_1_1_1_1_1_1_1|2022-02-06	eastern asia	south korea	Asia / Korea / CN / NA / NA	galliformes-domestic	36.5298116066164	126.847825775926
H5N1|2344b|EPI_ISL_china_20230854|suliformes|china|1_1_1_1_1_1_1_1|2021-12-01	eastern asia	china	Asia / China / Anhui / NA / NA	other	31.8128943962267	117.235219497068
H5N1|2344b|EPI_ISL_18245274|environment|south_korea|1_1_1_1_1_1_1_1|2022-11-01	eastern asia	south korea	NA	other	36.341057964317	127.784630688405
H5N1|2344b|EPI_ISL_15647834|anseriformes|south_korea|1_1_1_1_1_1_1_1|2022-10-17	eastern asia	south korea	Asia / Korea / NA / NA / NA	anseriformes-wild	36.341057964317	127.784630688405
H5N1|2344b|EPI_ISL_18284464|galliformes|japan|1_1_1_1_1_1_1_1|2022-11-04	eastern asia	japan	NA	galliformes-domestic	36.3027610877484	140.318971903473
H5N1|2344b|EPI_ISL_15647836|anseriformes|south_korea|1_1_1_1_1_1_1_1|2022-10-10	eastern asia	south korea	Asia / Korea / NA / NA / NA	anseriformes-wild	36.341057964317	127.784630688405
H5N1|2344b|EPI_ISL_17414669|falconiformes|china|1_1_1_1_1_1_1_1|2022-10-09	eastern asia	china	NA	other	40.1838367941588	116.40878248942
H5N1|2344b|EPI_ISL_18245276|pelecaniformes|south_korea|1_1_1_1_1_1_1_1|2022-11-06	eastern asia	south korea	NA	other	36.341057964317	127.784630688405
H5N1|2344b|EPI_ISL_15647837|anseriformes|south_korea|1_1_1_1_1_1_1_1|2022-02-05	eastern asia	south korea	Asia / Korea / NA / NA / NA	anseriformes-wild	36.341057964317	127.784630688405
H5N1|2344b|EPI_ISL_18373238|anseriformes|south_korea|1_1_1_1_1_1_1_1|2022-02-07	eastern asia	south korea	NA	anseriformes-wild	35.7159281817874	127.140659781938
H5N1|2344b|EPI_ISL_17606861|anseriformes|south_korea|1_1_1_1_1_1_1_1|2022-02-18	eastern asia	south korea	Asia / Korea / CN / NA / NA	anseriformes-wild	36.5298116066164	126.847825775926
H5N1|2344b|EPI_ISL_18373240|anseriformes|south_korea|1_1_1_1_1_1_1_1|2022-02-10	eastern asia	south korea	NA	anseriformes-wild	37.5315346337798	127.181023197189
H5N1|2344b|EPI_ISL_17606854|galliformes|south_korea|1_1_1_1_1_1_1_1|2022-02-07	eastern asia	south korea	Asia / Korea / JB / NA / NA	galliformes-domestic	35.7159281817874	127.140659781938
H5N1|2344b|EPI_ISL_18373252|NA|south_korea|1_1_1_1_1_1_1_1|2022-03-03	eastern asia	south korea	NA	other	36.341057964317	127.784630688405
H5N1|2344b|EPI_ISL_17075747|unknown|china|1_1_1_1_1_1_1_1|2023-02-10	eastern asia	china	Asia / China / Jiangsu Provice / NA / NA	unknown	32.9645721858222	119.470797338049
H5N1|2344b|EPI_ISL_8599972|anseriformes|china|1_1_1_1_1_1_1_1|2021-11-03	eastern asia	china	NA	anseriformes-wild	40.1838367941588	116.40878248942
H5N1|2344b|EPI_ISL_china_24|charadriiformes|china|1_1_1_1_1_1_1_1|2022-07-22	eastern asia	china	Asia / China / Qinghai / NA / NA	charadriiformes-wild	35.7553973024078	96.0028538289268
