tipnames	collection_regionname	collection_countryname	collection_original	host_simplifiedhost	lat	long
H5N1|2344b|EPI_ISL_18846970|anseriformes|egypt|1_1_2_1_1_1_1_1|2023-02-09	northern africa	egypt	NA	anseriformes-domestic	26.5331366423868	29.7934978487062
H5N1|2344b|EPI_ISL_18847152|environment|egypt|1_1_2_1_1_1_1_1|2023-02-09	northern africa	egypt	NA	other	26.5331366423868	29.7934978487062
H5N1|2344b|EPI_ISL_17716062|anseriformes|austria|1_1_2_1_1_1_1_1|2023-01-31	western europe	austria	Europe / Austria / Bundesland Oberosterreich / Braunau am Inn / NA	anseriformes-domestic	48.1371934331394	13.9653618911462
H5N1|2344b|EPI_ISL_17015369|anseriformes|czechia|1_1_2_1_1_1_1_1|2023-02-16	eastern europe	czechia	Europe / Czech Republic / Vysocina Kraj / Okres Havlickuv Brod / Okrouhlice, GPS: 49.6299125N, 15.4908289E	anseriformes-domestic	49.4071187835784	15.6903483593844
H5N1|2344b|EPI_ISL_7753399|anseriformes|germany|1_1_2_1_1_1_1_1|2021-10-22	western europe	germany	Europe / Germany / Schleswig-Holstein / Dithmarschen / NA	anseriformes-domestic	54.1814850326718	9.81577342948134
H5N1|2344b|EPI_ISL_18847129|anseriformes|egypt|1_1_2_1_1_1_1_1|2022-03-30	northern africa	egypt	NA	anseriformes-domestic	26.5331366423868	29.7934978487062
H5N1|2344b|EPI_ISL_17791549|anseriformes|united_kingdom|1_1_2_1_1_1_1_1|2023-05-17	northern europe	united kingdom	Europe / United Kingdom / England / NA / NA	anseriformes-domestic	54.0438440515314	-2.78687513666638
H5N1|2344b|EPI_ISL_9012700|anseriformes|united_kingdom|1_1_2_1_1_1_1_1|2021-11-01	northern europe	united kingdom	Europe / United Kingdom / Angus / Scotland / NA	anseriformes-domestic	56.7931587491509	-4.20419908814114
H5N1|2344b|EPI_ISL_18458068|anseriformes|poland|1_1_2_1_1_1_1_1|2021-11-17	eastern europe	poland	NA	anseriformes-domestic	52.1141994014432	19.4236724631525
H5N1|2344b|EPI_ISL_17514167|anseriformes|austria|1_1_2_1_1_1_1_1|2023-01-24	western europe	austria	Europe / Austria / Lower Austria / Tulln / NA	anseriformes-wild	48.2718646696418	15.7529218938467
