virus.subtype,isolate.id,isolate.name,collection.date,collection.datedecimal,collection.datemonth,host.class,host.order,host.family,host.sciname,host.commonname,host.isbird,host.isdomestic,collection.region.name,collection.country.name,collection.country.code,collection.country.lat,collection.country.long,collection.subdiv1.name,collection.subdiv1.code,collection.subdiv1.lat,collection.subdiv1.long,clade,collection.original,cluster.pb2,cluster.pb1,cluster.pa,cluster.ha,cluster.np,cluster.na,cluster.mp,cluster.ns,cluster.profile,profile.lab,cluster.genome,...1
H5N8,EPI_ISL_405813,A/hawk/Poland/003/2020,2020-06-01,2020.014,2020-01,accipitriformes_wild,accipitriformes,Accipitridae,accipitridae sp. (hawk sp.),hawk sp.,bird,wild,eastern europe,poland,pol,52.1141994014432,19.4236724631525,lubelskie,na,51.2170859712694,22.9017240742201,2344b,Europe / Poland / Lublin Voivodeship / NA / NA,6,1,5,2,1,3,1,2,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10,2444
H5N8,EPI_ISL_410291,A/chicken/Germany-BW/AI00049/2020,2020-06-02,2020.098,2020-02,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,western europe,germany,deu,51.0533277435649,10.373650933319,baden-württemberg,de.bw,48.5335196122676,9.04442576424602,2344b,Europe / Germany / Baden-Wuerttemberg / Regierungsbezirk Karlsruhe / Hohenlohekreis,6,1,5,2,1,3,1,2,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10,701
H5N6,EPI_ISL_418169,A/Whooper swan/Xinjiang/1/2020,2020-03-01,2020.005,2020-01,anseriformes_wild,anseriformes,Anatidae,cygnus cygnus,whooper swan,bird,wild,eastern asia,china,chn,36.6848135465548,103.513718494908,xinjiang uygur,cn.xj,41.1644442011163,85.1293303962538,2344h,Asia / China / Xinjiang / NA / NA,11,6,7,3,4,5,2,5,11_6_7_3_4_5_2_5,H5N6/2020/R1_Asia,14,518
H5N6,EPI_ISL_418170,A/Whooper swan/Xinjiang/2/2020,2020-03-01,2020.005,2020-01,anseriformes_wild,anseriformes,Anatidae,cygnus cygnus,whooper swan,bird,wild,eastern asia,china,chn,36.6848135465548,103.513718494908,xinjiang uygur,cn.xj,41.1644442011163,85.1293303962538,2344h,Asia / China / Xinjiang / NA / NA,11,6,7,3,4,5,2,5,11_6_7_3_4_5_2_5,H5N6/2020/R1_Asia,14,518
H5N6,EPI_ISL_418171,A/Whooper swan/Xinjiang/3/2020,2020-04-01,2020.008,2020-01,anseriformes_wild,anseriformes,Anatidae,cygnus cygnus,whooper swan,bird,wild,eastern asia,china,chn,36.6848135465548,103.513718494908,xinjiang uygur,cn.xj,41.1644442011163,85.1293303962538,2344h,Asia / China / Xinjiang / NA / NA,11,6,7,3,4,5,2,5,11_6_7_3_4_5_2_5,H5N6/2020/R1_Asia,14,518
H5N6,EPI_ISL_418172,A/Mute swan/Xinjiang/4/2020,2020-08-01,2020.019,2020-01,anseriformes_wild,anseriformes,Anatidae,cygnus olor,mute swan,bird,wild,eastern asia,china,chn,36.6848135465548,103.513718494908,xinjiang uygur,cn.xj,41.1644442011163,85.1293303962538,2344h,Asia / China / Xinjiang / NA / NA,11,6,7,3,4,5,2,5,11_6_7_3_4_5_2_5,H5N6/2020/R1_Asia,14,518
H5N6,EPI_ISL_418173,A/Mute swan/Xinjiang/5/2020,2020-08-01,2020.019,2020-01,anseriformes_wild,anseriformes,Anatidae,cygnus olor,mute swan,bird,wild,eastern asia,china,chn,36.6848135465548,103.513718494908,xinjiang uygur,cn.xj,41.1644442011163,85.1293303962538,2344h,Asia / China / Xinjiang / NA / NA,11,6,7,3,4,5,2,5,11_6_7_3_4_5_2_5,H5N6/2020/R1_Asia,14,518
H5N6,EPI_ISL_418174,A/Whooper swan/Xinjiang/6/2020,2020-08-01,2020.019,2020-01,anseriformes_wild,anseriformes,Anatidae,cygnus cygnus,whooper swan,bird,wild,eastern asia,china,chn,36.6848135465548,103.513718494908,xinjiang uygur,cn.xj,41.1644442011163,85.1293303962538,2344h,Asia / China / Xinjiang / NA / NA,11,6,7,3,4,5,2,5,11_6_7_3_4_5_2_5,H5N6/2020/R1_Asia,14,518
H5N6,EPI_ISL_418175,A/Whooper swan/Xinjiang/7/2020,2020-12-01,2020.03,2020-01,anseriformes_wild,anseriformes,Anatidae,cygnus cygnus,whooper swan,bird,wild,eastern asia,china,chn,36.6848135465548,103.513718494908,xinjiang uygur,cn.xj,41.1644442011163,85.1293303962538,2344h,Asia / China / Xinjiang / NA / NA,11,6,7,3,4,5,2,5,11_6_7_3_4_5_2_5,H5N6/2020/R1_Asia,14,518
H5N6,EPI_ISL_418176,A/Whooper swan/Xinjiang/8/2020,2020-01-16,2020.041,2020-01,anseriformes_wild,anseriformes,Anatidae,cygnus cygnus,whooper swan,bird,wild,eastern asia,china,chn,36.6848135465548,103.513718494908,xinjiang uygur,cn.xj,41.1644442011163,85.1293303962538,2344h,Asia / China / Xinjiang / NA / NA,11,6,7,3,4,5,2,5,11_6_7_3_4_5_2_5,H5N6/2020/R1_Asia,14,518
H5N6,EPI_ISL_418177,A/Whooper swan/Xinjiang/9/2020,2020-01-16,2020.041,2020-01,anseriformes_wild,anseriformes,Anatidae,cygnus cygnus,whooper swan,bird,wild,eastern asia,china,chn,36.6848135465548,103.513718494908,xinjiang uygur,cn.xj,41.1644442011163,85.1293303962538,2344h,Asia / China / Xinjiang / NA / NA,11,6,7,3,4,5,2,5,11_6_7_3_4_5_2_5,H5N6/2020/R1_Asia,14,518
