tipnames,virus_subtype,isolate_id,isolate_name,collection_date,collection_datedecimal,collection_datemonth,collection_dateyear,host_class,host_order,host_family,host_sciname,host_commonname,host_isbird,host_isdomestic,host_simplifiedhost,collection_regionname,collection_countryname,collection_countrycode,collection_countrylat,collection_countrylong,collection_subdiv1name,collection_subdiv1code,collection_subdiv1lat,collection_subdiv1long,virus_species,week_date,...1,clade,collection_original,profile,profile_lab,genome,cluster_profileclass,cluster_profilecolour,collection_tipdate,segment,collection_dateerror,cluster_segment,cluster_number
H5N1.2344b.EPI_ISL_9880015.anseriformes.united_states.2_1_1_1_1_1_1_1.2022-01-08,H5N1,EPI_ISL_9880015,a/american_wigeon/north_carolina/ah0182517/2022,2022-01-08,2022.02,2022-01,2022,Aves,anseriformes,anatidae,mareca americana,american wigeon,TRUE,wild,anseriformes-wild,northern america,united states,usa,44.75294654392,-103.651025114044,north carolina,us.nc,35.5562842108177,-79.3865256785998,a,2022-01,3436,2344b,North America / United States / North Carolina / Hyde / NA,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5,dominant,#66cc7c,2022-01-08,ha,FALSE,ha,profile001
H5N1.2344b.EPI_ISL_9880019.anseriformes.united_states.2_1_1_1_1_1_1_1.2022-01-08,H5N1,EPI_ISL_9880019,a/mallard/north_carolina/ah0182886/2022,2022-01-08,2022.02,2022-01,2022,Aves,anseriformes,anatidae,anas platyrhynchos,mallard,TRUE,wild,anseriformes-wild,northern america,united states,usa,44.75294654392,-103.651025114044,north carolina,us.nc,35.5562842108177,-79.3865256785998,a,2022-01,3436,2344b,North America / United States / North Carolina / Pamlico / NA,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5,dominant,#66cc7c,2022-01-08,ha,FALSE,ha,profile001
H5N1.2344b.EPI_ISL_9880021.anseriformes.united_states.2_1_1_1_1_1_1_1.2022-01-08,H5N1,EPI_ISL_9880021,a/northern_pintail/north_carolina/ah0182892/2022,2022-01-08,2022.02,2022-01,2022,Aves,anseriformes,anatidae,anas acuta,northern pintail,TRUE,wild,anseriformes-wild,northern america,united states,usa,44.75294654392,-103.651025114044,north carolina,us.nc,35.5562842108177,-79.3865256785998,a,2022-01,3436,2344b,North America / United States / North Carolina / Pamlico / NA,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5,dominant,#66cc7c,2022-01-08,ha,FALSE,ha,profile001
H5N1.2344b.EPI_ISL_9880151.anseriformes.united_states.2_1_1_1_1_1_1_1.2022-01-08,H5N1,EPI_ISL_9880151,a/gadwall/north_carolina/ah0182894/2022,2022-01-08,2022.02,2022-01,2022,Aves,anseriformes,anatidae,mareca strepera,gadwall,TRUE,wild,anseriformes-wild,northern america,united states,usa,44.75294654392,-103.651025114044,north carolina,us.nc,35.5562842108177,-79.3865256785998,a,2022-01,3436,2344b,North America / United States / North Carolina / Pamlico / NA,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5,dominant,#66cc7c,2022-01-08,ha,FALSE,ha,profile001
H5N1.2344b.EPI_ISL_9880152.anseriformes.united_states.2_1_1_1_1_1_1_1.2022-01-08,H5N1,EPI_ISL_9880152,a/northern_shoveler/north_carolina/ah0182913/2022,2022-01-08,2022.02,2022-01,2022,Aves,anseriformes,anatidae,spatula clypeata,northern shoveler,TRUE,wild,anseriformes-wild,northern america,united states,usa,44.75294654392,-103.651025114044,north carolina,us.nc,35.5562842108177,-79.3865256785998,a,2022-01,3436,2344b,North America / United States / North Carolina / Pamlico / NA,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5,dominant,#66cc7c,2022-01-08,ha,FALSE,ha,profile001
H5N1.2344b.EPI_ISL_9880153.anseriformes.united_states.2_1_1_1_1_1_1_1.2022-01-08,H5N1,EPI_ISL_9880153,a/american_wigeon/north_carolina/ah0182954/2022,2022-01-08,2022.02,2022-01,2022,Aves,anseriformes,anatidae,mareca americana,american wigeon,TRUE,wild,anseriformes-wild,northern america,united states,usa,44.75294654392,-103.651025114044,north carolina,us.nc,35.5562842108177,-79.3865256785998,a,2022-01,3436,2344b,North America / United States / North Carolina / Pamlico / NA,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5,dominant,#66cc7c,2022-01-08,ha,FALSE,ha,profile001
H5N1.2344b.EPI_ISL_12567390.galliformes.united_states.2_1_1_1_1_1_1_1.2022-03-17,H5N1,EPI_ISL_12567390,a/chicken/maryland/22-008243-001-original/2022,2022-03-17,2022.21,2022-03,2022,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,northern america,united states,usa,44.75294654392,-103.651025114044,maryland,us.md,39.0551372724782,-76.7907951867475,a,2022-11,3423,2344b,North America / United States / Maryland / Cecil / NA,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5,dominant,#66cc7c,2022-03-17,ha,FALSE,ha,profile001
H5N1.2344b.EPI_ISL_12567391.galliformes.united_states.2_1_1_1_1_1_1_1.2022-03-25,H5N1,EPI_ISL_12567391,a/chicken/iowa/22-009180-001-original/2022,2022-03-25,2022.23,2022-03,2022,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,northern america,united states,usa,44.75294654392,-103.651025114044,iowa,us.ia,42.0765903413827,-93.4960133625023,a,2022-12,3418,2344b,North America / United States / Iowa / Franklin / NA,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5,dominant,#66cc7c,2022-03-25,ha,FALSE,ha,profile001
H5N1.2344b.EPI_ISL_12567392.galliformes.united_states.2_1_1_1_1_1_1_1.2022-03-25,H5N1,EPI_ISL_12567392,a/chicken/iowa/22-009180-002-original/2022,2022-03-25,2022.23,2022-03,2022,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,northern america,united states,usa,44.75294654392,-103.651025114044,iowa,us.ia,42.0765903413827,-93.4960133625023,a,2022-12,3418,2344b,North America / United States / Iowa / Franklin / NA,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5,dominant,#66cc7c,2022-03-25,ha,FALSE,ha,profile001
H5N1.2344b.EPI_ISL_12567393.galliformes.united_states.4_1_1_1_2_1_1_1.2022-03-25,H5N1,EPI_ISL_12567393,a/chicken/minnesota/22-009181-001-original/2022,2022-03-25,2022.23,2022-03,2022,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,northern america,united states,usa,44.75294654392,-103.651025114044,minnesota,us.mn,46.3193148536411,-94.1968042401401,a,2022-12,3426,2344b,North America / United States / Minnesota / Mower / NA,4_1_1_1_2_1_1_1,H5N1/2022/R4_NAmerica,4,major,#66c6cc,2022-03-25,ha,FALSE,ha,profile001
H5N1.2344b.EPI_ISL_12567529.anseriformes.united_states.4_1_1_1_2_1_1_1.2022-03-25,H5N1,EPI_ISL_12567529,a/embden_goose/minnesota/22-009181-003-original/2022,2022-03-25,2022.23,2022-03,2022,Aves,anseriformes,anatidae,anser sp. (domestic type),domestic goose sp. (domestic type),TRUE,domestic,anseriformes-domestic,northern america,united states,usa,44.75294654392,-103.651025114044,minnesota,us.mn,46.3193148536411,-94.1968042401401,a,2022-12,3426,2344b,North America / United States / Minnesota / Mower / NA,4_1_1_1_2_1_1_1,H5N1/2022/R4_NAmerica,4,major,#66c6cc,2022-03-25,ha,FALSE,ha,profile001
H5N1.2344b.EPI_ISL_12567530.galliformes.united_states.4_1_1_1_2_1_1_1.2022-03-25,H5N1,EPI_ISL_12567530,a/turkey/minnesota/22-009182-001-original/2022,2022-03-25,2022.23,2022-03,2022,Aves,galliformes,phasianidae,meleagris gallopavo (domestic type),wild turkey (domestic type),TRUE,domestic,galliformes-domestic,northern america,united states,usa,44.75294654392,-103.651025114044,minnesota,us.mn,46.3193148536411,-94.1968042401401,a,2022-12,3426,2344b,North America / United States / Minnesota / Meeker / NA,4_1_1_1_2_1_1_1,H5N1/2022/R4_NAmerica,4,major,#66c6cc,2022-03-25,ha,FALSE,ha,profile001
H5N1.2344b.EPI_ISL_12567531.galliformes.united_states.4_1_1_1_2_1_1_1.2022-03-25,H5N1,EPI_ISL_12567531,a/turkey/minnesota/22-009182-003-original/2022,2022-03-25,2022.23,2022-03,2022,Aves,galliformes,phasianidae,meleagris gallopavo (domestic type),wild turkey (domestic type),TRUE,domestic,galliformes-domestic,northern america,united states,usa,44.75294654392,-103.651025114044,minnesota,us.mn,46.3193148536411,-94.1968042401401,a,2022-12,3426,2344b,North America / United States / Minnesota / Meeker / NA,4_1_1_1_2_1_1_1,H5N1/2022/R4_NAmerica,4,major,#66c6cc,2022-03-25,ha,FALSE,ha,profile001
H5N1.2344b.EPI_ISL_12567532.anseriformes.united_states.2_1_1_1_1_1_1_1.2022-03-24,H5N1,EPI_ISL_12567532,a/domestic_duck/nebraska/22-009190-001-original/2022,2022-03-24,2022.22,2022-03,2022,Aves,anseriformes,anatidae,anas platyrhynchos (domestic type),mallard (domestic type),TRUE,domestic,anseriformes-domestic,northern america,united states,usa,44.75294654392,-103.651025114044,nebraska,us.ne,41.5381860818162,-99.7937041398577,a,2022-12,3430,2344b,North America / United States / Nebraska / Holt / NA,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5,dominant,#66cc7c,2022-03-24,ha,FALSE,ha,profile001
H5N1.2344b.EPI_ISL_12567533.galliformes.united_states.2_1_1_1_1_1_1_1.2022-03-24,H5N1,EPI_ISL_12567533,a/chicken/nebraska/22-009190-002-original/2022,2022-03-24,2022.22,2022-03,2022,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,northern america,united states,usa,44.75294654392,-103.651025114044,nebraska,us.ne,41.5381860818162,-99.7937041398577,a,2022-12,3430,2344b,North America / United States / Nebraska / Holt / NA,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5,dominant,#66cc7c,2022-03-24,ha,FALSE,ha,profile001
H5N1.2344b.EPI_ISL_12690318.galliformes.united_states.4_1_1_1_2_1_1_1.2022-03-25,H5N1,EPI_ISL_12690318,a/chicken/missouri/22-009192-002-original/2022,2022-03-25,2022.23,2022-03,2022,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,northern america,united states,usa,44.75294654392,-103.651025114044,missouri,us.mo,38.3563815994258,-92.4583278415207,a,2022-12,3428,2344b,North America / United States / Missouri / Gentry / NA,4_1_1_1_2_1_1_1,H5N1/2022/R4_NAmerica,4,major,#66c6cc,2022-03-25,ha,FALSE,ha,profile001
H5N1.2344b.EPI_ISL_12690319.anseriformes.united_states.4_1_1_1_2_1_1_1.2022-03-25,H5N1,EPI_ISL_12690319,a/duck/missouri/22-009192-003-original/2022,2022-03-25,2022.23,2022-03,2022,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,northern america,united states,usa,44.75294654392,-103.651025114044,missouri,us.mo,38.3563815994258,-92.4583278415207,a,2022-12,3428,2344b,North America / United States / Missouri / Gentry / NA,4_1_1_1_2_1_1_1,H5N1/2022/R4_NAmerica,4,major,#66c6cc,2022-03-25,ha,FALSE,ha,profile001
H5N1.2344b.EPI_ISL_12690320.galliformes.united_states.4_1_1_1_2_1_1_1.2022-03-25,H5N1,EPI_ISL_12690320,a/chicken/south_dakota/22-009194-002-original/2022,2022-03-25,2022.23,2022-03,2022,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,northern america,united states,usa,44.75294654392,-103.651025114044,south dakota,us.sd,44.4440561554676,-100.227146799835,a,2022-12,3444,2344b,North America / United States / South Dakota / Bon Homme / NA,4_1_1_1_2_1_1_1,H5N1/2022/R4_NAmerica,4,major,#66c6cc,2022-03-25,ha,FALSE,ha,profile001
H5N1.2344b.EPI_ISL_12690321.galliformes.united_states.4_1_1_1_2_1_1_1.2022-03-25,H5N1,EPI_ISL_12690321,a/guinea_fowl/south_dakota/22-009194-003-original/2022,2022-03-25,2022.23,2022-03,2022,Aves,galliformes,numididae,numida meleagris (domestic type),helmeted guineafowl (domestic type),TRUE,domestic,galliformes-domestic,northern america,united states,usa,44.75294654392,-103.651025114044,south dakota,us.sd,44.4440561554676,-100.227146799835,a,2022-12,3444,2344b,North America / United States / South Dakota / Bon Homme / NA,4_1_1_1_2_1_1_1,H5N1/2022/R4_NAmerica,4,major,#66c6cc,2022-03-25,ha,FALSE,ha,profile001
H5N1.2344b.EPI_ISL_12690322.galliformes.united_states.4_1_1_1_2_1_1_1.2022-03-26,H5N1,EPI_ISL_12690322,a/turkey/minnesota/22-009195-002-original/2022,2022-03-26,2022.23,2022-03,2022,Aves,galliformes,phasianidae,meleagris gallopavo (domestic type),wild turkey (domestic type),TRUE,domestic,galliformes-domestic,northern america,united states,usa,44.75294654392,-103.651025114044,minnesota,us.mn,46.3193148536411,-94.1968042401401,a,2022-12,3426,2344b,North America / United States / Minnesota / Stearns / NA,4_1_1_1_2_1_1_1,H5N1/2022/R4_NAmerica,4,major,#66c6cc,2022-03-26,ha,FALSE,ha,profile001
H5N1.2344b.EPI_ISL_12690323.galliformes.united_states.4_1_1_1_2_1_1_1.2022-03-26,H5N1,EPI_ISL_12690323,a/turkey/minnesota/22-009195-003-original/2022,2022-03-26,2022.23,2022-03,2022,Aves,galliformes,phasianidae,meleagris gallopavo (domestic type),wild turkey (domestic type),TRUE,domestic,galliformes-domestic,northern america,united states,usa,44.75294654392,-103.651025114044,minnesota,us.mn,46.3193148536411,-94.1968042401401,a,2022-12,3426,2344b,North America / United States / Minnesota / Stearns / NA,4_1_1_1_2_1_1_1,H5N1/2022/R4_NAmerica,4,major,#66c6cc,2022-03-26,ha,FALSE,ha,profile001
H5N1.2344b.EPI_ISL_12690324.galliformes.united_states.4_1_1_1_2_1_1_1.2022-03-26,H5N1,EPI_ISL_12690324,a/turkey/south_dakota/22-009196-001-original/2022,2022-03-26,2022.23,2022-03,2022,Aves,galliformes,phasianidae,meleagris gallopavo (domestic type),wild turkey (domestic type),TRUE,domestic,galliformes-domestic,northern america,united states,usa,44.75294654392,-103.651025114044,south dakota,us.sd,44.4440561554676,-100.227146799835,a,2022-12,3444,2344b,North America / United States / South Dakota / Hutchison / NA,4_1_1_1_2_1_1_1,H5N1/2022/R4_NAmerica,4,major,#66c6cc,2022-03-26,ha,FALSE,ha,profile001
H5N1.2344b.EPI_ISL_12690325.galliformes.united_states.4_1_1_1_2_1_1_1.2022-03-26,H5N1,EPI_ISL_12690325,a/turkey/south_dakota/22-009196-002-original/2022,2022-03-26,2022.23,2022-03,2022,Aves,galliformes,phasianidae,meleagris gallopavo (domestic type),wild turkey (domestic type),TRUE,domestic,galliformes-domestic,northern america,united states,usa,44.75294654392,-103.651025114044,south dakota,us.sd,44.4440561554676,-100.227146799835,a,2022-12,3444,2344b,North America / United States / South Dakota / Hutchison / NA,4_1_1_1_2_1_1_1,H5N1/2022/R4_NAmerica,4,major,#66c6cc,2022-03-26,ha,FALSE,ha,profile001
H5N1.2344b.EPI_ISL_12690568.galliformes.united_states.2_1_1_1_1_1_1_1.2022-03-26,H5N1,EPI_ISL_12690568,a/turkey/south_dakota/22-009198-001-original/2022,2022-03-26,2022.23,2022-03,2022,Aves,galliformes,phasianidae,meleagris gallopavo (domestic type),wild turkey (domestic type),TRUE,domestic,galliformes-domestic,northern america,united states,usa,44.75294654392,-103.651025114044,south dakota,us.sd,44.4440561554676,-100.227146799835,a,2022-12,3444,2344b,North America / United States / South Dakota / Clark / NA,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5,dominant,#66cc7c,2022-03-26,ha,FALSE,ha,profile001
H5N1.2344b.EPI_ISL_12690569.galliformes.united_states.4_1_1_1_2_1_1_1.2022-03-27,H5N1,EPI_ISL_12690569,a/turkey/iowa/22-009227-001-original/2022,2022-03-27,2022.23,2022-03,2022,Aves,galliformes,phasianidae,meleagris gallopavo (domestic type),wild turkey (domestic type),TRUE,domestic,galliformes-domestic,northern america,united states,usa,44.75294654392,-103.651025114044,iowa,us.ia,42.0765903413827,-93.4960133625023,a,2022-12,3418,2344b,North America / United States / Iowa / Buena Vista / NA,4_1_1_1_2_1_1_1,H5N1/2022/R4_NAmerica,4,major,#66c6cc,2022-03-27,ha,FALSE,ha,profile001
H5N1.2344b.EPI_ISL_12690570.galliformes.united_states.4_1_1_1_2_1_1_1.2022-03-28,H5N1,EPI_ISL_12690570,a/turkey/iowa/22-009286-001-original/2022,2022-03-28,2022.24,2022-03,2022,Aves,galliformes,phasianidae,meleagris gallopavo (domestic type),wild turkey (domestic type),TRUE,domestic,galliformes-domestic,northern america,united states,usa,44.75294654392,-103.651025114044,iowa,us.ia,42.0765903413827,-93.4960133625023,a,2022-13,3418,2344b,North America / United States / Iowa / Hamilton / NA,4_1_1_1_2_1_1_1,H5N1/2022/R4_NAmerica,4,major,#66c6cc,2022-03-28,ha,FALSE,ha,profile001
