tipnames,virus_subtype,isolate_id,isolate_name,collection_date,collection_datedecimal,collection_datemonth,collection_dateyear,host_class,host_order,host_family,host_sciname,host_commonname,host_isbird,host_isdomestic,host_simplifiedhost,collection_regionname,collection_countryname,collection_countrycode,collection_countrylat,collection_countrylong,collection_subdiv1name,collection_subdiv1code,collection_subdiv1lat,collection_subdiv1long,virus_species,week_date,...1,clade,collection_original,profile,profile_lab,genome,cluster_profileclass,cluster_profilecolour,collection_tipdate,segment,collection_dateerror,cluster_segment,cluster_number
H5N8.2344b.EPI_ISL_614401.anseriformes.kazakhstan.3_2_3_1_1_2_1_2.2020-09-23,H5N8,EPI_ISL_614401,a/mute_swan/kazakhstan/1-267-20-b/2020,2020-09-23,2020.73,2020-09,2020,Aves,anseriformes,anatidae,cygnus olor,mute swan,TRUE,wild,anseriformes-wild,central asia,kazakhstan,kaz,48.3645677524915,67.2060737287064,aqmola,kz.am,51.7623557428944,69.9739209295215,a,2020-39,3769,2344b,Asia / Kazakhstan / Akmola / NA / NA,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1,dominant,#cc33c2,2020-09-23,pa,FALSE,pa,profile003
H5N8.2344b.EPI_ISL_615065.anseriformes.kazakhstan.3_2_3_1_1_2_1_2.2020-09-22,H5N8,EPI_ISL_615065,a/domestic_goose/kazakhstan/1-261_2-20-b/2020,2020-09-22,2020.72,2020-09,2020,Aves,anseriformes,anatidae,anser sp. (domestic type),domestic goose sp. (domestic type),TRUE,domestic,anseriformes-domestic,central asia,kazakhstan,kaz,48.3645677524915,67.2060737287064,qostanay,kz.qs,51.5322283786231,64.0853293002361,a,2020-39,3769,2344b,Asia / Kazakhstan / Kostanay / NA / NA,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1,dominant,#cc33c2,2020-09-22,pa,FALSE,pa,profile003
H5N8.2344b.EPI_ISL_615068.anseriformes.kazakhstan.3_2_3_1_1_2_1_2.2020-09-20,H5N8,EPI_ISL_615068,a/domestic_goose/kazakhstan/1-248_2-20-b/2020,2020-09-20,2020.72,2020-09,2020,Aves,anseriformes,anatidae,anser sp. (domestic type),domestic goose sp. (domestic type),TRUE,domestic,anseriformes-domestic,central asia,kazakhstan,kaz,48.3645677524915,67.2060737287064,aqmola,kz.am,51.7623557428944,69.9739209295215,a,2020-38,3769,2344b,Asia / Kazakhstan / Akmola / NA / NA,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1,dominant,#cc33c2,2020-09-20,pa,FALSE,pa,profile003
H5N8.2344b.EPI_ISL_615072.anseriformes.kazakhstan.3_2_3_1_1_2_1_2.2020-09-25,H5N8,EPI_ISL_615072,a/domestic_duck/kazakhstan/1-274-20-b/2020,2020-09-25,2020.73,2020-09,2020,Aves,anseriformes,anatidae,anas platyrhynchos (domestic type),mallard (domestic type),TRUE,domestic,anseriformes-domestic,central asia,kazakhstan,kaz,48.3645677524915,67.2060737287064,qostanay,kz.qs,51.5322283786231,64.0853293002361,a,2020-39,3769,2344b,Asia / Kazakhstan / Kostanay / NA / NA,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1,dominant,#cc33c2,2020-09-25,pa,FALSE,pa,profile003
H5N8.2344b.EPI_ISL_615073.anseriformes.kazakhstan.3_2_3_1_1_2_1_2.2020-09-19,H5N8,EPI_ISL_615073,a/domestic_goose/kazakhstan/1-242_2-20-b/2020,2020-09-19,2020.72,2020-09,2020,Aves,anseriformes,anatidae,anser sp. (domestic type),domestic goose sp. (domestic type),TRUE,domestic,anseriformes-domestic,central asia,kazakhstan,kaz,48.3645677524915,67.2060737287064,north kazakhstan,kz.nk,53.8421826489217,69.2722074369824,a,2020-38,3769,2344b,Asia / Kazakhstan / North Kazakhstan / NA / NA,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1,dominant,#cc33c2,2020-09-19,pa,FALSE,pa,profile003
H5N8.2344b.EPI_ISL_623074.galliformes.iraq.3_2_3_1_1_2_1_2.2020-05-12,H5N8,EPI_ISL_623074,a/chicken/iraq/1/2020,2020-05-12,2020.36,2020-05,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,western asia,iraq,irq,33.017872044376,43.8055120134245,ninawa,iq.ni,35.9913317126514,42.4617230992077,a,2020-20,3761,2344b,Asia / Iraq / Muhafazat Ninawa / NA / NA,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1,dominant,#cc33c2,2020-05-12,pa,FALSE,pa,profile003
H5N8.2344b.EPI_ISL_625671.anseriformes.china.3_2_3_1_1_2_1_2.2020-10-17,H5N8,EPI_ISL_625671,a/whooper_swan/inner_mongolia/w1-1/2020,2020-10-17,2020.79,2020-10,2020,Aves,anseriformes,anatidae,cygnus cygnus,whooper swan,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,nei mongol,cn.nm,44.083329648604,113.188484632426,a,2020-42,509,2344b,Asia / China / Inner Mongolia Autonomous Region / NA / NA,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1,dominant,#cc33c2,2020-10-17,pa,FALSE,pa,profile003
H5N8.2344b.EPI_ISL_625672.anseriformes.china.3_2_3_1_1_2_1_2.2020-10-17,H5N8,EPI_ISL_625672,a/mute_swan/inner_mongolia/w2-1/2020,2020-10-17,2020.79,2020-10,2020,Aves,anseriformes,anatidae,cygnus olor,mute swan,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,nei mongol,cn.nm,44.083329648604,113.188484632426,a,2020-42,509,2344b,Asia / China / Inner Mongolia Autonomous Region / NA / NA,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1,dominant,#cc33c2,2020-10-17,pa,FALSE,pa,profile003
H5N8.2344b.EPI_ISL_631824.anseriformes.south_korea.6_1_5_2_1_3_1_2.2020-10-21,H5N8,EPI_ISL_631824,a/mandarin_duck/korea/h242/2020,2020-10-21,2020.8,2020-10,2020,Aves,anseriformes,anatidae,aix galericulata,mandarin duck,TRUE,wild,anseriformes-wild,eastern asia,south korea,kor,36.341057964317,127.784630688405,chungcheongbuk-do,kr.gb,36.737850075983,127.830446360213,a,2020-43,3775,2344b,Asia / Korea / Chungcheongbuk-do / NA / NA,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10,dominant,#b199cc,2020-10-21,pa,FALSE,pa,profile005
H5N8.2344b.EPI_ISL_666687.anseriformes.south_korea.6_1_5_2_1_3_1_2.2020-10-24,H5N8,EPI_ISL_666687,a/madarin_duck/korea/k20-551-4/2020,2020-10-24,2020.81,2020-10,2020,Aves,anseriformes,anatidae,aix galericulata,mandarin duck,TRUE,wild,anseriformes-wild,eastern asia,south korea,kor,36.341057964317,127.784630688405,gyeonggi-do,kr.kg,37.5315346337798,127.181023197189,a,2020-43,3775,2344b,Asia / Korea / Gyeonggi-do / NA / NA,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10,dominant,#b199cc,2020-10-24,pa,FALSE,pa,profile005
