tipnames	virus.subtype	host.class	host.order	collection.region.name	tiplocation_lat	tiplocation_lon	cluster.number
H5N8.EPI_ISL_615068.Anseriformes.kazakhstan.1.2020-09-20	H5N8	Anseriformes_domestic	Anseriformes	central asia	51.2105	71.4676	profile001
H5N8.EPI_ISL_615072.Anseriformes.kazakhstan.1.2020-09-25	H5N8	Anseriformes_domestic	Anseriformes	central asia	53.2147	63.6305	profile001
H5N8.EPI_ISL_2932616.Galliformes.kazakhstan.1.2020-09-19	H5N8	Galliformes_domestic	Galliformes	central asia	53.2804	69.3762	profile001
H5N5.EPI_ISL_16209274.Pelecaniformes.russia.44.2021-04-01	H5N5	Pelecaniformes_wild	Pelecaniformes	eastern europe	42.4411	47.2776	profile001
H5N8.EPI_ISL_644155.Galliformes.russia.1.2020-08-17	H5N8	Galliformes_domestic	Galliformes	central asia	54.9885	73.3242	profile001
H5N5.EPI_ISL_2234821.Anseriformes.romania.44.2021-01-08	H5N5	Anseriformes_wild	Anseriformes	eastern europe	45.943161	24.96676	profile001
H5N8.EPI_ISL_644134.Galliformes.russia.1.2020-08-17	H5N8	Galliformes_domestic	Galliformes	central asia	54.9885	73.3242	profile001
H5N8.EPI_ISL_1039240.Galliformes.russia.1.2020-12-12	H5N8	Galliformes_domestic	Galliformes	eastern europe	47.1217888	47.3494879	profile001
H5N8.EPI_ISL_1038924.Primates.russia.1.2020-12-12	H5N8	Primates_wild	Primates	eastern europe	47.1217888	47.3494879	profile001
H5N8.EPI_ISL_615073.Anseriformes.kazakhstan.1.2020-09-19	H5N8	Anseriformes_domestic	Anseriformes	central asia	53.2804	69.3762	profile001
H5N8.EPI_ISL_2932619.Anseriformes.kazakhstan.1.2020-09-23	H5N8	Anseriformes_wild	Anseriformes	central asia	51.2105	71.4676	profile001
H5N8.EPI_ISL_5100056.Galliformes.germany.1.2021-02-28	H5N8	Galliformes_domestic	Galliformes	western europe	52.6367036	9.8450765	profile001
H5N8.EPI_ISL_5863089.Anseriformes.georgia.1.2020-10-12	H5N8	Anseriformes_wild	Anseriformes	western asia	42.315407	43.356892	profile001
H5N8.EPI_ISL_5863497.Anseriformes.georgia.1.2020-10-27	H5N8	Anseriformes_wild	Anseriformes	western asia	42.315407	43.356892	profile001
H5N3.EPI_ISL_5863749.Anseriformes.georgia.289.2020-10-20	H5N3	Anseriformes_wild	Anseriformes	western asia	42.315407	43.356892	profile001
H5N8.EPI_ISL_5865417.Anseriformes.georgia.1.2020-10-02	H5N8	Anseriformes_domestic	Anseriformes	western asia	42.315407	43.356892	profile001
H5N8.EPI_ISL_683751.Anseriformes.italy.1.2020-11-21	H5N8	Anseriformes_wild	Anseriformes	southern europe	45.7223889	11.3879145	profile001
H5N8.EPI_ISL_683752.Anseriformes.italy.NA.2020-11-21	H5N8	Anseriformes_wild	Anseriformes	southern europe	41.87194	12.56738	profile001
