tipnames	virus.subtype	host.class	host.order	collection.region.name	clade	tiplocation_lat	tiplocation_lon	cluster.number
H5N6.EPI_ISL_833248.Anseriformes.china.NA.2020-08-12	H5N6	Anseriformes_wild	Anseriformes	eastern asia	NA	35.86166	104.195397	profileNA
H5N6.EPI_ISL_7983813.Primates.china.73.2021-12-22	H5N6	Primates_wild	Primates	eastern asia	2.3.4.4b	29.9488786	121.1430935	profile024
H5N6.EPI_ISL_8517996.environment.china.73.2021-12-23	H5N6	unknown	environment	eastern asia	2.3.4.4b	29.9488786	121.1430935	profile024
H5N6.EPI_ISL_8518268.Galliformes.china.73.2021-12-23	H5N6	Galliformes_domestic	Galliformes	eastern asia	2.3.4.4b	29.9488786	121.1430935	profile024
H5N6.EPI_ISL_8517999.environment.china.73.2021-12-23	H5N6	unknown	environment	eastern asia	2.3.4.4b	29.9488786	121.1430935	profile024
H5N6.EPI_ISL_11208199.Anseriformes.china.73.2021-12-03	H5N6	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	29.9488786	121.1430935	profile024
H5N6.EPI_ISL_4568642.NA.china.NA.2021-08-07	H5N6	unknown	NA	eastern asia	2.3.4.4b	27.2498042	113.6176643	profileNA
H5N6.EPI_ISL_3770740.Primates.china.73.2021-07-14	H5N6	Primates_wild	Primates	eastern asia	2.3.4.4b	22.826617	108.344126	profile038
H5N6.EPI_ISL_8517997.environment.china.73.2021-12-23	H5N6	unknown	environment	eastern asia	2.3.4.4b	29.9488786	121.1430935	profile038
H5N6.EPI_ISL_18000337.NA.china.NA.2022-02-27	H5N6	unknown	NA	eastern asia	2.3.4.4b	29.1557051	113.7157613	profileNA
H5N6.EPI_ISL_11208197.Anseriformes.china.73.2021-12-01	H5N6	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	27.2498042	113.6176643	profile010
H5N6.EPI_ISL_11208194.Anseriformes.china.213.2021-10-18	H5N6	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	22.826617	108.344126	profile010
H5N6.EPI_ISL_11208195.Anseriformes.china.73.2021-12-02	H5N6	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	26.424084	106.673534	profile010
H5N6.EPI_ISL_3770721.Primates.china.287.2021-02-27	H5N6	Primates_wild	Primates	eastern asia	2.3.4.4h	22.826617	108.344126	profile010
H5N6.EPI_ISL_16209049.Anseriformes.cambodia.59.2020-09-12	H5N6	Anseriformes_wild	Anseriformes	south-eastern asia	2.3.4.4h	12.565679	104.990963	profile010
H5N6.EPI_ISL_13295138.Anseriformes.cambodia.59.2020-09-12	H5N6	Anseriformes_wild	Anseriformes	south-eastern asia	2.3.4.4h	10.9833333	104.7833333	profile010
H5N6.EPI_ISL_9572754.Anseriformes.viet_nam.59.2020-09-29	H5N6	Anseriformes_wild	Anseriformes	south-eastern asia	2.3.4.4h	14.058324	108.277199	profile010
H5N6.EPI_ISL_9572741.Anseriformes.viet_nam.59.2020-09-29	H5N6	Anseriformes_wild	Anseriformes	south-eastern asia	2.3.4.4h	14.058324	108.277199	profile010
H5N6.EPI_ISL_18119935.Anseriformes.viet_nam.NA.2021-01-29	H5N6	Anseriformes_wild	Anseriformes	south-eastern asia	2.3.4.4h	14.058324	108.277199	profile010
H5N6.EPI_ISL_17809478.Anseriformes.viet_nam.59.2021-01-29	H5N6	Anseriformes_wild	Anseriformes	south-eastern asia	2.3.4.4h	21.0437599	105.8311217	profile010
H5N6.EPI_ISL_18119936.Anseriformes.viet_nam.NA.2021-01-29	H5N6	Anseriformes_wild	Anseriformes	south-eastern asia	2.3.4.4h	14.058324	108.277199	profile010
H5N6.EPI_ISL_17809479.Anseriformes.viet_nam.59.2021-01-29	H5N6	Anseriformes_wild	Anseriformes	south-eastern asia	2.3.4.4h	21.0437599	105.8311217	profile010
H5N6.EPI_ISL_340810.environment.china.NA.2017-12-26	H5N6	unknown	environment	eastern asia	NA	23.2600355	113.25139	profileNA
H5N6.EPI_ISL_707469.Anseriformes.china.NA.2017-12-29	H5N6	Anseriformes_wild	Anseriformes	eastern asia	NA	35.8785506	120.0512758	profileNA
H5N6.EPI_ISL_340814.environment.china.NA.2017-11-27	H5N6	unknown	environment	eastern asia	NA	23.2600355	113.25139	profileNA
H5N6.EPI_ISL_6795229.Anseriformes.china.NA.2018-01-01	H5N6	Anseriformes_wild	Anseriformes	eastern asia	NA	35.86166	104.195397	profileNA
H7N6.EPI_ISL_314050.environment.china.NA.2017-12-06	H7N6	unknown	environment	eastern asia	NA	24.721616	116.1805756	profileNA
H5N6.EPI_ISL_16208999.Primates.china.126.2021-09-19	H5N6	Primates_wild	Primates	eastern asia	2.3.4.4b	23.2600355	113.25139	profile020
H5N6.EPI_ISL_6772898.Anseriformes.china.209.2021-08	H5N6	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	23.2600355	113.25139	profile020
H5N6.EPI_ISL_7457654.Galliformes.china.209.2021-08	H5N6	Galliformes_domestic	Galliformes	eastern asia	2.3.4.4b	23.2600355	113.25139	profile020
H5N6.EPI_ISL_6760687.Anseriformes.china.126.2021-08	H5N6	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	23.2600355	113.25139	profile020
H5N6.EPI_ISL_11208196.Anseriformes.china.126.2021-12-01	H5N6	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	27.2498042	113.6176643	profile020
H5N6.EPI_ISL_16466440.Primates.china.126.2022-11-11	H5N6	Primates_wild	Primates	eastern asia	2.3.4.4b	27.2498042	113.6176643	profile020
